name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB ,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW04,,DSDNSHODXW04,,1531,Piece,8 N,No. of Ways,4 Way,,,,,,No. of Ways,4 Way,,,,,,,,,,,,,,,,,,,,,,,8537,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW06,,DSDNSHODXW06,,1715,,6 N,No. of Ways,6 Way,,,,,,No. of Ways,6 Way,,,,,,,,,,,,,,,,,,,,,,,8537,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW08,,DSDNSHODXW08,,1828,,6 N,No. of Ways,8 Way,,,,,,No. of Ways,8 Way,,,,,,,,,,,,,,,,,,,,,,,8537,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW12,,DSDNSHODXW12,,2261,,4 N,No. of Ways,12 Way,,,,,,No. of Ways,12 Way,,,,,,,,,,,,,,,,,,,,,,,8537,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW16,,DSDNSHODXW16,,3148,,4 N,No. of Ways,16 Way,,,,,,No. of Ways,16 Way,,,,,,,,,,,,,,,,,,,,,,,8537,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW04,,DSDNTHODXW04,,3770,,1 N,No. of Ways,4 Way,,,,,,No. of Ways,4 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW48,,DSDNTHODXW48,,3981,,1 N,No. of Ways,4 Way (8 mod inc),,,,,,No. of Ways,4 Way (8 mod inc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW06,,DSDNTHODXW06,,4607,,1 N,No. of Ways,6 Way,,,,,,No. of Ways,6 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW08,,DSDNTHODXW08,,5905,,1 N,No. of Ways,8 Way,,,,,,No. of Ways,8 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW12,,DSDNTHODXW12,,8999,,1 N,No. of Ways,12 Way,,,,,,No. of Ways,12 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,SP&N DBs With SS Enclosures,DSDPSHODIW04,,DSDPSHODIW04,,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,SP&N DBs With SS Enclosures,DSDPSHODIW06,,DSDPSHODIW06,,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,SP&N DBs With SS Enclosures,DSDPSHODIW08,,DSDPSHODIW08,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,SP&N DBs With SS Enclosures,DSDPSHODIW12,,DSDPSHODIW12,,2481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,SP&N DBs With SS Enclosures,DSDPSHODIW16,,DSDPSHODIW16,,3440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard,Panel & Panel Accessries,Standard Domestic Switchgear,Powershell Plus DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
