id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_coed,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time
1,"BHW-T10 1P B6, MCB Single Pole Type B, Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Gas Analyzers,C2 Category,Leaf Category,1,BHW,BHW-T10 1P B6,350.0,330.4,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",images.jpg,images.jpg,images.jpg,images.jpg,images.jpg,No. of poles,sp,Rated current In [A],6A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5342706198-BHW-T10 1P B6,images.jpg,18,ok,1,--,--,18mm,92.6mm,44mm,0.13kg,1,1,23,24 hours
3,"BHW-T10 1P B6, MCB Single Pole Type B, Miniature Circuit Breakers-WBH",Mitsubishi Electric,Factory Automation,Gas Analyzers,C2 Category,Leaf Category,1,BHW,BHW-T10 1P B6,1499,1400,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",images.jpg,images.jpg,images.jpg,images.jpg,images.jpg,No. of poles,sp,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5342706198-BHW-T10 1P B6,images.jpg,18,images.jpg,1,--,--,18mm,92.6mm,44mm,0.13kg,1,1,23,--,--,24 hours
4,"Fulcrum 150 Kg Heavy Duty Foldable Platform Trolley PH150",Dold,Factory Automation,Gas Analyzers,C2 Category,Leaf Category,1,BHW,BHW-T10 1P B6,1500,1200,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",images.jpg,images.jpg,images.jpg,images.jpg,images.jpg,No. of poles,sp,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5342706198-BHW-T10 1P B6,images.jpg,18,images.jpg,1,--,--,18mm,92.6mm,44mm,0.13kg,1,1,27,--,--,24 hours
5,"SK ENGINEERING 605 x 915 mm Platform Trolley MS-TPR300",Dold,Factory Automation,Gas Analyzers,C2 Category,Leaf Category,1,BHW,BHW-T10 1P B6,8600,7000,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",skengeneering.webp,skengeneering.webp,skengeneering.webp,skengeneering.webp,skengeneering.webp,No. of poles,sp,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5342706198-BHW-T10 1P B6,skengeneering.webp,18,skengeneering.webp,1364758029-PSD-7441,--,--,18mm,92.6mm,44mm,0.13kg,1,1,30,--,--,24 hours
6,"IBCab Teeth Grip Self Locking Nylon Cable Ties Black 200x3.6 mm, IBC2036-B50",Mitsubishi Electric,Factory Automation,Gas Analyzers,C2 Category,Leaf Category,1,BHW,BHW-T10 1P B6,600,550.5,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",ibel.webp,ibel.webp,ibel.webp,ibel.webp,ibel.webp,No. of poles,sp,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5342706198-BHW-T10 1P B6,ibel.webp,18,ibel.webp,1364758029-PSD-7442,--,--,18mm,92.6mm,44mm,0.13kg,1,1,21,--,--,24 hours
7,"Duracell Ultra AA Size, 1.5 V Alkaline 8 Pcs Battery Pack (Combo of 4)",Mitsubishi Electric,Factory Automation,Gas Analyzers,C2 Category,Leaf Category,1,BHW,BHW-T10 1P B6,1100,990,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",duracell.webp,duracell.webp,duracell.webp,duracell.webp,duracell.webp,No. of poles,sp,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5342706198-BHW-T10 1P B6,duracell.webp,18,duracell.webp,1364758029-PSD-7443,--,--,18mm,92.6mm,44mm,0.13kg,1,1,16,--,--,24 hours
13,"Selec, DIGIX-4-1-1-24VDC- Rail Mount- PLC – 10DI, 6TO & 24VDC – RTC and MODBUS Expansion",Mitsubishi Electric,Panel & Panel Accessories,SMPS,DIN Mount,MCB,1,--,DIGIX-4-1-1-24VDC,1288,1500,Piece,Each,1,"Selec, DIGIX-4-1-1-24VDC- Rail Mount- PLC – 10DI, 6TO & 24VDC – RTC and MODBUS Expansion",ibel.webp,duracell.webp,images.jpg,images.jpg,ibel.webp,Display Type,2 x 8 Characters LCD (with Backlight) + 5 Keys (4 User Configurable),Digital Inputs,10 (PNP Type) Including 1 Fast Input Channel,Analog Inputs,Through Expansion Module,Digital Outputs,6 Transistor outputs,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ibel.webp,5296328374-Selec--DIGIX,--,18%,--,--,--,--,--,--,--,--,1,24 hours
14,"BHW-T10 1P B6, MCB, Single Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P B6,--,330.4,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,sp,Instantaneous tripping,Type B,Rated current In [A],6A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5342706198-BHW-T10 1P B6,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--
15,"BHW-T10 1P B10, MCB, Single Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P B10,--,330.4,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,sp,Instantaneous tripping,Type B,Rated current In [A],10A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,5714820639-BHW-T10 1P B10,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--
302,"BHW-T10 1P B6, MCB, Single Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,--,--,1,BHW,BHW-T10 1P B6,--,330.4,Piece,Piece,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",https://www.ibuzoo.in/uploads/1668428562_MCB_BHW-T10_SINGLE_POLE_MCB.png,--,--,--,--,No. of poles,sp,Instantaneous tripping,Type B,Rated current In [A],6A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,--,85362030,18,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,1,--,--,18mm,92.6mm,44mm,0.13kg,1,--,--
