name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time
FRN0001C2S-7A Fuji Electric Single Phase 0.2 kw 200V,Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0001C2S-7A,FRN,FRN0001C2S-7A,16600,8300,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),0.2,Input voltage class,Single-Phase 200 V,Output Specification,Single-Phase,Output capacity(kVA),0.57,Output voltage 50Hz(V),200 to 240,Output voltage 60 Hz(V),200 to 240,Output rated current(A),1.5,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,Natural cooling,,,1711088417-Product-Screenshot 2024-03-22 114720.png,,85044090,18%,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,80mm,120mm,80mm,,1,1-2 Days
"FRN0002C2S-7A Fuji Electric Mini VFD, Single Phase, 0.2kw / 0.25hp",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0002C2S-7A,FRN,FRN0002C2S-7A,16600,8300,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),0.2,Input voltage class,Single-Phase 200 V,Output Specification,Single-Phase,Output capacity(kVA),0.57,Output voltage 50Hz(V),200 to 240,Output voltage 60 Hz(V),200 to 240,Output rated current(A),1.5,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,Natural cooling,,,1711090317-Product-Screenshot 2024-03-22 122053.png,,85044090,18%,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,80mm,120mm,80mm,,1,1-2 Days
FRN0011C2S-4A Fuji Electric Single Phase 3.7 kw AC Drive,Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0011C2S-4A,FRN,FRN0011C2S-4A,38000,19000,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),3.7,Input voltage class,Three-phase 400V,Output Specification,Three-Phase,Output capacity(kVA),8,Output voltage 50Hz(V),380 to 480,Output voltage 60 Hz(V),380 to 480,Output rated current(A),10.5,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,Fan cooling,,,1711091323-Product-Screenshot 2024-03-22 123834.png,,85044090,18%,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,140mm,180mm,139mm,,1,1-2 Days
FRN0013C2S-4A Fuji Electric AC Drive,Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0013C2S-4A,FRN,FRN0013C2S-4A,50000,25000,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),5.5,Input voltage class,Three-phase 400V,Output Specification,Three-Phase,Output capacity(kVA),9.9,Output voltage 50Hz(V),380 to 480,Output voltage 60 Hz(V),180,Output rated current(A),13,Structure,Standard Form,Protective Structure,IP20 (IEC 60529:1989) / UL open type (UL 50),Cooling method,Fan cooling,,,1711091497-Product-Screenshot 2024-03-22 124130.png,,85044090,18%,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,180mm,220mm,158mm,,1,1-2 Days
"FRN0002E2S-4GB, Fuji Electric 0.75KW 415VOLT Frenic Ace AC Drive",Fuji Electric,Factory Automation,AC Drive,Three Phase AC Drive,Inverter,FRN0002E2S-4GB,FRN,FRN0002E2S-4GB,26000,13000,Piece,Each,1,"Ideal for OEMs the FRENIC-ACE is a high performance,full featured AC Drive designed to suit a wide variety of applications. (Variety of Vector Control Modes), (Customizable Logic up to 200 Steps), ( PM Motor Control),(Dual Channel RS-485 Port),(Built-in Safe Torque Off (STO) Input,(Multiple Power Rating),(Password Protection).",,,,,,Power Supply Voltage,ACE 3- phase 400VAC,Rated Current (Amps),1.8,Rated Voltage(kw),0.75,Nominal HP Rating,1,,,,,,,,,,,,,,,1711097821-Product-Screenshot 2024-03-22 142628.png,,85044090,18%,https://pim.galco.com/Manufacturer/Fuji%20Electric%20Ind%20Drives%20&%20Controls/TechDocument/Data%20Sheet/ace_dat.pdf,,,,110mm,130mm,143mm,,1,1-2 Days
"FRN0004E2S-4GB Fuji Electric ACE VFD, Three Phase, 1.5kw / 2hp",Fuji Electric,Factory Automation,AC Drive,Three Phase AC Drive,Inverter,FRN0004E2S-4GB,FRN,FRN0004E2S-4GB,27000,13500,Piece,Each,1,"Ideal for OEMs the FRENIC-ACE is a high performance,full featured AC Drive designed to suit a wide variety of applications. (Variety of Vector Control Modes), (Customizable Logic up to 200 Steps), ( PM Motor Control),(Dual Channel RS-485 Port),(Built-in Safe Torque Off (STO) Input,(Multiple Power Rating),(Password Protection).",,,,,,Power Supply Voltage,ACE 3- phase 400VAC,Rated Current (Amps),3.4,Rated Voltage(kw),1.5,Nominal HP Rating,2,,,,,,,,,,,,,,,1711097968-Product-Screenshot 2024-03-22 142917.png,,85044090,18%,https://pim.galco.com/Manufacturer/Fuji%20Electric%20Ind%20Drives%20&%20Controls/TechDocument/Data%20Sheet/ace_dat.pdf,,,,110mm,130mm,143mm,,1,1-2 Days
"FRN0006E2S-4GB Fuji Electric Frenic Ace Drive, Three Phase, 2.2 KW",Fuji Electric,Factory Automation,AC Drive,Three Phase AC Drive,Inverter,FRN0006E2S-4GB,FRN,FRN0006E2S-4GB,29000,14500,Piece,Each,1,"Ideal for OEMs the FRENIC-ACE is a high performance,full featured AC Drive designed to suit a wide variety of applications. (Variety of Vector Control Modes), (Customizable Logic up to 200 Steps), ( PM Motor Control),(Dual Channel RS-485 Port),(Built-in Safe Torque Off (STO) Input,(Multiple Power Rating),(Password Protection).",,,,,,Power Supply Voltage,ACE 3- phase 400VAC,Rated Current (Amps),5,Rated Voltage(kw),2.2,Nominal HP Rating,3,,,,,,,,,,,,,,,1711098138-Product-Screenshot 2024-03-22 143208.png,,85044090,18%,https://pim.galco.com/Manufacturer/Fuji%20Electric%20Ind%20Drives%20&%20Controls/TechDocument/Data%20Sheet/ace_dat.pdf,,,,110mm,130mm,143mm,,1,1-2 Days
"FRN0007E2S-4GB, 5 HP Fuji Electric VFD for Industrial Machinery, 3.7KW,5HP",Fuji Electric,Factory Automation,AC Drive,Three Phase AC Drive,Inverter,FRN0007E2S-4GB,FRN,FRN0007E2S-4GB,33000,16500,Piece,Each,1,"Ideal for OEMs the FRENIC-ACE is a high performance,full featured AC Drive designed to suit a wide variety of applications. (Variety of Vector Control Modes), (Customizable Logic up to 200 Steps), ( PM Motor Control),(Dual Channel RS-485 Port),(Built-in Safe Torque Off (STO) Input,(Multiple Power Rating),(Password Protection).",,,,,,Power Supply Voltage,ACE 3- phase 400VAC,Rated Current (Amps),6.3,Rated Voltage(kw),3.7,Nominal HP Rating,5,,,,,,,,,,,,,,,1711098249-Product-Screenshot 2024-03-22 143358.png,,85044090,18%,https://pim.galco.com/Manufacturer/Fuji%20Electric%20Ind%20Drives%20&%20Controls/TechDocument/Data%20Sheet/ace_dat.pdf,,,,110mm,130mm,143mm,,1,1-2 Days
FRN0012E2S-4GBX Fuji Electric,Fuji Electric,Factory Automation,AC Drive,Three Phase AC Drive,Inverter,FRN0012E2S-4GBX,FRN,FRN0012E2S-4GBX,40000,20000,Piece,Each,1,"Ideal for OEMs the FRENIC-ACE is a high performance,full featured AC Drive designed to suit a wide variety of applications. (Variety of Vector Control Modes), (Customizable Logic up to 200 Steps), ( PM Motor Control),(Dual Channel RS-485 Port),(Built-in Safe Torque Off (STO) Input,(Multiple Power Rating),(Password Protection).",,,,,,Power Supply Voltage,ACE 3- phase 400VAC,Rated Current (Amps),11.1,Rated Voltage(kw),5.5,Nominal HP Rating,,,,,,,,,,,,,,,,1711097968-Product-Screenshot 2024-03-22 142917.png,,85044090,18%,https://pim.galco.com/Manufacturer/Fuji%20Electric%20Ind%20Drives%20&%20Controls/TechDocument/Data%20Sheet/ace_dat.pdf,,,,140mm,130mm,143mm,,1,1-2 Days
FRN0022E2S-4GBX Fuji Electric 10 hp / 7.5 kW AC Drive,Fuji Electric,Factory Automation,AC Drive,Three Phase AC Drive,Inverter,FRN0022E2S-4GBX,FRN,FRN0022E2S-4GBX,50000,25000,Piece,Each,1,"Ideal for OEMs the FRENIC-ACE is a high performance,full featured AC Drive designed to suit a wide variety of applications. (Variety of Vector Control Modes), (Customizable Logic up to 200 Steps), ( PM Motor Control),(Dual Channel RS-485 Port),(Built-in Safe Torque Off (STO) Input,(Multiple Power Rating),(Password Protection).",,,,,,Power Supply Voltage,ACE 3- phase 400VAC,Rated Current (Amps),17.5,Rated Voltage(kw),7.5,Nominal HP Rating,,,,,,,,,,,,,,,,1711097968-Product-Screenshot 2024-03-22 142917.png,,85044090,18%,https://pim.galco.com/Manufacturer/Fuji%20Electric%20Ind%20Drives%20&%20Controls/TechDocument/Data%20Sheet/ace_dat.pdf,,,,180mm,220mm,158mm,,1,1-2 Days
