c1_category,c2_category,leaf_category
Variable Frequency Drive,Single Phase VFD,Single Phase 0.2 kw 200V
Variable Frequency Drive,Single Phase VFD,"Mini VFD, Single Phase, 0.2kw / 0.25hp"
Variable Frequency Drive,Single Phase VFD,Single Phase 3.7 kw AC Drive
Variable Frequency Drive,Single Phase VFD,AC DRIVE 15kw
AC Drive,Three Phase AC Drive,0.75KW 415VOLT Frenic Ace AC Drive
AC Drive,Three Phase AC Drive,"ACE VFD, Three Phase, 1.5kw / 2hp"
AC Drive,Three Phase AC Drive,"Frenic Ace Drive, Three Phase, 2.2 KW"
AC Drive,Three Phase AC Drive,"VFD for Industrial Machinery, 3.7KW,5HP"
AC Drive,Three Phase AC Drive,FRN0012E2S-4GBX Fuji Electric
AC Drive,Three Phase AC Drive,10 hp / 7.5 kW AC Drive
AC Drive,Three Phase AC Drive,"Three Phase, 11KW/15HP"
Human Machine Interface,7.0 widescreen LED Human Machine Interface,7.0 widescreen LED Human Machine Interface
Variable Frequency Drive,Three Phase Variable Frequency Drive,Three Phase 0.75 KW Electric Inverter
Variable Frequency Drive,Three Phase Variable Frequency Drive,3-Phase FRENIC-Mini AC Drive
Ultrasonic Flowmeters,Ultrasonic Flowmeters,
Variable Frequency Drive,Single Phase VFD,Single Phase 0.4 Kw Variable Frequency Drive
Variable Frequency Drive,Single Phase VFD,Single Phase 0.75 Kw Variable Frequency Drive
Variable Frequency Drive,Single Phase VFD,Single Phase 1.5KW Electric Inverter
Variable Frequency Drive,Single Phase VFD,Single Phase 2.2 KW Electric Inverter
Variable Frequency Drive,Single Phase VFD,Three Phase 0.75KW Electric Inverter
Variable Frequency Drive,Single Phase VFD,Three Phase 1.5KW Electric Inverter
Variable Frequency Drive,Single Phase VFD,Three Phase 2.2 KW Electric Inverter
AC Drive,Three Phase AC Drive,AC DRIVE 15kw
AC Drive,Three Phase AC Drive,ACE Drive 18.5kw
AC Drive,Three Phase AC Drive,"ACE VFD, Three Phase, 22KW/30HP"
AC Drive,Three Phase AC Drive,"ACE VFD, Three Phase, 30KW/40HP"
AC Drive,Three Phase AC Drive,ACE Drive 75kw
AC Drive,Three Phase AC Drive,"ACE VFD, Three Phase, 45kw / 60hp"
AC Drive,Three Phase AC Drive,"Three Phase FRENIC-Mini AC Drive,"
AC Drive,Three Phase AC Drive,ACE Drive 75kw
AC Drive,Three Phase AC Drive,"ACS VFD, Three Phase, 90KW/120HP"
AC Drive,Three Phase AC Drive,"ACE VFD, Three Phase, 110KW/150HP"
AC Drive,Three Phase AC Drive,"ACE VFD, 3 - Phase, 132KW/180HP"
AC Drive,Three Phase AC Drive,"ACE VFD, 3 - Phase, 160KW/220HP"
AC Drive,Three Phase AC Drive,"ACE VFD, 3 - Phase, 200KW"
AC Drive,Three Phase AC Drive,"ACE VFD, 3 - Phase, 220KW"
AC Drive,Three Phase AC Drive,"ACE VFD, 3 - Phase, 280KW"
AC Drive,Three Phase AC Drive,"LV-Inverter FRENIC-eHVAC, 3 - Phase, 0.75KW"
AC Drive,Three Phase AC Drive,VFD 1.5KW 3Phase With EMC
AC Drive,Three Phase AC Drive,"VFD, 2.2KW 3Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 3KW 3Phase With EMC"
AC Drive,Three Phase AC Drive,"LV-Inverter FRENIC-eHVAC 3 - Phase, 5.5KW"
AC Drive,Three Phase AC Drive,"VFD, 7.5 KW 3 - Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 11 KW 3 - Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 15 KW 3 - Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 18.5 KW 3 - Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 22 KW 3 - Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 30 KW 3 - Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 37 KW 3 - Phase With EMC"
AC Drive,Three Phase AC Drive,"VFD, 45 KW 3 - Phase With EMC"
Human Machine Interface,12.1 widescreen,
Human Machine Interface,12.1 widescreen,
Human Machine Interface,"15.6"" widescreen",
Human Machine Interface,"15.6"" widescreen",
