c1_category,c2_category,leaf_category
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
Temperature Controller,"Temperature Controller, 48 x 48 mm",
