id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
1,"Dowell's, CP-59-Pin Terminal Non-insulated Thimble,Wires Size-0.75 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-59,CP-Series,CP-59,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-59-Pin Terminal Non-insulated Thimble,Wires Size-0.75 Sq.mm",--,--,--,--,--,Wires Size,0.75 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,7490125235-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
2,"Dowell's, CP-44-Pin Terminal Non-Insulated Thimble,Wires Size-1 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-44,CP-Series,CP-44,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-44-Pin Terminal Non-insulated Thimble,Wires Size-1 Sq.mm",--,--,--,--,--,Wires Size,1 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,5049562383-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
3,"Dowell's, CP-9 -Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-9,CP-Series,CP-9,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-9 -Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",--,--,--,--,--,Wires Size,1.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,1455453389-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
4,"Dowell's, CP-35-Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-35,CP-Series,CP-35,2.8/Pc,560,Piece,(1 Pack of 200 No),1,"CP-35-Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",--,--,--,--,--,Wires Size,1.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,5136103178-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
5,"Dowell's, CP-1-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-1,CP-Series,CP-1,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-1-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",--,--,--,--,--,Wires Size,2.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,2640251125-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
6,"Dowell's, CP-2-Pin Terminal Non-Insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-2,CP-Series,CP-2,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-2-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",--,--,--,--,--,Wires Size,2.5 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,4116931862-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
7,"Dowell's, CP-86-Pin Terminal Non-Insulated Thimble,Wires Size-25 Sq.mm. (1 Pack of 13 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-86,CP-Series,CP-86,28/Pc,364,Piece,(1 Pack of 13 No),1,"CP-86-Pin Terminal Non-insulated Thimble,Wires Size-25 Sq.mm",--,--,--,--,--,Wires Size,25 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,8774683201-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
8,"Dowell's, CP-87-Pin Terminal Non-Insulated Thimble,Wires Size-35 Sq.mm. (1 Pack of 10 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-87,CP-Series,CP-87,37/Pc,370,Piece,(1 Pack of 10 No),1,"CP-87-Pin Terminal Non-insulated Thimble,Wires Size-35 Sq.mm",--,--,--,--,--,Wires Size,35 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,5800682419-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
9,"Dowell's, CP-3-Pin- Terminal Non-Insulated Thimble,Wires Size-4 Sq.mm. (Pack Of 80 Nos.)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-3,CP-Series,CP-3,4.8/Pc,384,Piece,(Pack Of 80 Nos.),1,"CP-3-Pin Terminal Non-insulated Thimble,Wires Size-4 Sq.mm",--,--,--,--,--,Wires Size,4 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,6995257782-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
10,"Dowell's, CP-5-Pin- Terminal Non-Insulated Thimble,Wires Size-6 Sq.mm. (1 Pack of 80 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-5,CP-Series,CP-5,4.8/Pc,384,Piece,(Pack Of 80 Nos.),1,"CP-5-Pin Terminal Non-insulated Thimble,Wires Size-6 Sq.mm",--,--,--,--,--,Wires Size,6 Sq.mm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710928464-Product-Screenshot 2024-03-20 150644.png,1387400955-Dowell's--CP,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,--
