name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Jainson, BHOOMI-400, Compression Hydraulic Tools, Hexagonal Type Dies with Hand Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Hand Pump,BHOOMI-400,BHOOMI,BHOOMI-400,"34,500",29325,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-25 to H-400 (11 Sets),Capacity,25 mmÂ² to 400 mmÂ²,Country of Origin,India,Country of Origin,India,,Country of Origin,India,,,,,,,,,,1712222499-Product-Screenshot 2024-04-04 145127.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, BHOOMI-400, Compression Hydraulic Tools, Hexagonal Type Dies with Foot Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Foot Pump,BHOOMI-400,BHOOMI,BHOOMI-400,"38,500",32725,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-25 to H-400 (11 Sets),Capacity,25 mmÂ² to 400 mmÂ²,Compatability:,"H-25,35,50,70,95,120,150,185,240,300,400",,,,,,,,,,,,,,,1712222499-Product-Screenshot 2024-04-04 145127.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, VARUN-400, Compression Hydraulic Tools, Hexagonal Type Dies with Hand Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Hand Pump,VARUN-400,VARUN,VARUN-400,"34,500",29325,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-25 to H-400 (11 Sets),Capacity,25 mmÂ² to 400 mmÂ²,Country of Origin,India,,,,,,,,,,,,,,,1712222681-Product-Screenshot 2024-04-04 145316.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, VARUN-400, Compression Hydraulic Tools, Hexagonal Type Dies with Foot Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Foot Pump,VARUN-400,VARUN,VARUN-400,"38,500",32725,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-25 to H-400 (11 Sets),Capacity,25 mmÂ² to 400 mmÂ²,Compatability:,"H-25,35,50,70,95,120,150,185,240,300,400",Country of Origin,India,,,,,,,,,,,,,1712222681-Product-Screenshot 2024-04-04 145316.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, DHANUSH-400, Compression Hydraulic Tools, Hexagonal Type Dies with Hand Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Hand Pump,DHANUSH-400,DHANUSH,DHANUSH-400,"34,500",29325,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-25 to H-400 (11 Sets),Capacity,25 mmÂ² to 400 mmÂ²,Country of Origin,India,,,,,,,,,,,,,,,1712222060-Product-Screenshot 2024-04-04 144407.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, DHANUSH-400, Compression Hydraulic Tools, Hexagonal Type Dies with Foot Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Foot Pump,DHANUSH-400,DHANUSH,DHANUSH-400,"38,500",32725,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-25 to H-400 (11 Sets),Capacity,25 mmÂ² to 400 mmÂ²,Compatability:,"H-25,35,50,70,95,120,150,185,240,300,400",Country of Origin,India,,,,,,,,,,,,,1712222060-Product-Screenshot 2024-04-04 144407.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, TEJAS-630, Compression Hydraulic Tools, Hexagonal Type Dies with Hand Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Hand Pump,TEJAS-630,TEJAS,TEJAS-630,"48,000",40800,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-50 to H-630 (11 Sets),Capacity,50 mmÂ² to 630 mmÂ²,Country of Origin,India,,,,,,,,,,,,,,,1712222159-Product-Screenshot 2024-04-04 144538.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, TEJAS-630, Compression Hydraulic Tools, Hexagonal Type Dies with Foot Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Foot Pump,TEJAS-630,TEJAS,TEJAS-630,"52,000",44200,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-50 to H-630 (11 Sets),Capacity,50 mmÂ² to 630 mmÂ²,Compatability:,"H-50,70,95,120,150,185,240,300,400,500,630",Country of Origin,India,,,,,,,,,,,,,1712222159-Product-Screenshot 2024-04-04 144538.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, DHANUSH-1000, Compression Hydraulic Tools, Hexagonal Type Dies with Hand Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Hand Pump,DHANUSH-1000,DHANUSH,DHANUSH-1000,"52,000",44200,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-50 to H-1000 (13 Sets),Capacity,50 mmÂ² to 1000 mmÂ²,Country of Origin,India,,,,,,,,,,,,,,,1712222240-Product-Screenshot 2024-04-04 144706.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson, DHANUSH-1000, Compression Hydraulic Tools, Hexagonal Type Dies with Foot Pump",Jainson,Tools,Hydraulic Tools,Compression Hydraulic Tools,Hexagonal Type Dies with Foot Pump,DHANUSH-1000,DHANUSH,DHANUSH-1000,"56,000",47600,Piece,Each,1,A die is a specialized machine tool used in manufacturing industries to cut and/or form material to a desired shape or profile.,,,,,,Type of Product,Hydraulic Crimping Tool with Hand Pump,Dies,H-50 to H-1000 (13 Sets),Capacity,50 mmÂ² to 1000 mmÂ²,Country of Origin,India,,,,,,,,,,,,,,,1712222240-Product-Screenshot 2024-04-04 144706.png,,,18%,,,,,,,,,1,1-2 Days,
