c1_category,c2_category,leaf_category
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays
