c1_category,c2_category,leaf_category
Plug and Socket,Wall Plug,"Wall Plug, 16A, 415V,6h"
Plug and Socket,Wall Plug,"Wall Plug, 32A, 230V,6h"
Plug and Socket,Wall Plug,"Wall Plug, 32A, 415V,6h"
Plug and Socket,Wall Socket,"Wall Socket, 16A, 230V,6h"
Plug and Socket,Wall Socket,"Wall Socket, 16A, 415V,6h"
Plug and Socket,Wall Socket,"Wall Socket, 16A, 415V,6h"
Plug and Socket,Wall Socket,"Wall Socket, 32A, 230V,6h"
Plug and Socket,Wall Socket,"Wall Socket, 32A, 415V,6h"
Plug and Socket,Wall Socket,"Wall Socket, 32A, 415V,6h"
Plug and Socket,2 Way Multi Connection Socket,"2 Way Multi Connection Socket, 16A, 230V,6h"
Plug and Socket,2 Way Multi Connection Socket,"2 Way Multi Connection Socket, 16A, 415V,6h"
Plug and Socket,3 Way Multi Connection Socket,"3 Way Multi Connection Socket, 16A, 230V,6h"
Plug and Socket,3 Way Multi Connection Socket,"3 Way Multi Connection Socket, 16A,415V,6h"
