id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
1163,"Minilec VSP D1, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,VSP D1,VSP,VSP D1,,860.00,Piece,Each,1,"Phase Failure Relay (Auto Reset, 40 Volts. Unbalance, 1 CO Contact)",,,,,,Supply Voltage-(System),100-120/220-240/380-440 V AC Ã‚Â± 20% 50/ 60 Hz,Output Contacts,1 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),40 VÂ± 6 V (fixed),Trip Time Delay-(On Phase Failure/ Unbalance),3.5 sec.Ã‚Â± 1.5 sec.,Resetting Mode,Auto,Weight,320 gms.,Mounting (L x W),68 centre to centre/ 35 mm rail Mounting,,,,,,,1712656306-Product-Screenshot 2024-04-09 151848.png,3244074678-Minilec-VSP-D,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://5.imimg.com/data5/SELLER/Doc/2021/10/YE/ZA/OA/8174706/vsp-d1-minilec-phase-failure-relay.pdf,,,,30.5,76,117.5,,1,1-2 Days,
1164,"Minilec VSP D2, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,VSP D2,VSP,VSP D2,,1225.00,Piece,Each,1,"Phase Failure Relay (Auto / Manual / Remote Reset Adj. Unbalance, 2 CO Contact,)",,,,,,Supply Voltage-(System),100-120/220-240/380-440 V AC Ã‚Â± 20% 50/ 60 Hz,Output Contacts,2 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),30 V to 70 V Â± 6V (adjustable),Trip Time Delay-(On Phase Failure/ Unbalance),3.5 sec.Ã‚Â± 1.5 sec.,Resetting Mode,Auto / Manual / Remote,Weight,400 gms.,Mounting (L x W),67 x 46 alt/35 mm rail Mounting,,,,,,,1712656306-Product-Screenshot 2024-04-09 151925.png,6894338114-Minilec-VSP-D,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://5.imimg.com/data5/SELLER/Doc/2021/10/YE/ZA/OA/8174706/vsp-d1-minilec-phase-failure-relay.pdf,,,,76,56.5,117.5,,1,1-2 Days,
1165,"Minilec USP D1, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,USP D1,USP,USP D1,,860.00,Piece,Each,1,"Phase Failure Relay (Auto Reset, 60 Volts Unbalance Fixed 1 Co Contact )",,,,,,Supply Voltage-(System),"415 VAC± 20%, 50 Hz ± 3%",Output Contacts,Output Contacts1 CO,Trip Setting(Volts)-(Phase Sequence ),,Trip Setting(Volts)-(Phase Unbalance),60 VÃ‚Â± 6 V (fixed),Trip Time Delay-(On Phase Failure/ Unbalance),On Phase Failure3.5 sec. Ã‚Â± 1.5 sec. Instant for RP,Resetting Mode,Auto,Weight,100 gms (Approx.),Mounting (L x W),68 centre to centre/ 35 mm DIN rail Mounting,,,,,,,1712656306-Product-Screenshot 2024-04-09 151944.png,6286226969-Minilec-USP-D,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://minilecgroup.com/wp-content/uploads/2023/02/USP-D1.pdf,,,,76,30.5,117.5,,1,1-2 Days,
1166,"Minilec S2 VMR 1, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,S2 VMR 1,S2,S2 VMR 1,,1370.00,Piece,Each,1,"Phase Failure Relay (Auto/ Manual Reset, 2 CO Contact)",,,,,,Supply Voltage-(System),"100-120/220-240/380-440V AC, -25+20% 48-63 Hz",Output Contacts,2 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),4% to 20% (variable) Â± 5% of full scale,Trip Time Delay-(On Phase Failure/ Unbalance),4 sec. Ã‚Â± 1 sec./ RP-Instant,Resetting Mode,Auto / Manual Reset(Selected by front push button),Weight,100 gms.(Approx),Mounting (L x W),35 mm rail Mounting,,,,,,,1712656306-Product-Screenshot 2024-04-09 152001.png,9983857382-Minilec-S2-VM,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://minilecgroup.com/wp-content/uploads/2023/02/S2-VMR-1.pdf,,,,35,90,60,,1,1-2 Days,
1167,"Minilec ALV D2, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,ALV D2,ALV,ALV D2,,1825.00,Piece,Each,1,"Phase Failure Relay with Under & Over Voltage setting (Variable), (Auto Reset 40 Volt Unbalance)",,,,,,Supply Voltage-(System),110 / 240 / 380 / 415 / 440 V AC Ã‚Â±20% 50 / 60 Hz,Output Contacts,2 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),40 V Â±6 V (fixed),Trip Time Delay-(On Phase Failure/ Unbalance),3.5 secs. Ã‚Â± 1.5 sec,Resetting Mode,Auto Reset,Weight,400 gms.,Mounting (L x W),7 x 46 / 35 mm rail Mounting,,,,,,,1712656306-Product-Screenshot 2024-04-09 152019.png,6480472072-Minilec-ALV-D,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://5.imimg.com/data5/UE/AK/OE/SELLER-10775318/phase-failure-relay.pdf,,,,56.5,76,117.5,,1,1-2 Days,
1168,"Minilec S2 VMR 2, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,S2 VMR 2,VMR 2,S2 VMR 2,,1385.00,Piece,Each,1,"Phase Failure Relay with Fixed Under & Over Voltage setting (Auto Reset, 2 CO Contact)",,,,,,Supply Voltage-(System),"48-63 Hz, Selectable by Front Knob, 00-110-120 / 220-230-240 / 380-415-440V AC -25+20%",Output Contacts,2 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),10% (Fixed) Â± 10%,Trip Time Delay-(On Phase Failure/ Unbalance),2 - 5 Sec. (Fixed) / RP-Instant,Resetting Mode,Auto Reset,Weight,100 gms.(Approx),Mounting (L x W),35 mm Rail Mounting,,,,,,,1712656306-Product-Screenshot 2024-04-09 152043.png,4799738673-Minilec-S2-VM,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://5.imimg.com/data5/UE/AK/OE/SELLER-10775318/phase-failure-relay.pdf,,,,35,90,60,,1,1-2 Days,
1169,"Minilec S2 VMR 7, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,S2 VMR 7,VMR 7,S2 VMR 7,,1770.00,Piece,Each,1,"Phase Failure Relay with Fixed Under & Over Voltage setting (Auto Reset, 2 CO Contact)",,,,,,Supply Voltage-(System),"380 - 440 VAC,-± 20%, 3PH-3 Wire",Output Contacts,1 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),,Trip Time Delay-(On Phase Failure/ Unbalance),Instant,Resetting Mode,Auto Reset,Weight,90 gms. (Approx.),Mounting (L x W),35 mm rail Mounting,,,,,,,1712656734-Product-Screenshot 2024-04-09 152823.png,6375215926-Minilec-S2-VM,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://minilecgroup.com/wp-content/uploads/2023/02/PHASE-FAILURE-RELAYS.pdf,,,,18,90,60,,1,1-2 Days,
1170,"Minilec D2 VMR 2, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,D2 VMR 2,VMR 2,D2 VMR 2,,2335.00,Piece,Each,1,"Phase Failure Relay with Under & Over Voltage Relay setting (Variable), (Auto Reset, 4% - 20% Unbalance) with Neutral Fail Protection",,,,,,Supply Voltage-(System),"100-120 / 220-240 / 380-440V AC -25%+20%, 48-63 Hz",Output Contacts,2 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),4 % - 20 % [Variable],Trip Time Delay-(On Phase Failure/ Unbalance),Instant,Resetting Mode,Auto/ External Manual Reset (External NC Push Buttons),Weight,300 gms.,Mounting (L x W),67 x 46 / 35 mm rail Mounting,,,,,,,1712656491-Product-Screenshot 2024-04-09 152305.png,1838897895-Minilec-D2-VM,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://5.imimg.com/data5/UE/AK/OE/SELLER-10775318/phase-failure-relay.pdf,,,,56.5,76,117.5,,1,1-2 Days,
1171,"Minilec S2 VMR 3, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,S2 VMR 3,VMR 3,S2 VMR 3,,1440.00,Piece,Each,1,"Phase Failure with Under & Over Voltage Relay setting (Variable), (Auto Reset, 4% - 20% Unbalance)",,,,,,Supply Voltage-(System),"100-120 / 220-240 / 380-440V AC -25%+20%, 48-63 Hz",Output Contacts,2 CO,Trip Setting(Volts)-(Phase Sequence ),Yes,Trip Setting(Volts)-(Phase Unbalance),4 % - 20 % [Variable],Trip Time Delay-(On Phase Failure/ Unbalance),Instant,Resetting Mode,Auto/ Manual Reset [Selectable],Weight,110 gms.(Approx),Mounting (L x W),35 mm Rail Mounting,,,,,,,1712656491-Product-Screenshot 2024-04-09 152326.png,2299788717-Minilec-S2-VM,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://5.imimg.com/data5/UE/AK/OE/SELLER-10775318/phase-failure-relay.pdf,,,,35,90,60,,1,1-2 Days,
1172,"Minilec S2 VMR 6, Voltage Sensing Phase Failure Relays",Minilec,Factory Automation,Relay,Phase Failure Relays,Voltage Sensing Phase Failure Relays,S2 VMR 6,VMR 6,S2 VMR 6,,2225.00,Piece,Each,1,"Phase Failure Relay with Under & Over voltage setting (Variable), Neutral Fail Indication, Auto / Manual Reset, Fixed Trip Time / Power ON Delay, OV/UV adjustable, 94V + 4V Unbalance.",,,,,,Supply Voltage-(System),"415 VAC ± 20%, 3Phase, 4Wire System",Output Contacts,2 CO,Trip Setting(Volts)-(Phase Sequence ),,Trip Setting(Volts)-(Phase Unbalance),94 V Â± 6V ph - ph (Fixed),Trip Time Delay-(On Phase Failure/ Unbalance),5 Sec. Ã‚Â± 1 Sec. (Fixed),Resetting Mode,Auto Reset,Weight,110 gms. (Approx.),Mounting (L x W),35 mm Rail Mounting,,,,,,,1712656491-Product-Screenshot 2024-04-09 152357.png,7741477289-Minilec-S2-VM,85363000,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://minilecgroup.com/wp-content/uploads/2023/02/PHASE-FAILURE-RELAYS.pdf,,,,35,90,60,,1,1-2 Days,
