name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Power N Pack ,PP01P, 16A 230V 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 16A, 230V,6h",PP01P,P&P-Series,PP01P,,460.00,Piece,Each,1,"Power N Pack ,PP01P, 16A 230V 6h IP67, Standard Plug Socket",,,,,,Number of Pole,2+E,Current Rating,16Amp,Voltage Rating,230V,Earthing,6h,Colour,Blue,IP Protection,IP67,,,,,,,,,,,1712661672-Product-Screenshot 2024-04-09 165103.png,,,18%,https://www.power-pack.in/standardplugpp01p,,,,,,,,1,1-2 Days,
"Power N Pack, PP09P, 16A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 16A, 415V,6h",PP09P,P&P-Series,PP09P,,520.00,Piece,Each,1,"Power N Pack, PP09P, 16A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+E,Current Rating,16Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661885-Product-Screenshot 2024-04-09 165441.png,,,18%,https://www.power-pack.in/standardplugpp09p,,,,,,,,1,1-2 Days,
"Power N Pack, PP02P, 16A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 16A, 415V,6h",PP02P,P&P-Series,PP02P,,600.00,Piece,Each,1,"Power N Pack, PP02P, 16A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+N+E,Current Rating,16Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661885-Product-Screenshot 2024-04-09 165441.png,,,18%,https://www.power-pack.in/standardplugpp02p,,,,,,,,1,1-2 Days,
"Power N Pack, PP03P, 32A, 230V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 32A, 230V,6h",PP03P,P&P-Series,PP03P,,660.00,Piece,Each,1,"Power N Pack, PP03P, 32A, 230V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,2+E,Current Rating,32Amp,Voltage Rating,230V,Earthing,6h,Colour,Blue,IP Protection,IP67,,,,,,,,,,,1712661672-Product-Screenshot 2024-04-09 165103.png,,,18%,https://www.power-pack.in/standardplugpp03p,,,,,,,,1,1-2 Days,
"Power N Pack, PP10P, 32A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 32A, 415V,6h",PP10P,P&P-Series,PP10P,,720.00,Piece,Each,1,"Power N Pack, PP10P, 32A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+E,Current Rating,32Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661885-Product-Screenshot 2024-04-09 165441.png,,,18%,https://www.power-pack.in/standardplugpp10p,,,,,,,,1,1-2 Days,
"Power N Pack, PP04P, 32A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 32A, 415V,6h",PP04P,P&P-Series,PP04P,,840.00,Piece,Each,1,"Power N Pack, PP04P, 32A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+N+E,Current Rating,32Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661885-Product-Screenshot 2024-04-09 165441.png,,,18%,https://www.power-pack.in/standardplugpp04p,,,,,,,,1,1-2 Days,
"Power N Pack ,PP07P,63A 230V 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 63A, 230V,6h",PP07P,P&P-Series,PP07P,,"3,000.00",Piece,Each,1,"Power N Pack ,PP07P,63A 230V 6h IP67, Standard Plug Socket",,,,,,Number of Pole,2+E,Current Rating,63Amp,Voltage Rating,230V,Earthing,6h,Colour,Blue,IP Protection,IP67,,,,,,,,,,,1712661937-Product-Screenshot 2024-04-09 165533.png,,,18%,https://www.power-pack.in/standardplugpp07p,,,,,,,,1,1-2 Days,
"Power N Pack, PP11P, 63A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 63A, 415V,6h",PP11P,P&P-Series,PP11P,,3100.00,Piece,Each,1,"Power N Pack, PP11P, 63A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+E,Current Rating,63Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661977-Product-Screenshot 2024-04-09 165612.png,,,18%,,,,,,,,,1,1-2 Days,
"Power N Pack, PP05P, 63A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 63A, 415V,6h",PP05P,P&P-Series,PP05P,,3300.00,Piece,Each,1,"Power N Pack, PP05P, 63A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+N+E,Current Rating,63Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661977-Product-Screenshot 2024-04-09 165612.png,,,18%,https://www.power-pack.in/standardplugpp05p,,,,,,,,1,1-2 Days,
"Power N Pack, PP08P, 125A, 230V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 125A, 230V,6h",PP08P,P&P-Series,PP08P,,6800.00,Piece,Each,1,"Power N Pack, PP08P, 125A, 230V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,2+E,Current Rating,125Amp,Voltage Rating,230V,Earthing,6h,Colour,Blue,IP Protection,IP67,,,,,,,,,,,1712661937-Product-Screenshot 2024-04-09 165533.png,,,18%,https://www.power-pack.in/standardplugpp08p,,,,,,,,1,1-2 Days,
"Power N Pack, PP12P, 125A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 125A, 415V,6h",PP12P,P&P-Series,PP12P,,7500.00,Piece,Each,1,"Power N Pack, PP12P, 125A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+E,Current Rating,125Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661977-Product-Screenshot 2024-04-09 165612.png,,,18%,https://www.power-pack.in/standardplugpp12p,,,,,,,,1,1-2 Days,
"Power N Pack, PP06P, 125A, 415V, 6h IP67, Standard Plug Socket",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Plug Socket,"Standard Plug Socket, 125A, 415V,6h",PP06P,P&P-Series,PP06P,,8000.00,Piece,Each,1,"Power N Pack, PP06P, 125A, 415V, 6h IP67, Standard Plug Socket",,,,,,Number of Pole,3+N+E,Current Rating,125Amp,Voltage Rating,415V,Earthing,6h,Colour,Red,IP Protection,IP67,,,,,,,,,,,1712661977-Product-Screenshot 2024-04-09 165612.png,,,18%,https://power-pack.in/standardplugpp06p,,,,,,,,1,1-2 Days,
"Power N Pack ,PP01S,16A 230V 6h IP67, Standard Connector",Power N Pack,Panel & Panel Accessories,Plug and Socket,Standard Connector,"Standard Connector, 16A, 230V,6h",PP01S,P&P-Series,PP01S,,520.00,Piece,Each,1,"Power N Pack ,PP01S,16A 230V 6h IP67, Standard Connector",,,,,,Number of Pole,2+E,Current Rating,16Amp,Voltage Rating,230V,Earthing,6h,Colour,Blue,IP Protection,IP67,,,,,,,,,,,1712662123-Product-Screenshot 2024-04-09 165839.png,,,18%,https://www.power-pack.in/standardconnectorspp01s,,,,,,,,1,1-2 Days,
