c1_category,c2_category,leaf_category
Variable Frequency Drive,Three Phase AC Drive,"Single Phase Variable Frequency Drive 200 V, 0.7kw"
Variable Frequency Drive,Three Phase AC Drive,"Single Phase Variable Frequency Drive, 200 V, 2.2kW"
Variable Frequency Drive,Three Phase AC Drive,"Single Phase Variable Frequency Drive, 200 V, 1.5kW"
Variable Frequency Drive,Single Phase AC Drive,"Single Phase Variable Frequency Drive, 200 V, 0.4kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 0.75kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 1.5kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 2.2kW"
Variable Frequency Drive,Single Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 3.7kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 5.5kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 0.75kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 1.5kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 5.5kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 7.5kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 11kW"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 15kW"
