name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi, FR-D720S-042-E16, Single Phase Variable Frequency Drive 200 V, 0.7kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Single Phase Variable Frequency Drive 200 V, 0.7kw",FR-D720S-042-E16,FR-D700,FR-D720S-042-E16,21100,9495,Piece,Each,1,"Mitsubishi FR-D720S-042-E16, D700 Single Phase, 0.75kW, 4.2A, 1HP, 200 V, IP20, Constant Torque:- Buy Mitsubishi FR-D720S-042-E16, D700 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Current Rating,4.2 A,Supply Voltage,200 V,Phases,Single Phase,Motor Rating,1 HP,Power Rating,0.75kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739273-Product-Screenshot 2024-04-10 141859.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,68mm,128mm,142.5mm,0.9kg,1,1-2 Days,
"Mitsubishi, FR-D720S-100-E16, Single Phase Variable Frequency Drive, 200 V, 2.2kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Single Phase Variable Frequency Drive, 200 V, 2.2kW",FR-D720S-100-E16,FR-D700,FR-D720S-100-E16,32740,14733,Piece,Each,1,"Mitsubishi FR-D720S-100-E16, D700 Single Phase, 2.2kW, 10A, 3HP, 200 V, IP20, Constant Torque:- Buy Mitsubishi FR-D720S-100-E16, D700 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Current Rating,10A,Supply Voltage,200 V,Phases,Single Phase,Motor Rating,3 HP,Power Rating,2.2kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739273-Product-Screenshot 2024-04-10 141859.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,68mm,128mm,142.5mm,2kg,1,1-2 Days,
"Mitsubishi, FR-D720S-070-E16, Single Phase Variable Frequency Drive, 200 V, 1.5kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Single Phase Variable Frequency Drive, 200 V, 1.5kW",FR-D720S-070-E16,FR-D700,FR-D720S-070-E16,27235,12255.75,Piece,Each,1,"Mitsubishi FR-D720S-070-E16, D700 Single Phase, 1.5kW, 7A, 2HP, 200 V, IP20, Constant Torque:- Buy Mitsubishi FR-D720S-070-E16, D700 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Current Rating,7A,Supply Voltage,200 V,Phases,Single Phase,Motor Rating,2 HP,Power Rating,1.5kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739273-Product-Screenshot 2024-04-10 141859.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,68mm,128mm,142.5mm,1.5kg,1,1-2 Days,
"Mitsubishi, FR-D720S-025-E16, Single Phase Variable Frequency Drive, 200 V, 0.4kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"Single Phase Variable Frequency Drive, 200 V, 0.4kW",FR-D720S-025-E16,FR-D700,FR-D720S-025-E16,19100,8595,Piece,Each,1,"Mitsubishi FR-D720S-025-E16, FR-D700 Single Phase, 0.4kW, 2.5A, 1HP, 400 V, IP20, Constant Torque:- Buy Mitsubishi FR-D720S-025-E16, FR-D700 in Best Rate All Over India.",,,,,,Current Rating,2.5 A,Supply Voltage,200 V,Phases,Single Phase,Motor Rating,1 HP,Power Rating,0.4kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739802-Product-Screenshot 2024-04-10 143310.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,68mm,128mm,142.5mm,1.2kg,1,1-2 Days,
"Mitsubishi, FR-D740-022-E16, Three Phase Variable Frequency Drive, 400 V, 0.75kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 0.75kW",FR-D740-022-E16,FR-D700,FR-D740-022-E16,26220,11799,Piece,Each,1,"Mitsubishi FR-D740-022-E16, D700 Three Phase, 0.75kW, 2.2A, 1HP, 400 V, IP20, Constant Torque:- Buy Mitsubishi FR-D740-022-E16, D700 in Best Rate All Over India.",1712739420-Product-Screenshot 2024-04-10 142652.png,,,,,Current Rating,2.2 A,Supply Voltage,400 V,Phases,Three Phase,Motor Rating,1 HP,Power Rating,0.75kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739493-Product-Screenshot 2024-04-10 142804.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,108mm,128mm,129.5mm,1.3kg,1,1-2 Days,
"Mitsubishi, FR-D740-036-E16, Three Phase Variable Frequency Drive, 400 V, 1.5kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 1.5kW",FR-D740-036-E16,FR-D700,FR-D740-036-E16,32032,14414.4,Piece,Each,1,"Mitsubishi FR-D740-036-E16, D700 Three Phase, 1.5kW, 3.6A, 2HP, 400 V, IP20, Constant Torque:- Buy Mitsubishi FR-D740-036-E16, D700 in Best Rate All Over India.",1712739420-Product-Screenshot 2024-04-10 142652.png,,,,,Current Rating,3.6 A,Supply Voltage,400 V,Phases,Three Phase,Motor Rating,2 HP,Power Rating,1.5kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739493-Product-Screenshot 2024-04-10 142804.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,108mm,128mm,129.5mm,1.5kg,1,1-2 Days,
"Mitsubishi, FR-D740-050-E16, Three Phase Variable Frequency Drive, 400 V, 2.2kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 2.2kW",FR-D740-050-E16,FR-D700,FR-D740-050-E16,38832,17474.4,Piece,Each,1,"MitsubishiFR-D740-050-E16, D700 Three Phase, 2.2kW, 5A, 3HP, 400 V, IP20, Constant Torque:- Buy MitsubishiFR-D740-050-E16, D700 in Best Rate All Over India.",1712739420-Product-Screenshot 2024-04-10 142652.png,,,,,Current Rating,5A,Supply Voltage,400 V,Phases,Three Phase,Motor Rating,3 HP,Power Rating,2.2kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739493-Product-Screenshot 2024-04-10 142804.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,108mm,128mm,129.5mm,1.5kg,1,1-2 Days,
"Mitsubishi, FR-D740-080-E16, Three Phase Variable Frequency Drive, 400 V, 3.7kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 3.7kW",FR-D740-080-E16,FR-D700,FR-D740-080-E16,45100,20295,Piece,Each,1,"Mitsubishi FR-D740-080-E16, D700 Three Phase, 2.2kW, 5A, 5HP, 400 V, IP20, Constant Torque:- Buy Mitsubishi FR-D740-080-E16, D700 in Best Rate All Over India.",1712739420-Product-Screenshot 2024-04-10 142652.png,,,,,Current Rating,8A,Supply Voltage,400 V,Phases,Three Phase,Motor Rating,5 HP,Power Rating,3.7kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739493-Product-Screenshot 2024-04-10 142804.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,108mm,128mm,129.5mm,3.3kg,1,1-2 Days,
"Mitsubishi, FR-D740-120-E16, Three Phase Variable Frequency Drive, 400 V, 5.5kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 5.5kW",FR-D740-120-E16,FR-D700,FR-D740-120-E16,49370,22216.5,Piece,Each,1,"Mitsubishi FR-D740-120-E16, D700 Three Phase, 2.2kW, 12A, 5.5HP, 400 V, IP20, Constant Torque:- Buy Mitsubishi FR-D740-120-E16, D700 in Best Rate All Over India.",1712739420-Product-Screenshot 2024-04-10 142652.png,,,,,Current Rating,12A,Supply Voltage,400 V,Phases,Three Phase,Motor Rating,7.5 HP,Power Rating,5.5kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 0.5s (inverse-time characteristics)",,,,,,,,,1712739493-Product-Screenshot 2024-04-10 142804.png,,85049090,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06055eng/l06055engh.pdf,,,,108mm,128mm,129.5mm,3.3kg,1,1-2 Days,
"Mitsubishi, FR-E740-026-E16, Three Phase Variable Frequency Drive, 400 V, 0.75kW",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Variable Frequency Drive, 400 V, 0.75kW",FR-E740-026-E16,FR-E700,FR-E740-026-E16,37230,16753.5,Piece,Each,1,"Mitsubishi FR-E740-026-E16, FR-E700 Three Phase, 0.75kW, 2.6A, 1HP, 400 V, IP20, Constant Torque:- Buy Mitsubishi FR-E740-026-E16, FR-E700 in Best Rate All Over India.",,,,,,Current Rating,2.6 A,Supply Voltage,400 V,Phases,Three Phase,Motor Rating,1 HP,Power Rating,0.75kW,IP Rating,IP 20,Output Overload Current Rating,"150% 60s, 200% 3s (inverse-time characteristics)",,,,,,,,,1712739653-Product-Screenshot 2024-04-10 142943.png,,85049090,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06051eng/l06051engd.pdf,,,,140mm,150mm,114mm,1.4kg,1,1-2 Days,
