name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Salzer(L&T) 61191, 16A 1Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61191,,61191,,336,Piece,Each,1,,,,,,,Current Rating,(16 A),No Of Pole,1 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829676-Product-Screenshot 2024-04-11 153106.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61191, 25A 1Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61191,,61191,,369,Piece,Each,1,,,,,,,Current Rating,(25 A),No Of Pole,1 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829676-Product-Screenshot 2024-04-11 153106.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T)61191, 32A 1Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61191,,61191,,461,Piece,Each,1,,,,,,,Current Rating,(32 A),No Of Pole,1 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829676-Product-Screenshot 2024-04-11 153106.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61191, 40A 1Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61191,,61191,,588,Piece,Each,1,,,,,,,Current Rating,(40 A),No Of Pole,1 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829676-Product-Screenshot 2024-04-11 153106.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61191, 63A 1Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61191,,61191,,687,Piece,Each,1,,,,,,,Current Rating,(63 A),No Of Pole,1 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829676-Product-Screenshot 2024-04-11 153106.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61191, 100A 1Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61191,,61191,,3611,Piece,Each,1,,,,,,,Current Rating,(100 A),No Of Pole,1 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829676-Product-Screenshot 2024-04-11 153106.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61191, 200A 1Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61191,,61191,,4663,Piece,Each,1,,,,,,,Current Rating,(200 A),No Of Pole,1 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829676-Product-Screenshot 2024-04-11 153106.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61192, 6A 2Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61192,,61192,,188,Piece,Each,1,,,,,,,Current Rating,(6 A),No Of Pole,2 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829761-Product-Screenshot 2024-04-11 153232.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61192, 10A 2Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61192,,61192,,282,Piece,Each,1,,,,,,,Current Rating,(10 A),No Of Pole,2 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829761-Product-Screenshot 2024-04-11 153232.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61192, 16A 2Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61192,,61192,,384,Piece,Each,1,,,,,,,Current Rating,(16 A),No Of Pole,2 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829761-Product-Screenshot 2024-04-11 153232.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61192, 25A 2Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61192,,61192,,454,Piece,Each,1,,,,,,,Current Rating,(25 A),No Of Pole,2 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829761-Product-Screenshot 2024-04-11 153232.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61192, 32A 2Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61192,,61192,,536,Piece,Each,1,,,,,,,Current Rating,(32 A),No Of Pole,2 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829761-Product-Screenshot 2024-04-11 153232.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer(L&T) 61192, 40A 2Pole ON-OFF, Isolators Switches (ON-OFF Switches) 90 Deg Operation",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,Isolators Switches (ON-OFF Switches),61192,,61192,,710,Piece,Each,1,,,,,,,Current Rating,(40 A),No Of Pole,2 ON-OFF,Colour,Yellow,,,,,,,,,,,,,,,,,1712829761-Product-Screenshot 2024-04-11 153232.png,,,18%,,,,,,,,,1,1-2 Days,
