c1_category,c2_category,leaf_category
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)"
