name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Salzer(L&T), 61025, (6 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,188,Piece,Each,1,"Salzer(L&T), 61025, (6 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(6 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T) , 61025, (10 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,311,Piece,Each,1,"Salzer(L&T) , 61025, (10 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(10 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61025, (16 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,422,Piece,Each,1,"Salzer(L&T), 61025, (16 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(16 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61025, (25 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,461,Piece,Each,1,"Salzer(L&T), 61025, (25 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(25 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61025, (32 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,515,Piece,Each,1,"Salzer(L&T), 61025, (32 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(32 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61025, (40 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,687,Piece,Each,1,"Salzer(L&T), 61025, (40 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(40 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61025, (63 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,930,Piece,Each,1,"Salzer(L&T), 61025, (63 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(63 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61025, (100 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,4663,Piece,Each,1,"Salzer(L&T), 61025, (100 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(100 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61025, (200 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61025,,61025,,6743,Piece,Each,1,"Salzer(L&T), 61025, (200 A), 1P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(200 A),No Of Pole,1 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
"Salzer(L&T), 61026, (6 A), 2P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Cam Operated Rotary Switches,"Changeover Switches,(Local - Remote / Auto - Manual Switches)",61026,,61026,,253,Piece,Each,1,"Salzer(L&T), 61026, (6 A), 2P, 2W, Changeover Switches,(Local - Remote / Auto - Manual Switches), 60 Deg With Center OFF",,,,,,Current Rating,(6 A),No Of Pole,2 ON-OFF,Power Rating,2W,Colour,Yellow,,,,,,,,,,,,,,,1712906453-Product-Screenshot 2024-04-12 125037.png,,,18%,,,,,,,,,1,1-2 Dyas,
