name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BES001T- Inductive 2-wire sensors, Range 2 mm, Style M8x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 2 mm, Style M8x1",BES001T,BES,BES001T,,4903.46,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,8 x 40 mm,Style,M8x1,Installation,For Flush Mounting,Range,2 mm,Switching output,Non-polarized normally open (NO),Switching frequency,1500 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PBT,Connection,"Cable, 2.00 m, PVC",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989664-Product-BES001T.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=229702&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES04Z9- Inductive 2-wire sensors, Range 3 mm, Style M12x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 3 mm, Style M12x1",BES04Z9,BES,BES04Z9,,4195.74,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,12 x 43 mm,Style,M12x1,Installation,For Flush Mounting,Range,3 mm,Switching output,Non-polarized normally closed (NC),Switching frequency,1300 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Cable, 5.00 m, PVC",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989679-Product-BES04Z9.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=242289&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES001W- Inductive 2-wire sensors, Range 2 mm,Style M8x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 2 mm,Style M8x1",BES001W,BES,BES001W,,5535.35,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,8 x 40 mm,Style,M8x1,Installation,For Flush Mounting,Range,2 mm,Switching output,Non-polarized normally open (NO),Switching frequency,1500 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PBT,Connection,"Cable, 5.00 m, PVC",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989693-Product-BES001W.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=246305&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES024L- Inductive 2-wire sensors, Range 3 mm, Style M12x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 3 mm, Style M12x1",BES024L,BES,BES024L,,3500.67,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,12 x 43 mm,Style,M12x1,Installation,For Flush Mounting,Range,3 mm,Switching output,polarized normally closed (NC),Switching frequency,1300 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Cable, 2.00 m, PVC",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989707-Product-BES024L.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=267523&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02NT- Inductive 2-wire sensors, Range 7 mm, Style M18x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 7 mm, Style M18x1",BES02NT,BES,BES02NT,,5029.84,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,18 x 46 mm,Style,M18x1,Installation,For Flush Mounting,Range,7 mm,Switching output,polarized normally closed (NC),Switching frequency,600 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Cable, 2.00 m, PVC",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989722-Product-BES02NT.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=267534&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES039J- Inductive 2-wire sensors, Range 7 mm, Style M18x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 7 mm, Style M18x1",BES039J,BES,BES039J,,5661.73,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,18 x 46 mm,Style,M18x1,Installation,For Flush Mounting,Range,7 mm,Switching output,polarized normally closed (NC),Switching frequency,600 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Cable, 5.00 m, PUR",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989738-Product-BES039J.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=267533&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES0043- Inductive 2-wire sensors, Range 3 mm, Style M12x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 3 mm, Style M12x1",BES0043,BES,BES0043,,3702.87,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,12 x 43 mm,Style,M12x1,Installation,For Flush Mounting,Range,3 mm,Switching output,polarized normally open (NO),Switching frequency,1300 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Cable, 3.00 m, PUR",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989750-Product-BES0043.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=230867&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES004W- Inductive 2-wire sensors, Range 3 mm, Style M12x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 3 mm, Style M12x1",BES004W,BES,BES004W,,4195.74,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,12 x 43 mm,Style,M12x1,Installation,For Flush Mounting,Range,3 mm,Switching output,Non-polarized normally open (NO),Switching frequency,1300 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Cable, 5.00 m, PVC",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989773-Product-BES004W.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=230871&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES0041- Inductive 2-wire sensors, Range 3 mm, Style M12x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 3 mm, Style M12x1",BES0041,BES,BES0041,,6799.13,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,12 x 50 mm,Style,M12x1,Installation,For Flush Mounting,Range,3 mm,Switching output,Non-polarized normally open (NO),Switching frequency,1300 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989787-Product-BES0041.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=231432&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES004U- Inductive 2-wire sensors, Range 3 mm, Style M12x1",Balluff,Sensors,Inductive sensors,Inductive 2-wire sensors,"Inductive 2-wire sensors, Range 3 mm, Style M12x1",BES004U,BES,BES004U,,3702.87,Piece,Each,1,"With Inductive 2-wire sensors from Balluff, you can reduce the number of variants in your application in a targeted manner. This saves you storage space and costs, without losing functionality. Our standard range of 2-wire technology with a range of 0 to 50 mm includes sensors in M8 to M30, and also comes in a cuboid configuration. It is suitable for most PNP or NPN control systems. Our Inductive 2-wire sensors are also available with increased switching distance.",,,,,,Dimension,12 x 43 mm,Style,M12x1,Installation,For Flush Mounting,Range,3 mm,Switching output,Non-polarized normally open (NO),Switching frequency,1300 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PA 12,Connection,"Cable, 3.00 m, PVC",Operating voltage Ub,10...36 VDC,Ambient temperature,(-25~70 deg C),1712989797-Product-BES004U.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=230870&con=en&ws=appoval,,,,,,,,1,1-2 Days,
