c1_category,c2_category,leaf_category
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 2 mm , Style M8x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 15 mm, Style M30x1.5 40x40"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 20 mm, Style M12x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 3 mm, Style M12x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 5 mm, Style M18x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 5 mm, Style 32x20x8c"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 1.5 mm, Style M8x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 20 mm , Style M30x1.5"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 25 mm , Style 40x40"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 20 mm , Style 40x40"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 3 mm , Style M12x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 3 mm, Style M12x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 5 mm, Style 32x20x8"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 35 mm, Style 40x40"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 1.5 mm, Style M8x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 12 mm, Style M18x1"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 5 mm, Style 32x20x8"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 35 mm, Style 40x40"
Inductive Sensors,Inductive Factor 1 Sensors,"Inductive Factor 1 Sensors, Range 35 mm, Style 40x40"
