c1_category,c2_category,leaf_category
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 6 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 10 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 16 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 20 A - B curve
Low Voltage Switch Gear,MCB,Miniature Crcuit Breaker - xC60 - 1 pole - 25 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 32 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 40 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 63 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 6 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 10 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 16 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 20 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 25 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 32 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 40 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 63 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 6 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 10 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker- xC60 - 3 pole - 16 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 20 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 25 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 32 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 40 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 63 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 6 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 10 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 16 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 20 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 25 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 32 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 40 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 63 A - B curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 1A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 2A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 3A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 4A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 6A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 10A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 16A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 20A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 25A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 32A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 40A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 63A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 1A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 2A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 3A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 4A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 6A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 10A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 16A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 20A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 25A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 32A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 40A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 63A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 1A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 2A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 3A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 4A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 6A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 10A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 16A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 20A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 25A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 32A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 40A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 3 pole - 63A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 1A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 2A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 3A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 4A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 6A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 10A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 16A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 20A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 25A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 32A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 40A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 4 pole - 63A - C curve
Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 1A - D curve
