name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Schneider Electric A9N1P06B- Miniature Circuit Breaker - xC60 - 1 pole - 6 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 6 A - B curve,A9N1P06B,Acti 9,A9N1P06B,,521.56,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 6A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 15 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker protects circuit against short circuit and overload current. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 20000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦70 Ãƒâ€šÃ‚Â°C. The storage temperature is -40Ãƒâ€šÃ‚Â°C to 85Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve Code,B,Rated Current In [A],6A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,2 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N1P10B- Miniature Circuit Breaker - xC60 - 1 pole - 10 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 10 A - B curve,A9N1P10B,Acti 9,A9N1P10B,,521.56,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 10A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 15 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker combines functions of circuit protection against short circuit and overload current, control and isolation. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 20000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve code,B,Rated Current In [A],10A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,2 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N1P16B- Miniature Circuit Breaker - xC60 - 1 pole - 16 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 16 A - B curve,A9N1P16B,Acti 9,A9N1P16B,,521.56,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 16A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 15 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker protects circuit against short circuit and overload current. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 20000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve code,B,Rated Current In [A],16A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,2 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N1P20B- Miniature Circuit Breaker - xC60 - 1 pole - 20 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 20 A - B curve,A9N1P20B,Acti 9,A9N1P20B,,521.56,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 20A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 15 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker combines functions of circuit protection against short circuit and overload current, control and isolation. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 20000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve code,B,Rated Current In [A],20A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,2 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N1P25B- Miniature Crcuit Breaker - xC60 - 1 pole - 25 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Crcuit Breaker - xC60 - 1 pole - 25 A - B curve,A9N1P25B,Acti 9,A9N1P25B,,521.56,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 25A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 15 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker protects circuit against short circuit and overload current. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 10000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve code,B,Rated Current In [A],25A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,2 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N1P32B- Miniature Circuit Breaker - xC60 - 1 pole - 32 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 32 A - B curve,A9N1P32B,Acti 9,A9N1P32B,,521.56,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 32A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 15 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker protects circuit against short circuit and overload current. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 10000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve code,B,Rated Current In [A],32A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,3.5 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N1P40B- Miniature Circuit Breaker - xC60 - 1 pole - 40 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 40 A - B curve,A9N1P40B,Acti 9,A9N1P40B,,1132.8,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 40A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 15 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker combines functions of circuit protection against short circuit and overload current, control and isolation. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 10000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve code,B,Rated Current In [A],40A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,3.5 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N1P63B- Miniature Circuit Breaker - xC60 - 1 pole - 63 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 1 pole - 63 A - B curve,A9N1P63B,Acti 9,A9N1P63B,,1148.14,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 1P circuit breaker with 1 protected poles and 63A In rated current and C tripping curve. The rated short circuit breaking capacity goes up to 10 kA at 220VAC to 240VAC conforming to EN/IEC 60947-2 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker protects circuit against short circuit and overload current. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 10000 cycles. The Ue operational voltage is going from 220VAC to 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 2 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 18mm x (H) 85mm x (D) 77.5mm. The weight is 0.115kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,SP,Curve code,B,Rated Current In [A],63A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"220...240 V AC 50/60 Hz,12...48 V DC,60 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,3.5 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713166839-Product-Screenshot 2024-04-15 130838.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,18 mm,85 mm,77.5 mm,0.115 kg,1,1-2 Days,
Schneider Electric A9N2P06B- Miniature Circuit Breaker - xC60 - 2 pole - 6 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 6 A - B curve,A9N2P06B,Acti 9,A9N2P06B,,1548.16,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 2P circuit breaker with 2 protected poles and 6A In rated current and C tripping curve. The rated short circuit breaking capacity goes up to 10000 A at 415VAC conforming to EN/IEC 60898-1 standard and 10000A at 415VAC conforming to EN/IEC 60898-1 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker protects circuit against short circuit and overload current. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 20000 cycles. The Ue operational voltage is going from 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 4 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 36mm x (H) 85mm x (D) 77.5mm. The weight is 0.215kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,DP,Curve code,B,Rated Current In [A],6A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"240 V AC 50/60 Hz,380...415 V AC 50/60 Hz,100...125 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,2 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713167607-Product-Screenshot 2024-04-15 132315.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,36 mm,85 mm,77.5 mm,0.215 kg,1,1-2 Days,
Schneider Electric A9N2P10B- Miniature Circuit Breaker - xC60 - 2 pole - 10 A - B curve,Schneider Electric,Factory Automation,Low Voltage Switch Gear,MCB,Miniature Circuit Breaker - xC60 - 2 pole - 10 A - B curve,A9N2P10B,Acti 9,A9N2P10B,,1548.16,Piece,Each,1,"This Acti9 xC60 is a multistandard low voltage biconnect miniature circuit breaker (MCB). It is a 2P circuit breaker with 2 protected poles and 10A In rated current and B tripping curve. The rated short circuit breaking capacity goes up to 10000 A at 415VAC conforming to EN/IEC 60898-1 standard and 10000A at 415VAC conforming to EN/IEC 60898-1 standard. It complies with both industrial standard EN/IEC 60898-1 and residential standard EN/IEC 60947-2. This miniature circuit breaker combines functions of circuit protection against short circuit and overload current, control and isolation. The presence of the green strip guarantees physical opening of the contacts. It allows operations to be performed on the downstream circuit in complete safety. Mechanical durability goes up to 20000 cycles and electrical durability goes up to 20000 cycles. The Ue operational voltage is going from 240VAC. The Ui rated insulation voltage is 500VAC. The Uimp rated impulse withstand voltage is 6kV. The operating frequency is 50Hz or 60Hz. It can be mounted on DIN rail for modular installation. Its width is 4 pitches of 9mm. Pollution degree is 3. The product colour is white (RAL9003). The dimensions are (W) 36mm x (H) 85mm x (D) 77.5mm. The weight is 0.215kg. According to IEC 60529 standard, the degree of protection is IP20 and IP40 in enclosure. The operating temperature is -30ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 70ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C. The storage temperature is -40ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C to 85ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â°C.",,,,,,No. of Poles,DP,Curve code,B,Rated Current In [A],10A,Device Application,Distribution,Range,Acti9,Trip Unit Technology,Thermal-magnetic,Network Frequency,50/60 Hz,Rated Operational Voltage [Ue],"240 V AC 50/60 Hz,380...415 V AC 50/60 Hz,100...125 V DC",IP Degree of Protection,IP20 conforming to IEC 60529,Tightening torque,2 N.m,Ambient Air Temperature For Operation,(-30 -70 °C),1713167607-Product-Screenshot 2024-04-15 132315.png,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://download.schneider-electric.com/files?p_enDocType=Catalog&p_File_Name=Acti9+India-Technical-Catalogue.pdf&p_Doc_Ref=Acti9_Technical_Catalogue,,,,36 mm,85 mm,77.5 mm,0.215 kg,1,1-2 Days,
