c1_category,c2_category,leaf_category
Low Voltage Switch Gear,MCCB,"MCCB 100 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 2 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 2 Pole, 18 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 40 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 18 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 18 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 80 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 63 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 50 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 32 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 25 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 125 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 10 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)"
Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)"
