name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"4510041U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Red, PVC FR, Length: 100 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510041U100,7.902/Mtr,4510041U100,8.00/Mtr,800,Meter,Each,1,"4510041U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Red, PVC FR, Length: 100 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Red,Length,100 m,,,,,,,,,1713244723-Product-Screenshot 2024-04-16 104316.png,,,18%,,,,,,,,,1,1-2 Days,
"4510041U300, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Red, PVC FR, Length: 300 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510041U300,7.902/Mtr,4510041U300,8.00/Mtr,2400,Meter,Each,1,"4510041U300, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Red, PVC FR, Length: 300 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Red,Length,300 m,,,,,,,,,1713244723-Product-Screenshot 2024-04-16 104316.png,,,18%,,,,,,,,,1,1-2 Days,
"4510041U500, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Red, PVC FR, Length: 500 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510041U500,7.902/Mtr,4510041U500,8.00/Mtr,4000,Meter,Each,1,"4510041U500, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Red, PVC FR, Length: 500 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Red,Length,500 m,,,,,,,,,1713244723-Product-Screenshot 2024-04-16 104316.png,,,18%,,,,,,,,,1,1-2 Days,
"4510111U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Yellow, PVC FR, Length: 100 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510111U100,7.902/Mtr,4510111U100,8.00/Mtr,800,Meter,Each,1,"4510111U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Yellow, PVC FR, Length: 100 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Yellow,Length,100 m,,,,,,,,,1713244815-Product-Screenshot 2024-04-16 105009.png,,,18%,,,,,,,,,1,1-2 Days,
"4510111U300, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Yellow, PVC FR, Length: 300 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510111U300,7.902/Mtr,4510111U300,8.00/Mtr,2400,Meter,Each,1,"4510111U300, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Yellow, PVC FR, Length: 300 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Yellow,Length,300 m,,,,,,,,,1713244815-Product-Screenshot 2024-04-16 105009.png,,,18%,,,,,,,,,1,1-2 Days,
"4510111U500, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Yellow, PVC FR, Length: 500 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510111U500,7.902/Mtr,4510111U500,8.00/Mtr,4000,Meter,Each,1,"4510111U500, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Yellow, PVC FR, Length: 500 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Yellow,Length,500 m,,,,,,,,,1713244815-Product-Screenshot 2024-04-16 105009.png,,,18%,,,,,,,,,1,1-2 Days,
"4510021U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Blue, PVC FR, Length: 100 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510021U100,7.902/Mtr,4510021U100,8.00/Mtr,800,Meter,Each,1,"4510021U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Blue, PVC FR, Length: 100 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Blue,Length,100 m,,,,,,,,,1713245059-Product-Screenshot 2024-04-16 105055.png,,,18%,,,,,,,,,1,1-2 Days,
"4510021U300, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Blue, PVC FR,Length: 300 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510021U300,7.902/Mtr,4510021U300,8.00/Mtr,2400,Meter,Each,1,"4510021U300, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Blue, PVC FR,Length: 300 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Blue,Length,300 m,,,,,,,,,1713245059-Product-Screenshot 2024-04-16 105055.png,,,18%,,,,,,,,,1,1-2 Days,
"4510021U500, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Blue, PVC FR, Length: 500 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510021U500,7.902/Mtr,4510021U500,8.00/Mtr,4000,Meter,Each,1,"4510021U500, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Blue, PVC FR, Length: 500 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Blue,Length,500 m,,,,,,,,,1713245059-Product-Screenshot 2024-04-16 105055.png,,,18%,,,,,,,,,1,1-2 Days,
"4510011U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Black, PVC FR, Length: 100 m",Lapp,Panel & Panel Accessories,Wires & Cables,Single Core Cables,MultiStrand Flexible,4510011U100,7.902/Mtr,4510011U100,8.00/Mtr,800,Meter,Each,1,"4510011U100, Lapp Olflex Uniplus 0.5 sq.mm, Single Core Copper Flexible Cable, Black, PVC FR, Length: 100 m",,,,,,Conductor Material,Copper,Conductor Size,0.5 sq.mm,Insulation Type,PVC FR,No of Core,1 Core,Shielding Type,Without Shielding,Outer Sheath Colour,Black,Length,100 m,,,,,,,,,1713245059-Product-Screenshot 2024-04-16 105105.png,,,18%,,,,,,,,,1,1-2 Days,
