name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"26K14006A, Socomec Sirco Load Break Switch 63A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 63A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",26K14006A,,26K14006A,,2991.3,Piece,Unit,1,"26K14006A, Socomec Sirco Load Break Switch 63A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,63 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14010A, Socomec Sirco Load Break Switch 100A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 100A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",26K14010A,,26K14010A,,5128.575,Piece,Unit,1,"26K14010A, Socomec Sirco Load Break Switch 100A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,100 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14011A, Socomec Sirco Load Break Switch 125A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 125A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",26K14011A,,26K14011A,,5610.9,Piece,Unit,1,"26K14011A, Socomec Sirco Load Break Switch 125A, 4 Pole, 415 V AC, Frame B2, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,125 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14016A, Socomec Sirco Load Break Switch 160A, 4 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 160A, 4 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",26K14016A,,26K14016A,,7841.1,Piece,Unit,1,"26K14016A, Socomec Sirco Load Break Switch 160A, 4 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,160A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14019A, Socomec Sirco Load Break Switch 200A, 4 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 4 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",26K14019A,,26K14019A,,8150.85,Piece,Unit,1,"26K14019A, Socomec Sirco Load Break Switch 200A, 4 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,200A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14020A, Socomec Sirco Load Break Switch 200A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K14020A,,26K14020A,,8911.95,Piece,Unit,1,"26K14020A, Socomec Sirco Load Break Switch 200A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,200A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14025A, Socomec Sirco Load Break Switch 250A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 250A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K14025A,,26K14025A,,11584.65,Piece,Unit,1,"26K14025A, Socomec Sirco Load Break Switch 250A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,250A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14030A, Socomec Sirco Load Break Switch 315A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K14030A,,26K14030A,,11677.58,Piece,Unit,1,"26K14030A, Socomec Sirco Load Break Switch 315A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,315A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14039A, Socomec Sirco Load Break Switch 400A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 400A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K14039A,,26K14039A,,14514,Piece,Unit,1,"26K14039A, Socomec Sirco Load Break Switch 400A, 4 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,400A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
"26K14031A, Socomec Sirco Load Break Switch 315A, 4 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 4 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",26K14031A,,26K14031A,,12934.28,Piece,Unit,1,"26K14031A, Socomec Sirco Load Break Switch 315A, 4 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,315A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713329510-Product-Screenshot 2024-04-17 102129.png,,,18%,,,,,,,,,1,1-2 Days,
