name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"95034004SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 40 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 40 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",95034004SL,ATyS S,95034004SL,,23598.53,Piece,Unit,1,"95034004SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 40 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",,,,,,Ampere/Current Rating,40 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713337814-Product-Screenshot 2024-04-17 123959.png,,,18%,,,,,,,,,1,1-2 Days,
"95034006SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 63 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 63 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",95034006SL,ATyS S,95034006SL,,24917.18,Piece,Unit,1,"95034006SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 63 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",,,,,,Ampere/Current Rating,63 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713337814-Product-Screenshot 2024-04-17 123959.png,,,18%,,,,,,,,,1,1-2 Days,
"95034008SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 80 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 80 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",95034008SL,ATyS S,95034008SL,,26815.5,Piece,Unit,1,"95034008SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 80 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",,,,,,Ampere/Current Rating,80 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713337814-Product-Screenshot 2024-04-17 123959.png,,,18%,,,,,,,,,1,1-2 Days,
"95034010SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 100 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 100 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",95034010SL,ATyS S,95034010SL,,30324.53,Piece,Unit,1,"95034010SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 100 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",,,,,,Ampere/Current Rating,100 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713337814-Product-Screenshot 2024-04-17 123959.png,,,18%,,,,,,,,,1,1-2 Days,
"95034012SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 125 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 125 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",95034012SL,ATyS S,95034012SL,,32492.78,Piece,Unit,1,"95034012SL, Socomec ATyS S Remotely Operated Transfer Switch (RTSE) 125 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage 230 V AC",,,,,,Ampere/Current Rating,125 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713337814-Product-Screenshot 2024-04-17 123959.png,,,18%,,,,,,,,,1,1-2 Days,
"95134004SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 40 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 40 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",95134004SL,ATyS S,95134004SL,,26191.58,Piece,Unit,1,"95134004SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 40 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",,,,,,Ampere/Current Rating,40 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713338106-Product-Screenshot 2024-04-17 124458.png,,,18%,,,,,,,,,1,1-2 Days,
"95134006SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 63 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 63 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",95134006SL,ATyS S,95134006SL,,27381.9,Piece,Unit,1,"95134006SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 63 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",,,,,,Ampere/Current Rating,63 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713338106-Product-Screenshot 2024-04-17 124458.png,,,18%,,,,,,,,,1,1-2 Days,
"95134008SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 80 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 80 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",95134008SL,ATyS S,95134008SL,,29766.98,Piece,Unit,1,"95134008SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 80 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",,,,,,Ampere/Current Rating,80 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713338106-Product-Screenshot 2024-04-17 124458.png,,,18%,,,,,,,,,1,1-2 Days,
"95134010SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 100 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 100 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",95134010SL,ATyS S,95134010SL,,33333.53,Piece,Unit,1,"95134010SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 100 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",,,,,,Ampere/Current Rating,100 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713338106-Product-Screenshot 2024-04-17 124458.png,,,18%,,,,,,,,,1,1-2 Days,
"95134012SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 125 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",Socomec,Factory Automation,Low Voltage Switch Gear,Remote & Automatic Operated Transfer Switching Equipment,"Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 125 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",95134012SL,ATyS S,95134012SL,,35718.6,Piece,Unit,1,"95134012SL, Socomec ATyS Sd Remotely Operated Transfer Switch (RTSE) 125 A, 4 Pole, Rated Voltage 415 V AC, Motor Voltage EB & DG 230 V AC x 2",,,,,,Ampere/Current Rating,125 A,No. Of Poles,4 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713338106-Product-Screenshot 2024-04-17 124458.png,,,18%,,,,,,,,,1,1-2 Days,
