name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi Electric MR-J4-10B-RJ- Digital AC-Servo Amplifier MR-J4-B, for Motor Power 100 W, RJ type",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-B, for Motor Power 100 W, RJ type",MR-J4-10B-RJ,MR-J4,MR-J4-10B-RJ,48350,21757.5,Piece,Each,1,"Mitsubishi, MR-J4-10B, Digital AC-Servo Amplifier MR-J4-B, for Motor Power 100 W, RJ type:- Buy Mitsubishi Electric, MR-J4-10B in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.1,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713518525-Product-Screenshot 2024-04-19 145146.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltfa872a18e4b994e0/617192175f96c207723a523d/df5d7fda-903e-11ea-bd9a-b8ca3a62a094_209265.pdf,,,,40mm,168mm,135mm,0.8kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-10A-RJ- Digital AC-Servo Amplifier MR-J4-A, for Motor Power 100 W, RJ type",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-A, for Motor Power 100 W, RJ type",MR-J4-10A-RJ,MR-J4,MR-J4-10A-RJ,52150,23467.5,Piece,Each,1,"Mitsubishi, MR-J4-10A, Digital AC-Servo Amplifier MR-J4-A, for Motor Power 100 W, RJ type:- Buy Mitsubishi Electric, MR-J4-10A in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.1,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713518728-Product-Screenshot 2024-04-19 145520.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltfa872a18e4b994e0/617192175f96c207723a523d/df5d7fda-903e-11ea-bd9a-b8ca3a62a094_209265.pdf,,,,40mm,168mm,135mm,0.8kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-10GF-RJ- Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 100 W, CC Link IE",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 100 W, CC Link IE",MR-J4-10GF-RJ,MR-J4,MR-J4-10GF-RJ,46350,20857.5,Piece,Each,1,"Mitsubishi, MR-J4-10GF, Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 100 W, CC Link IE:- Buy Mitsubishi Electric, MR-J4-10GF in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.1,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713518922-Product-Screenshot 2024-04-19 145836.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltc10d6b51d6495837/6344018bbf98a740221ee06b/l03058engk.pdf,,,,50mm,168mm,155mm,1kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-10GF-RJ- Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 100 W, CC Link IE",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 100 W, CC Link IE",MR-J4-10GF-RJ,MR-J4,MR-J4-10GF-RJ,57900,26055,Piece,Each,1,"Mitsubishi, MR-J4-10GF-RJ, Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 100 W, CC Link IE:- Buy Mitsubishi Electric, MR-J4-10GF-RJ in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.1,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713519005-Product-Screenshot 2024-04-19 145958.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltc10d6b51d6495837/6344018bbf98a740221ee06b/l03058engk.pdf,,,,50mm,168mm,155mm,1kg,1,1-2 Days,
Mitsubishi Electric MR-J2S-70A- Digital AC-Servo Amplifier for Rated Motor Power up to 0.75 kW,Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,Digital AC-Servo Amplifier for Rated Motor Power up to 0.75 kW,MR-J2S-70A,MR-J4,MR-J2S-70A,12550,5647.5,Piece,Each,1,,,,,,,Rated Output (kW),0.75,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Dynamic Brake,Built-in,Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713519122-Product-Screenshot 2024-04-19 150144.png,,85437069,18%,https://dl.mitsubishielectric.com/dl/fa/document/manual/servo/sh030006/sh030006j.pdf,,,,36mm,27mm,90mm,1.7kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-20GF-RJ- Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 200 W, CC Link IE",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 200 W, CC Link IE",MR-J4-20GF-RJ,MR-J4,MR-J4-20GF-RJ,50000,22500,Piece,Each,1,"Mitsubishi, MR-J4-20GF, Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 200 W, CC Link IE:- Buy Mitsubishi Electric, MR-J4-20GF in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.2,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713519314-Product-Screenshot 2024-04-19 150508.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltc10d6b51d6495837/6344018bbf98a740221ee06b/l03058engk.pdf,,,,50mm,168mm,155mm,1kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-40GF-RJ- Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 400 W, CC Link IE",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 400 W, CC Link IE",MR-J4-40GF-RJ,MR-J4,MR-J4-40GF-RJ,52200,23490,Piece,Each,1,"Mitsubishi, MR-J4-40GF, Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 400 W, CC Link IE:- Buy Mitsubishi Electric, MR-J4-40GF in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.4,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713519437-Product-Screenshot 2024-04-19 150710.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltc10d6b51d6495837/6344018bbf98a740221ee06b/l03058engk.pdf,,,,50mm,168mm,155mm,1kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-60GF-RJ- Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 600 W, CC Link IE",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 600 W, CC Link IE",MR-J4-60GF-RJ,MR-J4,MR-J4-60GF-RJ,55950,25177.5,Piece,Each,1,"Mitsubishi, MR-J4-60GF, Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 600 W, CC Link IE:- Buy Mitsubishi Electric, MR-J4-60GF in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.6,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713519518-Product-Screenshot 2024-04-19 150832.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltc10d6b51d6495837/6344018bbf98a740221ee06b/l03058engk.pdf,,,,50mm,168mm,155mm,1kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-70GF-RJ- Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 750 W, CC Link IE",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 750 W, CC Link IE",MR-J4-70GF-RJ,MR-J4,MR-J4-70GF-RJ,69500,31275,Piece,Each,1,"Mitsubishi, MR-J4-70GF, Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 700 W, CC Link IE:- Buy Mitsubishi Electric, MR-J4-70GF in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),0.7,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713519578-Product-Screenshot 2024-04-19 150931.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltc10d6b51d6495837/6344018bbf98a740221ee06b/l03058engk.pdf,,,,60mm,168mm,185mm,1.4kg,1,1-2 Days,
"Mitsubishi Electric MR-J4-100GF-RJ- Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 1 kW, CC Link IE",Mitsubishi Electric,Factory Automation,Servo System,Servo Amplifier,"Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 1 kW, CC Link IE",MR-J4-100GF-RJ,MR-J4,MR-J4-100GF-RJ,101400,45630,Piece,Each,1,"Mitsubishi, MR-J4-100GF, Digital AC-Servo Amplifier MR-J4-GF, for Motor Power 1 kW, CC Link IE:- Buy Mitsubishi Electric, MR-J4-100GF in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",,,,,,Rated Output (kW),1,Power Supply,3-Phase 200VAC 1-Phase 200VAC,Safety Function Type,STO (IEC/EN 61800-5-2),Special Specification,Standard,No. of Axis control,1,,,,,,,,,,,,,1713519709-Product-Screenshot 2024-04-19 151141.png,,85437069,18%,https://eu-assets.contentstack.com/v3/assets/blt5412ff9af9aef77f/bltc10d6b51d6495837/6344018bbf98a740221ee06b/l03058engk.pdf,,,,60mm,168mm,185mm,1.4kg,1,1-2 Days,
