name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi, MR-J3ENCBL5M-A2-L, Encodercable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, 5m (lead out encoder)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3ENCBL5M-A2-L,MR-JE-A,MR-J3ENCBL5M-A2-L,,5074,Piece,Each,1,"Mitsubishi, MR-J3ENCBL5M-A2-L, Encodercable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, 5m (lead out encoder)",,,,,,Type,Encoder Cable,Cable Length,5m,Cable Type,Standard,Protection Class,IP65,,,,,,,,,,,,,,,1713772700-Product-Screenshot 2024-04-22 131456.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-BKS2CBL03M-A2-L, Brake cable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, 0,3 m (Lead out Encoder)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Brake Cable,MR-BKS2CBL03M-A2-L,MR-JE-A,MR-BKS2CBL03M-A2-L,,2124,Piece,Each,1,"Mitsubishi, MR-BKS2CBL03M-A2-L, Brake cable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, 0,3 m (Lead out Encoder)",,,,,,Type,Break Cable,Cable Length,0.3m,Cable Type,Standard,Protection Class,IP55,,,,,,,,,,,,,,,1713772730-Product-Screenshot 2024-04-22 132844.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-PWS2CBL03M-A2-L, Power cable; for HF-KE,-KN,-KP,-MP, HG-KR,-MR, 0.3 m (Lead out Encoder)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Power Cable,MR-PWS2CBL03M-A2-L,MR-JE-A,MR-PWS2CBL03M-A2-L,,1829,Piece,Each,1,"Mitsubishi, MR-PWS2CBL03M-A2-L",,,,,,Type,Break Cable,Cable Length,0.3m,Cable Type,Standard,Protection Class,IP55,,,,,,,,,,,,,,,1713772788-Product-Screenshot 2024-04-22 132921.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-J3ENCBL2M-A2(1)-H, Encoder cable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, highflexible, 2m",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3ENCBL2M-A2(1)-H,MR-Series,MR-J3ENCBL2M-A2-H,,9086,Piece,Each,1,"2m Encoder Cable, direct connection type, long bending life",,,,,,Type,Encoder Cable,Cable Length,2m,Cable Type,High Flexible,Protection Class,IP65,,,,,,,,,,,,,,,1713772901-Product-Screenshot 2024-04-22 133107.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-J3ENCBL5M-A2(1)-H, Encoder cable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, highflexible, 5m",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3ENCBL5M-A2(1)-H,MR-Series,MR-J3ENCBL5M-A2-H,,15104,Piece,Each,1,"5m Encoder Cable, direct connection type, long bending life",,,,,,Type,Encoder Cable,Cable Length,5m,Cable Type,High Flexible,Protection Class,IP65,,,,,,,,,,,,,,,1713773122-Product-Screenshot 2024-04-22 133515.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-J3ENCBL10M-A2(1)-H,Encode rcable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, highflexible, 10m (encoder)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3ENCBL10M-A2(1)-H,MR-Series,MR-J3ENCBL10M-A2-H,,21181,Piece,Each,1,"10m Encoder Cable, direct connection type, long bending life",,,,,,Type,Encoder Cable,Cable Length,10m,Cable Type,High Flexible,Protection Class,IP65,,,,,,,,,,,,,,,1713773170-Product-Screenshot 2024-04-22 133603.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-J3ENCBL2M-A2(1)-L, Encodercable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, 2m (lead out encoder)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3ENCBL2M-A2(1)-L,MR-Series,MR-J3ENCBL2M-A2-L,,4425,Piece,Each,1,"2m Encoder Cable, direct connection type, Standard",,,,,,Type,Encoder Cable,Cable Length,2m,Cable Type,Standard,Protection Class,IP65,,,,,,,,,,,,,,,1713775721-Product-Screenshot 2024-04-22 141832.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-J3ENCBL5M-A2(1)-L, Encoder cable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, 5m (lead out encoder)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3ENCBL5M-A2(1)-L,MR-Series,MR-J3ENCBL5M-A2-L,,5074,Piece,Each,1,"5m Encoder Cable, direct connection type, Standard",,,,,,Type,Encoder Cable,Cable Length,5m,Cable Type,Standard,Protection Class,IP65,,,,,,,,,,,,,,,1713775753-Product-Screenshot 2024-04-22 141904.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-J3ENCBL10M-A2(1)-L, Encodercable; for HF-KE,-KN,-KP,-MP, HG-KN,-KR,-MR, 10m (lead out encoder)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3ENCBL10M-A2(1)-L,MR-Series,MR-J3ENCBL10M-A2-L,,9617,Piece,Each,1,"10m Encoder Cable, direct connection type, Standard",,,,,,Type,Encoder Cable,Cable Length,10m,Cable Type,Standard,Protection Class,IP65,,,,,,,,,,,,,,,1713775784-Product-Screenshot 2024-04-22 141937.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-J3JCBL03M-A2(1)-L, Encoder cable; for HF-KN,-KP,-MP, HG-KR,-MR, 0.3m (lead out encoder), IP20",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-J3JCBL03M-A2(1)-L,MR-Series,MR-J3JCBL03M-A2-L,,3127,Piece,Each,1,"0.3m Encoder Cable, Junction type, Standard",,,,,,Type,Encoder Cable,Cable Length,0.3m,Cable Type,Standard,Protection Class,IP20,,,,,,,,,,,,,,,1713775829-Product-Screenshot 2024-04-22 142018.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-EKCBL20M-H, Encoder cable; for HF-KE,-KN,-KP,-MP, HG-KR,-MR, high-flex 20m (motor shaft)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-EKCBL20M-H,MR-Series,MR-EKCBL20M-H,,26845,Piece,Each,1,"20m Encoder Cable, Junction type, long bending life",,,,,,Type,Encoder Cable,Cable Length,20m,Cable Type,High Flexible,Protection Class,IP20,,,,,,,,,,,,,,,1713775877-Product-Screenshot 2024-04-22 142110.png,,,18%,,,,,,,,,1,1-2 Days,
"Mitsubishi, MR-EKCBL30M-H,Encoder cable; for HF-KE,-KN,-KP,-MP, HG-KR,-MR, high-flex 30m (motor shaft)",Mitsubishi Electric,Factory Automation,Servo System,Servo System Accessories,Encoder Cable,MR-EKCBL30M-H,MR-Series,MR-EKCBL30M-H,,35282,Piece,Each,1,"30m Encoder Cable, Junction type, long bending life",,,,,,Type,Encoder Cable,Cable Length,30m,Cable Type,High Flexible,Protection Class,IP20,,,,,,,,,,,,,,,1713775902-Product-Screenshot 2024-04-22 142137.png,,,18%,,,,,,,,,1,1-2 Days,
