c1_category,c2_category,leaf_category
Servo System,Servo Motor,"HG Series, Rated Torque (Nm)4.8, ,Rated Output (kW) 1.5kw, 200V"
Servo System,Servo Motor,"HG Series, Rated Speed (r/m)3000,Rated Torque (Nm) 0.64Nm,0,2kw"
Servo System,Servo Motor,"HG Series, Torque 1.3 Nm, max. torque 3.8 Nm, Key-way"
Servo System,Servo Motor,"HG Series, Rated Speed (r/m)3000,Rated Torque (Nm)2.4Nm,Oil Seals yes,With Break"
Servo System,Servo Motor,"HG Series, Power 100 W, Torque 0.32Nm Max. Torque 1.1Nm"
Servo System,Servo Motor,"HG Series, Power 200 W, Torque 0.64 Nm, Max. Torque 2.2 Nm"
Servo System,Servo Motor,"HG Series, Power 200 W; Torque 0.64 Nm, Max. Torque 2.2 Nm, Brake"
Servo System,Servo Motor,"HG Series, Power 400 W; Torque 1.3 Nm, Max. Torque 4.5 Nm, Brake"
Servo System,Servo Motor,"HG-KR73, Servo motor HG Series, Power 750 W; Torque 2.4 Nm, Max. Torque 8.4Nm"
Servo System,Servo Motor,"HG Series, Rated Speed (r/m)2000,Rated Torque (Nm)7.16Nm,With Break,Oil Seal"
Servo System,Servo Motor,"Servo Motor,HG Series, Rated Speed (r/m)2000,400V,IP67,Without Break"
Servo System,Servo Motor,"HG Series, Rated Speed (r/m)3000,Rated Torque (Nm)2.4Nm,750w"
Servo System,Servo Motor,"HG Series, Rated Speed (r/m)3000,Rated Torque (Nm)2.4Nm"
