c1_category,c2_category,leaf_category
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
PLC,Compact PLC,
