c1_category,c2_category,leaf_category
Repair / Spare Parts,CPU Board,CPU board For-FX3U-16M
Repair / Spare Parts,CPU Board,CPU board For-FX3U-32M
Repair / Spare Parts,CPU Board,CPU board ForFX3U-48M
Repair / Spare Parts,CPU Board,CPU board ForFX3U-64M
Repair / Spare Parts,CPU Board,CPU board For- FX3U-80M
Repair / Spare Parts,CPU Board,CPU board ForFX3U-128M
Repair / Spare Parts,CPU Board,CPU board For-FX3G-14M
Repair / Spare Parts,CPU Board,CPU board For-FX3G-24M
Repair / Spare Parts,CPU Board,CPU board For-FX3G-40M
Repair / Spare Parts,CPU Board,CPU board For-FX3G-60M
Repair / Spare Parts,CPU Board,CPU board For-FX3S-20M
Repair / Spare Parts,CPU Board,CPU board For-FX3S-10M
Repair / Spare Parts,CPU Board,CPU board For-FX3S-14M
Repair / Spare Parts,CPU Board,CPU board For-FX3S-30M
Repair / Spare Parts,CPU Board,CPU board For-FX3GE-24M
Repair / Spare Parts,CPU Board,CPU board For-FX3GE-40M
Repair / Spare Parts,CPU Board,CPU board For-FX3U-64CCL
Repair / Spare Parts,CPU Board,CPU board For- FX3S-30MT/ESS-2AD
Repair / Spare Parts,CPU Board,CPU board For-INTERFACE CARD FX3U
Repair / Spare Parts,CPU Board,CPU board For-POWER I/O FX3U-4AD
Repair / Spare Parts,CPU Board,CPU board For-POWER I/O FX3U-4DA
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-485-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-232-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-422-BD
Repair / Spare Parts,PCB Board,PCB Board For-FX3U-4DA-ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-4AD-TC-ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-4AD-PT-ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-4AD-ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-ENET FBUS (communication card)
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-232-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-422-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-USB-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-2AD-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-485-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-EEPROM-32L
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-FLROM-64L
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-CNV-ADP-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-CNV-ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-CNV-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-485ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-1DA-BD
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-232ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-3A-ADP
Repair / Spare Parts,PCB Board,PCB Board For- PCB FX3S-CNV-ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3G-485-BD-RJ
Repair / Spare Parts,PCB Board,PCB Board For- FX3U-ENET-ADP
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-32MT/D MAIN BOARD
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-96MT/D MAIN BOARD (CPU+pw)
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-16MR/DS-T MAIN BOARD
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-32MT-LT CPU+IN-POW+OUT-CCLT
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-4AD PRINTED CIRCUIT BOARD
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-16MT/D MAIN BOARD
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-32MT-LT-2 CPU FX3UC-32MT-LT-2
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-16MR/D-T MAIN BOARD
Repair / Spare Parts,PCB Board,PCB Board For- FX3UC-16MT/DSS DSS MAIN pcb set
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-16MT/ES
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-32MT/ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-48MR
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-48MT/ES
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-64MR
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-64MT/ES
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-80MT/ES
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-128MT/ES
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-128MR
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-14MR
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-14MT/ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-24MR
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-40MR
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-40MT/ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-60MR
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-60MT/ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-24MT/ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-80MT/ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-24MT/ES
Repair / Spare Parts,I/O Card,I/O Card For- FX3G-40MT-ES(Stored in extra location)
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-32MR/ES
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-128MT-ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-64MT-ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-48MT-ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-16MT-ESS
Repair / Spare Parts,I/O Card,I/O Card For- FX3U-16MR-DS
Repair / Spare Parts,I/O Card,I/O Card For- FX3S-30MT/DSS
