c1_category,c2_category,leaf_category
Repair / Spare Parts,Control PCB,Control PCB Board For-MR-J4-A
Repair / Spare Parts,Control PCB,Control PCB Board For-MR-J4-B
Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-20A/B
Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-40A/B
Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-60A/B
Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-70A/B
Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-100A/B
Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-200A/B
Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-350A/B
Repair / Spare Parts,PCB Board,PCB Board For-MR-J4-350A/B
Repair / Spare Parts,Fan Card,"Fan Card For-MR-J4W2-77/1010B, 700A/B (200/400)"
Repair / Spare Parts,Fan Card,Fan Card For-MR-J4W2-44B
Repair / Spare Parts,Flat Cable,Flat Cable Board For-MR-J4- 70/100/700A/B
Repair / Spare Parts,Flat Cable,Flat Cable Board For-MR-J4- 200/500A/B
Repair / Spare Parts,Connector Card,Connector Board For-MR-J4 -A/B
Repair / Spare Parts,Connector Card,Connector Card For-MR-J4-10A/B to 100A/B
Repair / Spare Parts,Connector Card,Connector Card For-MR-J4-10A/B to 100A/B
Repair / Spare Parts,Connector Card,Connector Card For-MR-J4-10 A/B to 350A/B
Repair / Spare Parts,Connector Card,"Connector Card For-MR-J4-200A/B, 350A/B"
Repair / Spare Parts,Connector Card,"Connector Card For-MR-J4-200A/B, 350A/B"
Repair / Spare Parts,Controller Card,Controller Card For-J3-A amplifiers
Repair / Spare Parts,Controller Card,Controller Card For-J3-B amplifiers
Repair / Spare Parts,Power Card,Power Board For-MR-J3-350B
Repair / Spare Parts,Fan Card,Fan Card For-MR-J3-350B
Repair / Spare Parts,Connector Card,Connector Card For-MR-JE-10 to 100A
Repair / Spare Parts,Connector Card,Connector Card For-MR-JE-200/ 300
Repair / Spare Parts,Connector Card,Connector Card For-MR-JE-200/300
Repair / Spare Parts,Control PCB,Connector Card PCB For-MR-JE-200/350 (A type)
Repair / Spare Parts,Control PCB,Connector Card PCB For-MR-JE-200/350 (B type)
Repair / Spare Parts,PCB Board,PCB Board For-MR-JE-100A
Repair / Spare Parts,PCB Board,PCB Board For-MR-JE-40A
