name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi, Control PCB Board For-MR-J4-A",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Control PCB,Control PCB Board For-MR-J4-A,,,,,18310.06,Piece,Each,1,"Mitsubishi, Control PCB Board For-MR-J4-A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Control PCB Board For-MR-J4-B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Control PCB,Control PCB Board For-MR-J4-B,,,,,21025.24,Piece,Each,1,"Mitsubishi, Control PCB Board For-MR-J4-B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Power PCB Board For-MR-J4-20A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-20A/B,,,,,22278.4,Piece,Each,1,"Mitsubishi, Power PCB Board For-MR-J4-20A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Power PCB Board For-MR-J4-40A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-40A/B,,,,,23253.08,Piece,Each,1,"Mitsubishi, Power PCB Board For-MR-J4-40A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Power PCB Board For-MR-J4-60A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-60A/B,,,,,23253.08,Piece,Each,1,"Mitsubishi, Power PCB Board For-MR-J4-60A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Power PCB Board For-MR-J4-70A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-70A/B,,,,,29031.54,Piece,Each,1,"Mitsubishi, Power PCB Board For-MR-J4-70A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Power PCB Board For-MR-J4-100A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-100A/B,,,,,29170.78,Piece,Each,1,"Mitsubishi, Power PCB Board For-MR-J4-100A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Power PCB Board For-MR-J4-200A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-200A/B,,,,,56252.96,Piece,Each,1,"Mitsubishi, Power PCB Board For-MR-J4-200A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Power PCB Board For-MR-J4-350A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Power PCB,Power PCB Board For-MR-J4-350A/B,,,,,47620.08,Piece,Each,1,"Mitsubishi, Power PCB Board For-MR-J4-350A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, PCB Board For-MR-J4-350A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,PCB Board,PCB Board For-MR-J4-350A/B,,,,,24506.24,Piece,Each,1,"Mitsubishi, PCB Board For-MR-J4-350A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Fan Card For-MR-J4W2-77/1010B, 700A/B (200/400)",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Fan Card,"Fan Card For-MR-J4W2-77/1010B, 700A/B (200/400)",,,,,1601.26,Piece,Each,1,"Mitsubishi, Fan Card For-MR-J4W2-77/1010B, 700A/B (200/400)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Fan Card For-MR-J4W2-44B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Fan Card,Fan Card For-MR-J4W2-44B,,,,,3341.76,Piece,Each,1,"Mitsubishi, Fan Card For-MR-J4W2-44B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Flat Cable Board For-MR-J4- 70/100/700A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Flat Cable,Flat Cable Board For-MR-J4- 70/100/700A/B,,,,,1531.64,Piece,Each,1,"Mitsubishi, Flat Cable Board For-MR-J4- 70/100/700A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Flat Cable Board For-MR-J4- 200/500A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Flat Cable,Flat Cable Board For-MR-J4- 200/500A/B,,,,,2297.46,Piece,Each,1,"Mitsubishi, Flat Cable Board For-MR-J4- 200/500A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Connector Board For-MR-J4 -A/B in all J4",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Connector Card,Connector Board For-MR-J4 -A/B,,,,,487.34,Piece,Each,1,"Mitsubishi, Connector Board For-MR-J4 -A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
"Mitsubishi, Connector Card For-MR-J4-10A/B to 100A/B",Mitsubishi Electric,Factory Automation,Repair / Spare Parts,Connector Card,Connector Card For-MR-J4-10A/B to 100A/B,,,,,974.68,Piece,Each,1,"Mitsubishi, Connector Card For-MR-J4-10A/B to 100A/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,,
