c1_category,c2_category,leaf_category
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,
