name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BES01PY- Inductive Proximity Switches And Proximity Sensors, Range, 8 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES01PY,BES,BES01PY,,3361.65,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,12 x 45 mm,Style,M12x1,Installation,Non-Flush,Range,8 mm,Switching output,PNP normally open (NO),Switching frequency,1000 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PBT,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(25...70 °C,1714383032-Product-BES01PY.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=247507&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES03RE- Inductive Proximity Switches And Proximity Sensors, Range, 30 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES03RE,BES,BES03RE,,6369.45,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,30 x 83 mm,Style,M30x1.5,Installation,Non-Flush,Range,30 mm,Switching output,PNP normally open (NO),Switching frequency,300 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PBT,Connection,"Connector, M12x1-Male, 4-pi",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383072-Product-BES03RE.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=180807&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES00CH- Inductive Proximity Switches And Proximity Sensors, Range, 1.5 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES00CH,BES,BES00CH,,5320.51,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,8 x 43 mm,Style,M8x1,Installation,For Flush Mounting,Range,1.5 mm,Switching output,PNP normally open (NO),Switching frequency,1000 Hz,Housing material,Stainless steel,Material sensing surface,PBT,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383082-Product-BES00CH.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=263011&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES021Z- Inductive Proximity Switches And Proximity Sensors, Range, 30 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES021Z,BES,BES021Z,,9301.42,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,40 x 40 x 62 mm,Style,40x40,Installation,Non-Flush,Range,30 mm,Switching output,PNP normally open (NO),Switching frequency,50 Hz,Housing material,PBT,Material sensing surface,PBT,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383095-Product-BES021Z.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=256638&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02WK- Inductive Proximity Switches And Proximity Sensors, Range, 10 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES02WK,BES,BES02WK,,7772.25,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,12 x 45 mm,Style,M12x1,Installation,Non-Flush,Range,10 mm,Switching output,PNP normally open (NO),Switching frequency,600 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PBT,Connection,"Connector, M12x1-Male, 3-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383104-Product-BES02WK.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=251410&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES01H6- Inductive Proximity Switches And Proximity Sensors, Range, 4 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES01H6,BES,BES01H6,,7077.17,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,12 x 70 mm,Style,M12x1,Installation,Non-Flush,Range,4 mm,Switching output,PNP normally open (NO),Switching frequency,2500 Hz,Housing material,Stainless steel,Material sensing surface,PBT,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383113-Product-BES01H6.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=218995&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES00FC- Inductive Proximity Switches And Proximity Sensors, Range, 2 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES00FC,BES,BES00FC,,5750.2,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,8 x 43 mm,Style,M8x1,Installation,For Flush Mounting,Range,2 mm,Switching output,PNP normally open (NO),Switching frequency,700 Hz,Housing material,Stainless steel,Material sensing surface,PBT,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383124-Product-BES00FC.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=263017&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES054Z- Inductive Proximity Switches And Proximity Sensors, Range, 6 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES054Z,BES,BES054Z,,9806.93,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,8 x 60 mm,Style,M8x1,Installation,Non-Flush,Range,6 mm,Switching output,PNP normally open (NO),Switching frequency,1200 Hz,Housing material,Stainless steel,Material sensing surface,PBT,Connection,"Connector, M8x1-Male, 3-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383136-Product-BES054Z.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=253255&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES01WF-Inductive Proximity Switches And Proximity Sensors, Range, 7 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES01WF,BES,BES01WF,,11828.98,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,32 x 20 x 8 mm,Style,32x20x8,Installation,For Flush Mounting,Range,7 mm,Switching output,PNP normally open (NO),Switching frequency,150 Hz,Housing material,"Zinc, Die casting",Material sensing surface,PA 12,Connection,"Cable with connector, M8x1-Male, 3-pin, 0.30 m, PUR",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383216-Product-BES01WF.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=240653&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES054N- Inductive Proximity Switches And Proximity Sensors, Range, 3 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Proximity Switches And Proximity Sensors,,BES054N,BES,BES054N,,5750.2,Piece,Each,1,"Balluff offers a wide range of inductive proximity switches and sensors for various applications and industries. Whether standard inductive proximity sensors, high-pressure sensors, hygienic sensors / washdown compliant, factor 1 sensors, magnetic field resistant by magnetic shielding, weld immune proximity sensors, high temperature sensors, explosion-proof (IECEx, ATEX) or NAMUR sensors, you are guaranteed to find the right product for your individual application in our portfolio thanks to different housing materials and sealing methods. We offer different designs, housing diameters and thread sizes for easy integration in a wide range of situations and for optimum solutions even where space is limited.",,,,,,Dimension,8 x 60 mm,Style,M8x1,Installation,For Flush Mounting,Range,3 mm,Switching output,PNP normally open (NO),Switching frequency,1200 Hz,Housing material,"Brass, Nickel-free coated",Material sensing surface,PBT,Connection,"Connector, M8x1-Male, 3-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,-25...70 °C,1714383229-Product-BES054N.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=253247&con=en&ws=appoval,,,,,,,,1,1-2 Days,
