name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BHS0063- Pressure-Rated Inductive Sensors, Range, 1.5 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BHS0063,BHS,BHS0063,,22116.15,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,12 x 56 mm,Style,M12x1,Installation,For Flush Mounting,Range,1.5 mm,Switching output,PNP normally open (NO),Switching frequency,400 Hz,Housing material,1.4104 stainless steel,Material sensing surface,Ceramic,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-120 deg C),1714388932-Product-BHS0063.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=274763&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES034K- Pressure-Rated Inductive Sensors, Range, 1.2 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BES034K,BES,BES034K,,13509.81,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,8 x 30.5 mm,Style,M8x1,Installation,For Flush Mounting,Range,1.2 mm,Switching output,PNP normally open (NO),Switching frequency,1500 Hz,Housing material,Stainless steel,Material sensing surface,PA 12,Connection,"Cable, 5.00 m, PVC",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1714389103-Product-BES034K.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=272632&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BHS0049- Pressure-Rated Inductive Sensors, Range, 1.5 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BHS0049,BHS,BHS0049,,22116.15,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,12 x 78 mm,Style,M12x1,Installation,For Flush Mounting,Range,1.5 mm,Switching output,PNP normally open (NO),Switching frequency,1000 Hz,Housing material,1.4104 stainless steel,Material sensing surface,EP,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-80 deg C),1714389119-Product-BHS0049.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=271171&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02Y2- Pressure-Rated Inductive Sensors, Range, 10 mm, NPN (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BES02Y2,BES,BES02Y2,,12182.84,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,18 x 63.5 mm,Style,M18x1,Installation,For Flush Mounting,Range,10 mm,Switching output,NPN normally open (NO),Switching frequency,200 Hz,Housing material,Stainless steel,Material sensing surface,Stainless steel,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1714389134-Product-BES02Y2.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=258121&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BHS001C- Pressure-Rated Inductive Sensors, Range, 1.5 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BHS001C,BHS,BHS001C,,35006.71,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,16 x 73 mm,Style,M16x1/M20x1.5,Installation,For Flush Mounting,Range,1.5 mm,Switching output,PNP normally open (NO),Switching frequency,1000 Hz,Housing material,1.4104 stainless steel,Material sensing surface,EP,Connection,"Connector, M12x1-Male, 4-pin, 5.00 m, PUR",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-80 deg C),1714389150-Product-BHS001C.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=284721&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02WC- Pressure-Rated Inductive Sensors, Range, 10 mm, NPN (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BES02WC,BES,BES02WC,,14836.78,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,12 x 60 mm,Style,M12x1,Installation,Non-Flush,Range,10 mm,Switching output,NPN normally open (NO),Switching frequency,350 Hz,Housing material,Stainless steel,Material sensing surface,Stainless steel,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1714389204-Product-BES02WC.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=258115&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BHS005Y- Pressure-Rated Inductive Sensors, Range, 1.5 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BHS005Y,BHS,BHS005Y,,22116.15,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,12 x 56 mm,Style,M12x1,Installation,For Flush Mounting,Range,1.5 mm,Switching output,PNP normally open (NO),Switching frequency,400 Hz,Housing material,Stainless steel,Material sensing surface,Ceramic,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-120 deg C),1714389243-Product-BHS005Y.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=271025&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BHS0058- Pressure-rated Inductive Sensors, Range, 1.5 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BHS0058,BHS,BHS0058,,24921.72,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,6.5 x 31.3 mm,Style,D6.5,Installation,For Flush Mounting,Range,1.5 mm,Switching output,PNP normally open (NO),Switching frequency,4000 Hz,Housing material,Stainless steel,Material sensing surface,Ceramic,Connection,"Cable, 2.00 m, PUR",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-80 deg C),1714389267-Product-BHS0058.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=278377&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BHS006N- Pressure-Rated Inductive Sensors, Range, 1 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BHS006N,BHS,BHS006N,,37926.03,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,5 x 40.5 mm,Style,M5x0.5,Installation,For Flush Mounting,Range,1 mm,Switching output,PNP normally open (NO),Switching frequency,3000 Hz,Housing material,Stainless steel,Material sensing surface,Ceramic,Connection,"Connector, M5x0.5-Male",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-80 deg C),1714389289-Product-BHS006N.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=278368&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BHS0050- Pressure-Rated Inductive Sensors, Range, 1.5 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Pressure-Rated Inductive Sensors,,BHS0050,BHS,BHS0050,,24770.09,Piece,Each,1,"Our BHS pressure-rated inductive sensors withstand pressures up to 500 bar. They are perfectly suited for monitoring the position of your hydraulics, such as when controlling the end position of hydraulic cylinders or monitoring valve positions. Their durability is made possible by media-resistant housing materials and a special sealing process. For your individual applications, we offer a comprehensive range of product configurations with different housing diameters and thread sizes.",,,,,,Dimension,6.5 x 55 mm,Style,D6.5,Installation,For Flush Mounting,Range,1.5 mm,Switching output,PNP normally open (NO),Switching frequency,4000 Hz,Housing material,Stainless steel,Material sensing surface,Ceramic,Connection,"Connector, M8x1-Male, 3-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-80 deg C),1714389301-Product-BHS0050.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=278366&con=en&ws=appoval,,,,,,,,1,1-2 Days,
