c1_category,c2_category,leaf_category
PLC,Micro Modular PLC,MiBRX Series Rail Mount
PLC,Micro Modular PLC,MiBRX Series Rail Mount
PLC,Micro Modular PLC,MiBRX Series Rail Mount
PLC,Micro Modular PLC,MiBRX Series Rail Mount
PLC,Micro Modular PLC,MiBRX Series Panel Mount
PLC,Micro Modular PLC,MiBRX Series Panel Mount
PLC,Micro Modular PLC,MiBRX Series Panel Mount
PLC,Micro Modular PLC,MiBRX Series Panel Mount
PLC,Micro Modular PLC,MiBRX Series Panel Mount
PLC,Micro Modular PLC,MiBRX Series Panel Mount
PLC,Micro Modular PLC,MiBRX Series Panel Mount
