c1_category,c2_category,leaf_category
Inductive Sensors,Inductive Ring and Tube Sensors,"Inductive Ring and Tube Sensors, Range 25.1mm, PNP (NO)"
Inductive Sensors,Inductive Ring and Tube Sensors,"Inductive Ring and Tube Sensors, Range 10.1mm, PNP (NO)"
Inductive Sensors,Inductive Ring and Tube Sensors,"Inductive Ring and Tube Sensors, Range 45mm, PNP (NO)"
Inductive Sensors,Inductive Ring and Tube Sensors,"Inductive Ring and Tube Sensors, Range 16mm, PNP (NO)"
Inductive Sensors,Inductive Ring and Tube Sensors,"Inductive Ring and Tube Sensors, Range 15.1mm, PNP (NO)"
Inductive Sensors,Inductive Ring and Tube Sensors,"Inductive Ring and Tube Sensors, Range 16mm, PNP (NO)"
Inductive Sensors,Inductive Ring and Tube Sensors,"Inductive Ring and Tube Sensors, Range 25mm, PNP (NO)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 4mm, PNP (NO)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 8mm, PNP (NC)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 4mm, PNP (NO)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 4mm, PNP (NO)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 2mm, PNP (NO)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 8mm, PNP (NO)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 5mm, PNP (NO)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 4mm, PNP (NC)"
Inductive Sensors,Hygienic Inductive Sensors,"Hygienic Inductive Sensors, Range 4mm, PNP (NC)"
