c1_category,c2_category,leaf_category
Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO/NC)"
Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 3 mm, PNP (NO)"
Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)"
Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO)"
Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 7 mm, PNP (NO)"
Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)"
Inductive Sensors,Inductive Sensors For Hazardous Areas,"Inductive Sensors For Hazardous Areas, Range, 10 mm, PNP (NO)"
Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 4 mm, PNP (NO)"
Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)"
Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)"
Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 2 mm, PNP (NO)"
Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 2 mm, PNP (NO)"
Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 2 mm, PNP (NO)"
Inductive Sensors,Single-Ended Cordsets,"Single-Ended Cordsets, M12x1-Female, Angled, 5-pin, A-coded"
Inductive Sensors,Single-Ended Cordsets,"Single-Ended Cordsets,M12x1-Female, Angled, 5-pin, A-coded"
Inductive Sensors,Single-Ended Cordsets,"Single-ended cordsets, M12x1-Female, Straight, 5-pin, A-coded"
Photoelectric Sensors,Diffuse Sensor With Background Suppression,"Diffuse Sensor With Background Suppression, Range 100 mm"
Inductive Sensors,Retroreflective sensors,"Retroreflective Sensors, Range, 4 mm, PNP (NO)"
Inductive Sensors,Inductive Standard Sensors With Preffered Tyes,"Inductive Standard Sensors With Preffered Tyes, Range, 4 mm, PNP (NO)"
