name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BES02J4 Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO/NC)",Balluff,Sensors,Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO/NC)",BES02J4,BES,BES02J4,,23518.93,Piece,Each,1,"Balluff BES02J4 Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO/NC)",,,,,,Dimension,12 x 61 mm,Style,M12x1,Installation,For Flush Mounting,Range,2 mm,Switching Output,PNP Normally Open/Normally Closed (NO/NC),Switching Frequency,1000 Hz,Housing Material,"Stainless Steel, PTFE Coated",Material sensing surface,PTFE,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-20-100 deg C),1714458504-Product-BES02J4.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=279460&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02J Weld-Immune Inductive Sensors, Range, 3 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 3 mm, PNP (NO)",BES02K1,BES,BES02K1,,12460.92,Piece,Each,1,"Balluff BES02J Weld-Immune Inductive Sensors, Range, 3 mm, PNP (NO)",,,,,,Dimension,12 x 65 mm,Style,M12x1,Installation,For Flush Mounting,Range,3 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,300 Hz,Housing Material,"Brass, PTFE Coated",Material sensing surface,LCP/PTFE,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-5-60 deg C),1714458533-Product-BES02K1.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=279426&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02JM Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)",BES02JM,BES,BES02JM,,11550.95,Piece,Each,1,"Balluff BES02JM Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)",,,,,,Dimension,12 x 61 mm,Style,M12x1,Installation,Non-Flush,Range,4 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,1000 Hz,Housing Material,"Stainless Steel, PTFE Coated",Material sensing surface,PTFE,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1714458553-Product-BES02JM.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=128502&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02J6 Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO)",BES02J6,BES,BES02J6,,12043.79,Piece,Each,1,"Balluff BES02J6 Weld-Immune Inductive Sensors, Range, 2 mm, PNP (NO)",,,,,,Dimension,12 x 61 mm,Style,M12x1,Installation,For Flush Mounting,Range,2 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,1000 Hz,Housing Material,"Brass, PTFE Coated",Material sensing surface,LCP,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1714458744-Product-BES02J6.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=128500&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02KC Weld-Immune Inductive Sensors, Range, 7 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune Inductive Sensors, Range, 7 mm, PNP (NO)",BES02KC,BES,BES02KC,,8467.33,Piece,Each,1,"Balluff BES02KC Weld-Immune Inductive Sensors, Range, 7 mm, PNP (NO)",,,,,,Dimension,18 x 65 mm,Style,M18x1,Installation,For Flush Mounting,Range,7 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,50 Hz,Housing Material,"Brass, PTFE Coated",Material sensing surface,LCP/PTFE,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-5-60 deg C),1714458755-Product-BES02KC.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=212576&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES02JN Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Weld-Immune Inductive Sensors,"Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)",BES02JN,BES,BES02JN,,12738.93,Piece,Each,1,"Balluff BES02JN Weld-Immune inductive Sensors, Range, 4 mm, PNP (NO)",,,,,,Dimension,12 x 61 mm,Style,M12x1,Installation,Non-Flush,Range,4 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,1000 Hz,Housing Material,"Stainless Steel, PTFE Coated",Material sensing surface,PTFE,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1714458774-Product-BES02JN.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=128504&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES05M5 Inductive Sensors For Hazardous Areas, Range, 10 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Sensors For Hazardous Areas,"Inductive Sensors For Hazardous Areas, Range, 10 mm, PNP (NO)",BES05M5,BES,BES05M5,,14811.48,Piece,Each,1,"Balluff BES05M5 Inductive Sensors For Hazardous Areas, Range, 10 mm, PNP (NO)",,,,,,Dimension,30 x 59 mm,Style,M30x1.5,Installation,For Flush Mounting,Range,10 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,180 Hz,Housing Material,Stainless Steel,Material Sensing Surface,Stainless Steel,Connection,"Cable, 2 m, PUR",Operating Voltage Ub,10...30 VDC,Ambient temperature,(-20-60 deg C),1714458789-Product-BES05M5.PNG,,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=260894&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES0001Inductive Standard Sensors With Preferred Types, Range, 4 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 4 mm, PNP (NO)",BES0001,BES,BES0001,,3702.88,Piece,Each,1,"Balluff BES0001Inductive Standard Sensors With Preferred Types, Range, 4 mm, PNP (NO)",,,,,,Dimension,12 x 53 mm,Style,M12x1,Installation,For Flush Mounting,Range,4 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,2500 Hz,Housing Material,"Brass, Nickel-Free Coated",Material Sensing Surface,PBT,Connection,"Cable, 3.00 m, PVC",Operating Voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1714458830-Product-BES0001.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=219350&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES008L Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)",BES008L,BES,BES008L,,4903.47,Piece,Each,1,"Balluff BES008L Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)",,,,,,Dimension,18 x 66 mm,Style,M18x1,Installation,For Flush Mounting,Range,8 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,1300 Hz,Housing Material,"Brass, Nickel-Free Coated",Material Sensing Surface,PBT,Connection,"Connector, M12x1-Male, 3-pin",Operating Voltage Ub,10...30 VDC,Ambient temperature,(-40-85 deg C),1714458840-Product-BES008L.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=234533&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BES008F Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)",Balluff,Sensors,Inductive Sensors,Inductive Standard Sensors With Preferred Types,"Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)",BES008F,BES,BES008F,,3962.49,Piece,Each,1,"Balluff BES008F Inductive Standard Sensors With Preferred Types, Range, 8 mm, PNP (NO)",,,,,,Dimension,18 x 55 mm,Style,M18x1,Installation,For Flush Mounting,Range,8 mm,Switching Output,PNP Normally Open (NO),Switching Frequency,1300 Hz,Housing Material,"Brass, Nickel-Free Coated",Material Sensing Surface,PBT,Connection,"Cable, 3.00 m, PVC",Operating Voltage Ub,10...30 VDC,Ambient temperature,(-40-85 deg C),1714458852-Product-BES008F.PNG,,85365090,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=256415&con=en&ws=appoval,,,,,,,,1,1-2 Days,
