name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BCS000Y- Capacitive Sensors With Special Properties, Range 2...10 mm, Series F01",Balluff,Sensors,Capacitive Sensors,Capacitive Sensors With Special Properties,,BCS000Y,BCS,BCS000Y,,11411.93,Piece,Each,1,,,,,,,Dimension,90 x 16 x 4 mm,Series,F01,Installation,flush with container outer wall,Connection,"Cable With Connector, Special Connector-Special Connector, 2.00 m, PUR",Switching Frequency,100 Hz,Interface,Special Interface see Signal Amplifiers (BAE),Range,2...10 mm,Ambient Temperature,PC PUR,Ambient Temperature,(0...60 °C),Operating Voltage Ub,4...8 VDC,IP Rating Per IEC 60529,IP60,1714459536-Product-BCS000Y.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=367159&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS008A- Capacitive Level Sensors With Media Contact, Series M18, PNP (NO)",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS008A,BCS,BCS008A,,20296.31,Piece,Each,1,,,,,,,Dimension,18 x 73 mm,Series,M18,Thread (A),M18x1,Installation,Non-Flush,Connection,"Cable, 2.00 m, PTFE",Switching Output,PNP Normally open (NO),Switching frequency,2 Hz,Ambient Temperature,PTFE,Ambient Temperature,(-10...60°C),Operating Voltage Ub,10...35 VDC,IP Rating Per IEC 60529,IP66,1714459550-Product-BCS008A.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=367358&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS007F- Capacitive Level Sensors With Media Contact, Series M30, PNP NO/NC",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS007F,BCS,BCS007F,,9301.42,Piece,Each,1,,,,,,,Dimension,30 x 87 mm,Series,M30,Thread (A),M30x1.5,Installation,Non-Flush,Connection,"Connector, M12x1-Male, 4-pin",Switching Output,PNP NO/NC Programmable,Switching frequency,100 Hz,Ambient Temperature,PBT,Ambient Temperature,(-30...70 °C),Operating Voltage Ub,10...35 VDC,IP Rating Per IEC 60529,IP66,1714459560-Product-BCS007F.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=367334&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS00LM- Capacitive Level Sensors With Media Contact, Series M18, Range 2...15 mm",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS00LM,BCS,BCS00LM,,7772.25,Piece,Each,1,,,,,,,Dimension,18 x 88.5 mm,Series,M18,Thread (A),M18x1,Installation,Non-Flush,Connection,"Connector, M12x1-Male, 4-pin",Range,2...15 mm,Switching frequency,100 Hz,Ambient Temperature,PBT,Ambient Temperature,(-25...85 °C),Operating Voltage Ub,10...30 VDC,IP Rating Per IEC 60529,IP67,1714459572-Product-BCS00LM.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=186562&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS006Z- Capacitive Level Sensors With Media Contact, Series M12, PNP (NO)",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS006Z,BCS,BCS006Z,,17920.4,Piece,Each,1,,,,,,,Dimension,12 x 53 mm,Series,M12,Thread (A),M12x1,Installation,Non-Flush,Connection,"Cable, 2.00 m, PTFE",Switching Output,PNP Normally Open (NO),Switching frequency,100 Hz,Ambient Temperature,PTFE,Ambient Temperature,(-30...70 °C),Operating Voltage Ub,12...35 VDC,IP Rating Per IEC 60529,IP65,1714459583-Product-BCS006Z.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=367320&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS00LT- Capacitive Level Sensors With Media Contact, Series M18, Range 2...15 mm",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS00LT,BCS,BCS00LT,,7772.25,Piece,Each,1,,,,,,,Dimension,18 x 88.5 mm,Series,M18,Thread (A),M18x1,Installation,Non-Flush,Connection,"Connector, M12x1-Male, 4-pin",Range,2...15 mm,Switching frequency,100 Hz,Ambient Temperature,PBT,Ambient Temperature,(-25...85 °C),Operating Voltage Ub,10...30 VDC,IP Rating Per IEC 60529,IP67,1714459592-Product-BCS00LT.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=186572&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS00NT- Capacitive Level Sensors With Media Contact, Series M30, Range 1...25 mm",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS00NT,BCS,BCS00NT,,9453.07,Piece,Each,1,,,,,,,Dimension,30 x 65.5 mm,Series,M30,Thread (A),M30x1.5,Installation,Non-Flush,Connection,non-flush,Range,1...25 mm,Switching frequency,100 Hz,Ambient Temperature,PBT,Ambient Temperature,(-25...85 °C),Operating Voltage Ub,10...30 VDC,IP Rating Per IEC 60529,IP67,1714459603-Product-BCS00NT.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=184413&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS011L- Capacitive Level Sensors With Media Contact, Series S04, PNP (NO)",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS011L,BCS,BCS011L,,25755.84,Piece,Each,1,,,,,,,Dimension,30 x 96 mm,Series,S04,Thread (A),"G 1/2""",Installation,Non-Flush,Connection,"Connector, M12x1-Male, 4-pin",Switching output,PNP Normally Open (NO),Switching frequency,5 Hz,Ambient Temperature,1.4404 Stainless Steel,Ambient Temperature,(-10...85 °C),Operating Voltage Ub,18...30 VDC,IP Rating Per IEC 60529,IP68,1714459618-Product-BCS011L.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=237539&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS006A- Capacitive Level Sensors With Media Contact, Series M18, Range 2...15 mm",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS006A,BCS,BCS006A,,15253.82,Piece,Each,1,,,,,,,Dimension,18 x 75 mm,Series,M18,Thread (A),M18x1,Installation,Non-Flush,Connection,"Connector, M12x1-Male, 4-pin",Range,2...15 mm,Switching frequency,100 Hz,Ambient Temperature,1.4301 Stainless Steel,Ambient Temperature,(-30...70 °C),Operating Voltage Ub,10...35 VDC,IP Rating Per IEC 60529,IP67,1714459628-Product-BCS006A.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=367304&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BCS0070- Capacitive Level Sensors With Media Contact, Series M12, Range 1...8 mm",Balluff,Sensors,Capacitive Sensors,Capacitive Level Sensors With Media Contact,,BCS0070,BCS,BCS0070,,17920.4,Piece,Each,1,,,,,,,Dimension,12 x 53 mm,Series,M12,Thread (A),M12x1,Installation,Non-Flush,Connection,"Cable, 2.00 m, PTFE",Range,1...8 mm,Switching frequency,100 Hz,Ambient Temperature,PTFE,Ambient Temperature,(-30...70 °C),Operating Voltage Ub,12...35 VDC,IP Rating Per IEC 60529,IP65,1714459640-Product-BCS0070.PNG,,85369090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=367321&con=en&ws=appoval,,,,,,,,1,1-2 Days,
