name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Salzer (L&T) 61061, (6A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,306.8,Piece,Each,1,"Salzer (L&T) 61061, (6A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(6 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (10A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,375.24,Piece,Each,1,"Salzer (L&T) 61061, (10A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(10 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (16A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,757.56,Piece,Each,1,"Salzer (L&T) 61061, (16A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(16 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (25A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,919.22,Piece,Each,1,"Salzer (L&T) 61061, (25A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(25 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (32A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,1017.16,Piece,Each,1,"Salzer (L&T) 61061, (32A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(32 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (40A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,1157.58,Piece,Each,1,"Salzer (L&T) 61061, (40A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(40 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (63A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,1569.4,Piece,Each,1,"Salzer (L&T) 61061, (63A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(63 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (100A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,,Piece,Each,1,"Salzer (L&T) 61061, (100A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(100 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61061, (200A) 1P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61061,,61061,,,Piece,Each,1,"Salzer (L&T) 61061, (200A) 1P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(200 A),No of Pole,1P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61081, (6A) 2P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61081,,61081,,529.82,Piece,Each,1,"Salzer (L&T) 61081, (6A) 2P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(6 A),No of Pole,2P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61081, (10A) 2P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61081,,61081,,705.64,Piece,Each,1,"Salzer (L&T) 61081, (10A) 2P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(10 A),No of Pole,2P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61081, (16A) 2P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61081,,61081,,894.44,Piece,Each,1,"Salzer (L&T) 61081, (16A) 2P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(16 A),No of Pole,2P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61081, (25A) 2P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61081,,61081,,969.96,Piece,Each,1,"Salzer (L&T) 61081, (25A) 2P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(25 A),No of Pole,2P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61081, (32A) 2P, 4W, Multi Step Switches with OFF, 4 Way",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Multi Step Switches,Multi Step Switches with OFF 4 Way,61081,,61081,,1125.72,Piece,Each,1,"Salzer (L&T) 61081, (32A) 2P, 4W, Multi Step Switches with OFF, 4 Way",,,,,,Current Rating,(32 A),No of Pole,2P,Power Rating,4W,Contacts,4 Way,Colour,Yellow,,,,,,,,,,,,,1715336445-Product-Screenshot 2024-05-10 155029.png,,,18%,,,,,,,,,1,1-2 Days,
