c1_category,c2_category,leaf_category
Rotary Switches,Instrumentation Selector Switches,"6A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"10A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"16A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"16A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"25A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"32A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"40A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"63A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"6A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"10A, Ammeter Selector Switch (ASS)"
Rotary Switches,Instrumentation Selector Switches,"16A, Ammeter Selector Switch (ASS)"
