name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Salzer (L&T) 61325 SAB13TDYR- 6A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"6A, Ammeter Selector Switch (ASS)",61325 SAB13TDYR,TDYR-Series,61325 SAB13TDYR,,369.34,Piece,Each,1,"Salzer (L&T) 61325 SAB13TDYR- Ammeter Selector Switch (ASS), 6A, Line Currents with OFF with CT",,,,,,Current Rating,6A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715408971-Product-Screenshot 2024-05-11 115809.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61325 SBB13TDYR- 10A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"10A, Ammeter Selector Switch (ASS)",61325 SBB13TDYR,TDYR-Series,61325 SBB13TDYR,,388.22,Piece,Each,1,"Salzer (L&T) 61325 SBB13TDYR- Ammeter Selector Switch (ASS), 10A, Line Currents with OFF with CT",,,,,,Current Rating,10A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715408971-Product-Screenshot 2024-05-11 115809.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61325 SCB03TDYR- 16A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"16A, Ammeter Selector Switch (ASS)",61325 SCB03TDYR,TDYR-Series,61325 SCB03TDYR,,560.5,Piece,Each,1,"Salzer (L&T) 61325 SCB03TDYR- Ammeter Selector Switch (ASS), 16A, Line Currents with OFF with CT",,,,,,Current Rating,16A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715408971-Product-Screenshot 2024-05-11 115809.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 71000 SCB03TDYR- 16A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"16A, Ammeter Selector Switch (ASS)",71000 SCB03TDYR,TDYR-Series,71000 SCB03TDYR,,1608.34,Piece,Each,1,"Salzer (L&T) 71000 SCB03TDYR- Ammeter Selector Switch (ASS), 16A, Line Currents with OFF without CT",,,,,,Current Rating,16A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715409320-Product-Screenshot 2024-05-11 120446.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 71000 SEB03TDYR- 25A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"25A, Ammeter Selector Switch (ASS)",71000 SEB03TDYR,TDYR-Series,71000 SEB03TDYR,,1849.06,Piece,Each,1,"Salzer (L&T) 71000 SEB03TDYR- Ammeter Selector Switch (ASS), 25A, Direct Currents with OFF without CT",,,,,,Current Rating,25A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715409320-Product-Screenshot 2024-05-11 120446.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 71000 SFB03TDYR- 32A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"32A, Ammeter Selector Switch (ASS)",71000 SFB03TDYR,TDYR-Series,71000 SFB03TDYR,,2219.58,Piece,Each,1,"Salzer (L&T) 71000 SFB03TDYR- Ammeter Selector Switch (ASS), 32A, Direct Currents with OFF without CT",,,,,,Current Rating,32A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715409320-Product-Screenshot 2024-05-11 120446.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 71000 SGB03TDYR- 40A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"40A, Ammeter Selector Switch (ASS)",71000 SGB03TDYR,TDYR-Series,71000 SGB03TDYR,,3901.08,Piece,Each,1,"Salzer (L&T) 71000 SGB03TDYR- Ammeter Selector Switch (ASS), 40A, Direct Currents with OFF without CT",,,,,,Current Rating,40A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715409320-Product-Screenshot 2024-05-11 120446.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 71000 SIB03TDYR- 63A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"63A, Ammeter Selector Switch (ASS)",71000 SIB03TDYR,TDYR-Series,71000 SIB03TDYR,,4113.48,Piece,Each,1,"Salzer (L&T) 71000 SIB03TDYR- Ammeter Selector Switch (ASS), 63A, Direct Currents with OFF without CT",,,,,,Current Rating,63A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715409320-Product-Screenshot 2024-05-11 120446.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61312 SAB13TDYR- 6A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"6A, Ammeter Selector Switch (ASS)",61312 SAB13TDYR,TDYR-Series,61312 SAB13TDYR,,326.86,Piece,Each,1,"Salzer (L&T) 61312 SAB13TDYR- 6A, Voltmeter Selector Switches (VSS), Voltage between Phases with OFF",,,,,,Current Rating,6A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715410300-Product-Screenshot 2024-05-11 122123.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61312 SBB13TDYR- 10A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"10A, Ammeter Selector Switch (ASS)",61312 SBB13TDYR,TDYR-Series,61312 SBB13TDYR,,352.82,Piece,Each,1,"Salzer (L&T), 61312 SBB13TDYR, 10A, Voltmeter Selector Switches (VSS), Voltage between Phases with OFF",,,,,,Current Rating,10A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715410300-Product-Screenshot 2024-05-11 122123.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T) 61312 SCB03TDYR- 16A, Ammeter Selector Switch (ASS)",Salzer Electronics,Panel & Panel Accessories,Rotary Switches,Instrumentation Selector Switches,"16A, Ammeter Selector Switch (ASS)",61312 SCB03TDYR,TDYR-Series,61312 SCB03TDYR,,506.22,Piece,Each,1,"Salzer (L&T), 61312 SCB03TDYR, 16A, Voltmeter Selector Switches (VSS), Voltage between Phases with OFF",,,,,,Current Rating,16A,Colour,Yellow,,,,,,,,,,,,,,,,,,,1715410300-Product-Screenshot 2024-05-11 122123.png,,,18%,,,,,,,,,1,1-2 Days,
