name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Salzer (L&T), WWA1515SG,FRLS Cable Ducts (1 Meter) Size-A 15 x 15mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA1515SG,,WWA1515SG,,8496,Piece,(1 Pack of 100 No),1,"Salzer (L&T), WWA1515SG,FRLS Cable Ducts (1 Meter) Size-A 15 x 15mm, A Type",,,,,,Size (H x W),A 15 x 15mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA1525SG,FRLS Cable Ducts (1 Meter) Size-A 15 x 25mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA1525SG,,WWA1525SG,,11682,Piece,(1 Pack of 100 No),1,"Salzer (L&T), WWA1525SG,FRLS Cable Ducts (1 Meter) Size-A 15 x 25mm, A Type",,,,,,Size (H x W),A 15 x 25mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA2525SG,FRLS Cable Ducts (1 Meter) Size-A 25 x 25mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA2525SG,,WWA2525SG,,9829.4,Piece,(1 Pack of 70 No),1,"Salzer (L&T), WWA2525SG,FRLS Cable Ducts (1 Meter) Size-A 25 x 25mm, A Type",,,,,,Size (H x W),A 25 x 25mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA3025SG,FRLS Cable Ducts (1 Meter) Size-A 30 x 25mm,A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA3025SG,,WWA3025SG,,10820.6,Piece,(1 Pack of 70 No),1,"Salzer (L&T), WWA3025SG,FRLS Cable Ducts (1 Meter) Size-A 30 x 25mm,A Type",,,,,,Size (H x W),A 30 x 25mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA4030SG,FRLS Cable Ducts (1 Meter) Size-A 40 x 30mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA4030SG,,WWA4030SG,,14602.5,Piece,(1 Pack of 75 No),1,"Salzer (L&T), WWA4030SG,FRLS Cable Ducts (1 Meter) Size-A 40 x 30mm, A Type",,,,,,Size (H x W),A 40 x 30mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA4525SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 25mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA4525SG,,WWA4525SG,,14779.5,Piece,(1 Pack of 75 No),1,"Salzer (L&T), WWA4525SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 25mm, A Type",,,,,,Size (H x W),A 45 x 25mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA4530SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 30mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA4530SG,,WWA4530SG,,9912,Piece,(1 Pack of 50 No),1,"Salzer (L&T), WWA4530SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 30mm, A Type",,,,,,Size (H x W),A 45 x 30mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA4545SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 45mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA4545SG,,WWA4545SG,,12449,Piece,(1 Pack of 50 No),1,"Salzer (L&T), WWA4545SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 45mm, A Type",,,,,,Size (H x W),A 45 x 45mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA4560SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 60mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA4560SG,,WWA4560SG,,15104,Piece,(1 Pack of 50 No),1,"Salzer (L&T), WWA4560SG,FRLS Cable Ducts (1 Meter) Size-A 45 x 60mm, A Type",,,,,,Size (H x W),A 45 x 60mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
"Salzer (L&T), WWA6025SG,FRLS Cable Ducts (1 Meter) Size-A 60 x 25mm, A Type",Salzer Electronics,Panel & Panel Accessories,FRLS Cable Ducts,FRLS Cable Ducts- 1 Meter,FRLS Cable Ducts- 1 Meter A Type,WWA6025SG,,WWA6025SG,,12449,Piece,(1 Pack of 50 No),1,"Salzer (L&T), WWA6025SG,FRLS Cable Ducts (1 Meter) Size-A 60 x 25mm, A Type",,,,,,Size (H x W),A 60 x 25mm,Type,A Type,Features,"Snap fit cover, Easy to remove, cover for fast and efficient locking",,,,,,,,,,,,,,,,,1715597729-Product-Screenshot 2024-05-13 161919.png,,,18%,,,,,,,,,1,1-2 Days,
