c1_category,c2_category,leaf_category
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
Thimbles,Non Insulated Ring Terminals,
