c1_category,c2_category,leaf_category
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
Thimbles,Pin Terminal Non-Insulated,Non-Insulated
