c1_category,c2_category,leaf_category
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Non Insulated,Non Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
Thimbles,Ring Terminals Insulated,Insulated
