name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, RS-7317-Non Insulated Ring Terminals Thimble,Wire Size-0.75 Sqmm, Ring Size-4mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7317,RS-Series,RS-7317,2.2/Pc,440,Piece,(1 Pack of 200 No),1,"RS-7317-Non Insulated Ring Terminals Thimble,Wire Size-0.75 Sqmm, Ring Size-4mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,0.75- Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7318-Non Insulated Ring Terminals Thimble,Wire Size-1 Sqmm, Ring Size-3.5mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7318,RS-Series,RS-7318,2.2/Pc,440,Piece,(1 Pack of 200 No),1,"RS-7318-Non Insulated Ring Terminals Thimble,Wire Size-1 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7001-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7001,RS-Series,RS-7001,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"RS-7001-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,3mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7002-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7002,RS-Series,RS-7002,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"RS-7002-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7048-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7048,RS-Series,RS-7048,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"RS-7048-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7003-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-4mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7003,RS-Series,RS-7003,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"RS-7003-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-4mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7049-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-4mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7049,RS-Series,RS-7049,2.6/Pc,520,Piece,(1 Pack of 200 No),1,"RS-7049-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-4mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7004-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-4mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7004,RS-Series,RS-7004,2.7/Pc,540,Piece,(1 Pack of 200 No),1,"RS-7004-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-4mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7154-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-5mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7154,RS-Series,RS-7154,2.6/Pc,520,Piece,(1 Pack of 200 No),1,"RS-7154-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RS-7005-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-5mm.",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7005,RS-Series,RS-7005,3.1/Pc,620,Piece,(1 Pack of 200 No),1,"RS-7005-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,,,18%,,,,,,,,,1,1-2 Days,
