name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, RSI-7501-Ring Terminals Insulated Thimble-0.75 Sqmm, Ring Size-4mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7501,RSI-Series,RSI-7501,2.7/Pc,540,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7501-Ring Terminals Insulated Thimble-0.75 Sqmm, Ring Size-4mm",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,0.75 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7502-Ring Terminals Insulated Thimble-4 Sqmm, Ring Size-4mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7502,RSI-Series,RSI-7502,2.7/Pc,540,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7502-Ring Terminals Insulated Thimble-4 Sqmm, Ring Size-4mm",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7054-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-3mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7054,RSI-Series,RSI-7054,3.7/Pc,740,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7054-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-3mm",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,3mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7055-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-3.5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7055,RSI-Series,RSI-7055,3.7/Pc,740,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7055-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-3.5mm",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7058-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-3.5",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7058,RSI-Series,RSI-7058,3.9/Pc,780,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7058-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-3.5",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7056-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-4",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7056,RSI-Series,RSI-7056,3.7/Pc,740,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7056-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-4",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7059-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-4",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7059,RSI-Series,RSI-7059,3.9/Pc,780,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7059-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-4",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7061-Ring Terminals Insulated Thimble-1.5 Sqm, Ring Size-4O",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7061,RSI-Series,RSI-7061,2.9/Pc,580,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7061-Ring Terminals Insulated Thimble-1.5 Sqm, Ring Size-4",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7063-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-4",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7063,RSI-Series,RSI-7063,3.7/Pc,740,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7063-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-4",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7062-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-5",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7062,RSI-Series,RSI-7062,2.9/Pc,580,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7062-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-5",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7065-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-5",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7065,RSI-Series,RSI-7065,4.6/Pc,920,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7065-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-5",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7066-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-5",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7066,RSI-Series,RSI-7066,4.4/Pc,880,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7066-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-5",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7067-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-6",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7067,RSI-Series,RSI-7067,4.6/Pc,920,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7067-Ring Terminals Insulated Thimble-1.5 Sqmm, Ring Size-6",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,1.5 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7068-Ring Terminals Insulated Thimble-2.5 Sqmm, Ring Size-3",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7068,RSI-Series,RSI-7068,3.9/Pc,780,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7068-Ring Terminals Insulated Thimble-2.5 Sqmm, Ring Size-3",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,2.5 Sqmm,Ring Size,3mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
"Dowell's, RSI-7069-Ring Terminals Insulated Thimble-2.5 Sqmm, Ring Size-3.5",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Insulated,Insulated,RSI-7069,RSI-Series,RSI-7069,3.9/Pc,780,Piece,(1 Pack of 200 No),1,"Dowell's, RSI-7069-Ring Terminals Insulated Thimble-2.5 Sqmm, Ring Size-3.5",1715671052-Product-Screenshot 2024-05-14 124651.png,1715671052-Product-Screenshot 2024-05-14 124637.png,,,,Wires Size,2.5 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715671052-Product-Screenshot 2024-05-14 124615.png,,,18,,,,,,,,,1,1-2 Days,
