c1_category,c2_category,leaf_category
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
Wires & Cables,Single Core Cables,Flexible Cable
