c1_category,c2_category,leaf_category
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
Wires & Cables,Double Core Cables,Flexible Cable
