name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, CPI-45-Pin Terminal Insulated Thimble-1 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-45,CPI-Series,CPI-45,2.8/Pc,560,Piece,(1 Pack of 200 No),1,CPI-45-Pin Terminal Insulated Thimble-Wires Size-1 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,1 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-17-Pin Terminal Insulated Thimble-1.5 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-17,CPI-Series,CPI-17,2.8/Pc,560,Piece,(1 Pack of 200 No),1,CPI-17-Pin Terminal Insulated Thimble-Wires Size-1.5 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,1.5 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-40-Pin Terminal Insulated Thimble-1.5 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-40,CPI-Series,CPI-40,3.1/Pc,620,Piece,(1 Pack of 200 No),1,CPI-40-Pin Terminal Insulated Thimble-Wires Size-1.5 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,1.5 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-18-Pin Terminal Insulated Thimble-2.5 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-18,CPI-Series,CPI-18,2.9/Pc,580,Piece,(1 Pack of 200 No),1,CPI-18-Pin Terminal Insulated Thimble-Wires Size-2.5 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,2.5 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-19-Pin Terminal Insulated Thimble-2.5 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-19,CPI-Series,CPI-19,2.9/Pc,580,Piece,(1 Pack of 200 No),1,CPI-19-Pin Terminal Insulated Thimble-Wires Size-2.5 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,2.5 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-20-Pin Terminal Insulated Thimble-4 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-20,CPI-Series,CPI-20,5.8/Pc,1160,Piece,(1 Pack of 200 No),1,CPI-20-Pin Terminal Insulated Thimble-Wires Size-4 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,4 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-21-Pin Terminal Insulated Thimble-4 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-21,CPI-Series,CPI-21,7.6/Pc,1520,Piece,(1 Pack of 200 No),1,CPI-21-Pin Terminal Insulated Thimble-Wires Size-4 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,4 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-22-Pin Terminal Insulated Thimble-6 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-22,CPI-Series,CPI-22,8.3/Pc,1660,Piece,(1 Pack of 200 No),1,CPI-22-Pin Terminal Insulated Thimble-Wires Size-6 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,6 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-23-Pin Terminal Insulated Thimble-6 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-23,CPI-Series,CPI-23,8.8/Pc,1760,Piece,(1 Pack of 200 No),1,CPI-23-Pin Terminal Insulated Thimble-Wires Size-6 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,6 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CPI-24-Pin Terminal Insulated Thimble-10 Sq.mm",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Insulated,Insulated,CPI-24,CPI-Series,CPI-24,9.6/Pc,1920,Piece,(1 Pack of 200 No),1,CPI-24-Pin Terminal Insulated Thimble-Wires Size-10 Sq.mm,1715840685-Product-Screenshot 2024-05-16 115437.png,1715840730-Product-Screenshot 2024-05-16 115521.png,,,,Wires Size,10 Sq.mm,Lugs,Pin Terminal Insulated,,,,,,,,,,,,,,,,,,,1715840611-Product-Screenshot 2024-05-16 115317.png,,,18%,,,,,,,,,1,1-2 Days,
