c1_category,c2_category,leaf_category
Thimbles,Fork Type Terminal,Non-Insulated Fork Type
Thimbles,Fork Type Terminal,Non-Insulated Fork Type
Thimbles,Fork Type Terminal,Non-Insulated Fork Type
Thimbles,Fork Type Terminal,Non-Insulated Fork Type
Thimbles,Fork Type Terminal,Non-Insulated Fork Type
Thimbles,Fork Type Terminal,Non-Insulated Fork Type
Thimbles,Fork Type Terminal,Insulated Fork Type
Thimbles,Fork Type Terminal,Insulated Fork Type
Thimbles,Fork Type Terminal,Insulated Fork Type
Thimbles,Fork Type Terminal,Insulated Fork Type
Thimbles,Fork Type Terminal,Insulated Fork Type
Thimbles,Fork Type Terminal,Insulated Fork Type
Thimbles,Fork Type Terminal,Pre-Insulated Fork Type
Thimbles,Fork Type Terminal,Pre-Insulated Fork Type
Thimbles,Fork Type Terminal,Pre-Insulated Fork Type
Thimbles,Fork Type Terminal,Pre-Insulated Fork Type
Thimbles,Fork Type Terminal,Pre-Insulated Fork Type
