name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, SNP-8351- Snap On Terminals, Wires Size 1.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8351,SNP-Series,SNP-8351,3.1/Pc,620,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8351- Snap On Terminals, Wires Size 1.5 Sqmm",,,,,,Wires Size,1.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8352- Snap On Terminals, Wires Size 1.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8352,SNP-Series,SNP-8352,4.4/Pc,880,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8352- Snap On Terminals, Wires Size 1.5 Sqmm",,,,,,Wires Size,1.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8347- Snap On Terminals, Wires Size 2.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8347,SNP-Series,SNP-8347,3.2/Pc,640,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8347- Snap On Terminals, Wires Size 2.5 Sqmm",,,,,,Wires Size,2.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8348- Snap On Terminals, Wires Size 2.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8348,SNP-Series,SNP-8348,4.8/Pc,960,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8348- Snap On Terminals, Wires Size 2.5 Sqmm",,,,,,Wires Size,2.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8476- Snap On Terminals, Wires Size 4 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8476,SNP-Series,SNP-8476,8.4/Pc,1680,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8476- Snap On Terminals, Wires Size 4 Sqmm",,,,,,Wires Size,4 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8359- Snap On Terminals, Wires Size 1.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8359,SNP-Series,SNP-8359,5.9/Pc,1180,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8359- Snap On Terminals, Wires Size 1.5 Sqmm",,,,,,Wires Size,1.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8362- Snap On Terminals, Wires Size 1.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8362,SNP-Series,SNP-8362,5.9/Pc,1180,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8362- Snap On Terminals, Wires Size 1.5 Sqmm",,,,,,Wires Size,1.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8336- Snap On Terminals, Wires Size 1.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8336,SNP-Series,SNP-8336,3.1/Pc,620,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8336- Snap On Terminals, Wires Size 1.5 Sqmm",,,,,,Wires Size,1.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8356- Snap On Terminals, Wires Size 1.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8356,SNP-Series,SNP-8356,3.1/Pc,620,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8356- Snap On Terminals, Wires Size 1.5 Sqmm",,,,,,Wires Size,1.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
"Dowell's, SNP-8358- Snap On Terminals, Wires Size 1.5 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Snap On Terminals,,SNP-8358,SNP-Series,SNP-8358,3.6/Pc,720,Piece,(1 Pack of 200 No),1,"Dowell's, SNP-8358- Snap On Terminals, Wires Size 1.5 Sqmm",,,,,,Wires Size,1.5 Sqmm,Lugs Type,Snap On Terminals,,,,,,,,,,,,,,,,,,,,,1715922192-Product-Screenshot 2024-05-17 103259.png,18%,,,,,,,,,1,1-2 Days,
