name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, CEB-05-Copper Tubular Terminals Long Barrel Thimble-Wires Size-2.5sqmm, Ring Size-5mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-05,CEB-Series,CEB-05,8.6/Pc,1720,Piece,(1 Pack of 200 No),1,"Dowell's, CEB-05-Copper Tubular Terminals Long Barrel Thimble-Wires Size-2.5sqmm, Ring Size-5mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,2.5sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-06-Copper Tubular Terminals Long Barrel Thimble-Wires Size-4sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-06,CEB-Series,CEB-06,12/Pc,2400,Piece,(1 Pack of 200 No),1,"Dowell's, CEB-06-Copper Tubular Terminals Long Barrel Thimble-Wires Size-4sqmm, Ring Size-6mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,4sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-07Copper Tubular Terminals Long Barrel Thimble-Wires Size-6sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-07,CEB-Series,CEB-07,13/Pc,2600,Piece,(1 Pack of 200 No),1,"Dowell's, CEB-07Copper Tubular Terminals Long Barrel Thimble-Wires Size-6sqmm, Ring Size-6mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,6sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-08-Copper Tubular Terminals Long Barrel Thimble-Wires Size-10sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-08,CEB-Series,CEB-08,16/Pc,3200,Piece,(1 Pack of 200 No),1,"Dowell's, CEB-08-Copper Tubular Terminals Long Barrel Thimble-Wires Size-10sqmm, Ring Size-6mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,10sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-09-Copper Tubular Terminals Long Barrel Thimble-Wires Size-16sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-09,CEB-Series,CEB-09,21/Pc,4200,Piece,(1 Pack of 200 No),1,"Dowell's, CEB-09-Copper Tubular Terminals Long Barrel Thimble-Wires Size-16sqmm, Ring Size-6mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,16sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-10-Copper Tubular Terminals Long Barrel Thimble-Wires Size-25sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-10,CEB-Series,CEB-10,27/Pc,5400,Piece,(1 Pack of 200 No),1,"Dowell's, CEB-10-Copper Tubular Terminals Long Barrel Thimble-Wires Size-25sqmm, Ring Size-6mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,25sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-11-Copper Tubular Terminals Long Barrel Thimble-Wires Size-35sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-11,CEB-Series,CEB-11,32/Pc,3200,Piece,(1 Pack of 100 No),1,"Dowell's, CEB-11-Copper Tubular Terminals Long Barrel Thimble-Wires Size-35sqmm, Ring Size-6mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,35sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-12-Copper Tubular Terminals Long Barrel Thimble-Wires Size-35sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-12,CEB-Series,CEB-12,38/Pc,3800,Piece,(1 Pack of 100 No),1,"Dowell's, CEB-12-Copper Tubular Terminals Long Barrel Thimble-Wires Size-35sqmm, Ring Size-8mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,35sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-13-Copper Tubular Terminals Long Barrel Thimble-Wires Size-50sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-13,CEB-Series,CEB-13,49/Pc,4900,Piece,(1 Pack of 100 No),1,"Dowell's, CEB-13-Copper Tubular Terminals Long Barrel Thimble-Wires Size-50sqmm, Ring Size-6mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,50sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-14-Copper Tubular Terminals Long Barrel Thimble-Wires Size-50sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-14,CEB-Series,CEB-14,49/Pc,4900,Piece,(1 Pack of 100 No),1,"Dowell's, CEB-14-Copper Tubular Terminals Long Barrel Thimble-Wires Size-50sqmm, Ring Size-8mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,50sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-15-Copper Tubular Terminals Long Barrel Thimble-Wires Size-5sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-15,CEB-Series,CEB-15,49/Pc,4900,Piece,(1 Pack of 100 No),1,"Dowell's, CEB-15-Copper Tubular Terminals Long Barrel Thimble-Wires Size-5sqmm, Ring Size-10mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,5sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-16-Copper Tubular Terminals Long Barrel Thimble-Wires Size-70sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-16,CEB-Series,CEB-16,81/Pc,4050,Piece,(1 Pack of 50 No),1,"Dowell's, CEB-16-Copper Tubular Terminals Long Barrel Thimble-Wires Size-70sqmm, Ring Size-8mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,70sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-17-Copper Tubular Terminals Long Barrel Thimble-Wires Size-70sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-17,CEB-Series,CEB-17,81/Pc,4050,Piece,(1 Pack of 50 No),1,"Dowell's, CEB-17-Copper Tubular Terminals Long Barrel Thimble-Wires Size-70sqmm, Ring Size-10mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,70sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-18-Copper Tubular Terminals Long Barrel Thimble-Wires Size-70sqmm, Ring Size-12mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-18,CEB-Series,CEB-18,81/Pc,4050,Piece,(1 Pack of 50 No),1,"Dowell's, CEB-18-Copper Tubular Terminals Long Barrel Thimble-Wires Size-70sqmm, Ring Size-12mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,70sqmm,Ring Size,12mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-19-Copper Tubular Terminals Long Barrel Thimble-Wires Size-95sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-19,CEB-Series,CEB-19,105/Pc,2625,Piece,(1 Pack of 25 No),1,"Dowell's, CEB-19-Copper Tubular Terminals Long Barrel Thimble-Wires Size-95sqmm, Ring Size-10mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,95sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CEB-20-Copper Tubular Terminals Long Barrel Thimble-Wires Size-95sqmm, Ring Size-12mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tubular Terminals,Long Barrel,CEB-20,CEB-Series,CEB-20,105/Pc,2625,Piece,(1 Pack of 25 No),1,"Dowell's, CEB-20-Copper Tubular Terminals Long Barrel Thimble-Wires Size-95sqmm, Ring Size-12mm",1715927432-Product-Screenshot 2024-05-17 120017.png,,,,,Wires Size,95sqmm,Ring Size,12mm,,,,,,,,,,,,,,,,,,,1715927072-Product-Screenshot 2024-05-17 115412.png,,,18%,,,,,,,,,1,1-2 Days,
