name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, EH-508-End Sealing Ferrules Thimble-Wires Size-0.5 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-508,EH-Series,EH-508,1/Pc,200,Piece,Each,1,"Dowell's, EH-508-End Sealing Ferrules Thimble-Wires Size-0.5 Sqmm, Ring Size-6mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,0.5 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-512-End Sealing Ferrules Thimble-Wires Size-1.5 Sqmm, Ring Size-7mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-509,EH-Series,EH-509,1/Pc,200,Piece,Each,1,"Dowell's, EH-509-End Sealing Ferrules Thimble-Wires Size-0.75 Sqmm, Ring Size-6mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,0.75 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-512-End Sealing Ferrules Thimble-Wires Size-1.5 Sqmm, Ring Size-7mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-510,EH-Series,EH-510,1/Pc,200,Piece,Each,1,"Dowell's, EH-510-End Sealing Ferrules Thimble-Wires Size- 1 Sqmm, Ring Size-6mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,1 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-512-End Sealing Ferrules Thimble-Wires Size-1.5 Sqmm, Ring Size-7mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-511,EH-Series,EH-511,1/Pc,200,Piece,Each,1,"Dowell's, EH-511-End Sealing Ferrules Thimble-Wires Size- 1 Sqmm, Ring Size-10mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,1 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-512-End Sealing Ferrules Thimble-Wires Size-1.5 Sqmm, Ring Size-7mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-512,EH-Series,EH-512,1/Pc,200,Piece,Each,1,"Dowell's, EH-512-End Sealing Ferrules Thimble-Wires Size-1.5 Sqmm, Ring Size-7mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,1.5 Sqmm,Ring Size,7mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-513-End Sealing Ferrules Thimble-Wires Size-1.5 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-513,EH-Series,EH-513,1/Pc,200,Piece,Each,1,"Dowell's, EH-513-End Sealing Ferrules Thimble-Wires Size-1.5 Sqmm, Ring Size-10mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,1.5 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-514-End Sealing Ferrules Thimble-Wires Size-2.5 Sqmm, Ring Size-7mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-514,EH-Series,EH-514,1/Pc,200,Piece,Each,1,"Dowell's, EH-514-End Sealing Ferrules Thimble-Wires Size-2.5 Sqmm, Ring Size-7mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,2.5 Sqmm,Ring Size,7mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-515-End Sealing Ferrules Thimble-Wires Size-2.5 Sqmm, Ring Size-12mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-515,EH-Series,EH-515,1/Pc,200,Piece,Each,1,"Dowell's, EH-515-End Sealing Ferrules Thimble-Wires Size-2.5 Sqmm, Ring Size-12mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,2.5 Sqmm,Ring Size,12mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-516-End Sealing Ferrules Thimble-Wires Size-4 Sqmm, Ring Size-9mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-516,EH-Series,EH-516,1/Pc,200,Piece,Each,1,"Dowell's, EH-516-End Sealing Ferrules Thimble-Wires Size-4 Sqmm, Ring Size-9mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,4 Sqmm,Ring Size,9mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, EH-517-End Sealing Ferrules Thimble-Wires Size- 4 Sqmm, Ring Size-12mm",Dowell's,Panel & Panel Accessories,Thimbles,End Sealing Ferrules,,EH-517,EH-Series,EH-517,1/Pc,200,Piece,Each,1,"Dowell's, EH-517-End Sealing Ferrules Thimble-Wires Size- 4 Sqmm, Ring Size-12mm",1715930761-Product-Screenshot 2024-05-17 125546.png,,,,,Wires Size,4 Sqmm,Ring Size,12mm,,,,,,,,,,,,,,,,,,,1715930761-Product-Screenshot 2024-05-17 125516.png,,,18%,,,,,,,,,1,1-2 Days,
