name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, CUS-106-Copper Tube Terminals ICF Series Thimble,Wires Size-17-5 Sqmm, Ring Size-5mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-106,CUS-Series,CUS-106,34/Pc,1700,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-106-Copper Tube Terminals ICF Series Thimble,Wires Size-17-5 Sqmm, Ring Size-5mm",,,,,,Wires Size,17-5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-145-Copper Tube Terminals ICF Series Thimble,Wires Size-17-6 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-145,CUS-Series,CUS-145,34/Pc,1700,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-145-Copper Tube Terminals ICF Series Thimble,Wires Size-17-6 Sqmm, Ring Size-6mm",,,,,,Wires Size,17-6 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-146-Copper Tube Terminals ICF Series Thimble,Wires Size-17-8 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-146,CUS-Series,CUS-146,34/Pc,1700,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-146-Copper Tube Terminals ICF Series Thimble,Wires Size-17-8 Sqmm, Ring Size-8mm",,,,,,Wires Size,17-8 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-109-Copper Tube Terminals ICF Series Thimble,Wires Size-17-10 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-109,CUS-Series,CUS-109,35/Pc,1750,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-109-Copper Tube Terminals ICF Series Thimble,Wires Size-17-10 Sqmm, Ring Size-10mm",,,,,,Wires Size,17-10 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-107-Copper Tube Terminals ICF Series Thimble,Wires Size-23-5 Sqmm, Ring Size-5mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-107,CUS-Series,CUS-107,56/Pc,2800,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-107-Copper Tube Terminals ICF Series Thimble,Wires Size-23-5 Sqmm, Ring Size-5mm",,,,,,Wires Size,23-5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-147-Copper Tube Terminals ICF Series Thimble,Wires Size-23-6 Sqm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-147,CUS-Series,CUS-147,56/Pc,2800,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-147-Copper Tube Terminals ICF Series Thimble,Wires Size-23-6 Sqm, Ring Size-6mm",,,,,,Wires Size,23-6 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-148-Copper Tube Terminals ICF Series Thimble,Wires Size-23-8 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-148,CUS-Series,CUS-148,56/Pc,2800,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-148-Copper Tube Terminals ICF Series Thimble,Wires Size-23-8 Sqmm, Ring Size-8mm",,,,,,Wires Size,23-8 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-108-Copper Tube Terminals ICF Series Thimble,Wires Size-23-10 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-108,CUS-Series,CUS-108,59/Pc,2950,Piece,(1 Pack of 50 No),1,"Dowell's, CUS-108-Copper Tube Terminals ICF Series Thimble,Wires Size-23-10 Sqmm, Ring Size-10mm",,,,,,Wires Size,23-10 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-110-Copper Tube Terminals ICF Series Thimble,Wires Size-29-5 Sqmm, Ring Size-5mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-110,CUS-Series,CUS-110,83/Pc,2075,Piece,(1 Pack of 25 No),1,"Dowell's, CUS-110-Copper Tube Terminals ICF Series Thimble,Wires Size-29-5 Sqmm, Ring Size-5mm",,,,,,Wires Size,29-5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-149-Copper Tube Terminals ICF Series Thimble,Wires Size-29-6 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-149,CUS-Series,CUS-149,76/Pc,1900,Piece,(1 Pack of 25 No),1,"Dowell's, CUS-149-Copper Tube Terminals ICF Series Thimble,Wires Size-29-6 Sqmm, Ring Size-6mm",,,,,,Wires Size,29-6 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-150-Copper Tube Terminals ICF Series Thimble,Wires Size-29-8 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-150,CUS-Series,CUS-150,76/Pc,1900,Piece,(1 Pack of 25 No),1,"Dowell's, CUS-150-Copper Tube Terminals ICF Series Thimble,Wires Size-29-8 Sqmm, Ring Size-8mm",,,,,,Wires Size,29-8 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-151-Copper Tube Terminals ICF Series Thimble,Wires Size-29-10 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-151,CUS-Series,CUS-151,78/Pc,1950,Piece,(1 Pack of 25 No),1,"Dowell's, CUS-151-Copper Tube Terminals ICF Series Thimble,Wires Size-29-10 Sqmm, Ring Size-10mm",,,,,,Wires Size,29-10 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-111-Copper Tube Terminals ICF Series Thimble,Wires Size-29-13 Sqmm, Ring Size-13mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-111,CUS-Series,CUS-111,76/Pc,1900,Piece,(1 Pack of 25 No),1,"Dowell's, CUS-111-Copper Tube Terminals ICF Series Thimble,Wires Size-29-13 Sqmm, Ring Size-13mm",,,,,,Wires Size,29-13 Sqmm,Ring Size,13mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-116-Copper Tube Terminals ICF Series Thimble,Wires Size-45-5 Sqmm,Ring Size-5mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-116,CUS-Series,CUS-116,108/Pc,1620,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-116-Copper Tube Terminals ICF Series Thimble,Wires Size-45-5 Sqmm,Ring Size-5mm",,,,,,Wires Size,45-5 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-152-Copper Tube Terminals ICF Series Thimble,Wires Size-45-6 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-152,CUS-Series,CUS-152,108/Pc,1620,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-152-Copper Tube Terminals ICF Series Thimble,Wires Size-45-6 Sqmm, Ring Size-6mm",,,,,,Wires Size,45-6 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-153-Copper Tube Terminals ICF Series Thimble,Wires Size-45-8 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-153,CUS-Series,CUS-153,108/Pc,1620,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-153-Copper Tube Terminals ICF Series Thimble,Wires Size-45-8 Sqmm, Ring Size-8mm",,,,,,Wires Size,45-8 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-154-Copper Tube Terminals ICF Series Thimble,Wires Size-45-10 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-154,CUS-Series,CUS-154,108/Pc,1620,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-154-Copper Tube Terminals ICF Series Thimble,Wires Size-45-10 Sqmm, Ring Size-10mm",,,,,,Wires Size,45-10 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-113-Copper Tube Terminals ICF Series Thimble,Wires Size-45-10 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-113,CUS-Series,CUS-113,108/Pc,1620,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-113-Copper Tube Terminals ICF Series Thimble,Wires Size-45-10 Sqmm, Ring Size-10mm",,,,,,Wires Size,45-10 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-112-Copper Tube Terminals ICF Series Thimble,Wires Size-57-6 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-112,CUS-Series,CUS-112,177/Pc,2655,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-112-Copper Tube Terminals ICF Series Thimble,Wires Size-57-6 Sqmm, Ring Size-6mm",,,,,,Wires Size,57-6 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-155-Copper Tube Terminals ICF Series Thimble,Wires Size-57-8 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-155,CUS-Series,CUS-155,177/Pc,2655,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-155-Copper Tube Terminals ICF Series Thimble,Wires Size-57-8 Sqmm, Ring Size-8mm",,,,,,Wires Size,57-8 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-156-Copper Tube Terminals ICF Series Thimble,Wires Size-75-10 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-156,CUS-Series,CUS-156,177/Pc,2655,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-156-Copper Tube Terminals ICF Series Thimble,Wires Size-75-10 Sqmm, Ring Size-10mm",,,,,,Wires Size,75-10 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-157-Copper Tube Terminals ICF Series Thimble,Wires Size-75-13 Sqmm, Ring Size-13mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-157,CUS-Series,CUS-157,177/Pc,2655,Piece,(1 Pack of 15 No),1,"Dowell's, CUS-157-Copper Tube Terminals ICF Series Thimble,Wires Size-75-13 Sqmm, Ring Size-13mm",,,,,,Wires Size,75-13 Sqmm,Ring Size,13mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CUS-114-Copper Tube Terminals ICF Series Thimble,Wires Size-75-6 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube Terminals ICF Series,,CUS-114,CUS-Series,CUS-114,,225,Piece,Each,1,"Dowell's, CUS-114-Copper Tube Terminals ICF Series Thimble,Wires Size-75-6 Sqmm, Ring Size-6mm",,,,,,Wires Size,75-6 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715936238-Product-Screenshot 2024-05-17 142656.png,,,18%,,,,,,,,,1,1-2 Days,
