name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, DIN-6-5 -Copper DIN Type Terminals Thimble,Wires Size-6 Sqmm, Ring Size-5mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-6-5,DIN-Series,DIN-6-5,18/Pc,900,Piece,(1 Pack of 50 No),1,"Dowell's, DIN-6-5 -Copper DIN Type Terminals Thimble,Wires Size-6 Sqmm, Ring Size-5mm",,,,,,Wires Size,6 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-6-6-Copper DIN Type Terminals Thimble,Wires Size-6 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-6-6,DIN-Series,DIN-6-6,18/Pc,900,Piece,(1 Pack of 50 No),1,"Dowell's, DIN-6-6-Copper DIN Type Terminals Thimble,Wires Size-6 Sqmm, Ring Size-6mm",,,,,,Wires Size,6 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-6-8-Copper DIN Type Terminals Thimble,Wires Size-6 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-6-8,DIN-Series,DIN-6-8,18/Pc,900,Piece,(1 Pack of 50 No),1,"Dowell's, DIN-6-8-Copper DIN Type Terminals Thimble,Wires Size-6 Sqmm, Ring Size-8mm",,,,,,Wires Size,6 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-10-5-Copper DIN Type Terminals Thimble,Wires Size-10 Sqmm, Ring Size-5mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-10-5,DIN-Series,DIN-10-5,19/Pc,950,Piece,(1 Pack of 50 No),1,"Dowell's, DIN-10-5-Copper DIN Type Terminals Thimble,Wires Size-10 Sqmm, Ring Size-5mm",,,,,,Wires Size,10 Sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-10-6-Copper DIN Type Terminals Thimble,Wires Size-10 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-10-6,DIN-Series,DIN-10-6,19/Pc,950,Piece,(1 Pack of 50 No),1,"Dowell's, DIN-10-6-Copper DIN Type Terminals Thimble,Wires Size-10 Sqmm, Ring Size-6mm",,,,,,Wires Size,10 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-10-8-Copper DIN Type Terminals Thimble,Wires Size-10 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-10-8,DIN-Series,DIN-10-8,19/Pc,950,Piece,(1 Pack of 50 No),1,"Dowell's, DIN-10-8-Copper DIN Type Terminals Thimble,Wires Size-10 Sqmm, Ring Size-8mm",,,,,,Wires Size,10 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-16-6-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-16-6,DIN-Series,DIN-16-6,68/Pc,1700,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-16-6-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-6mm",,,,,,Wires Size,16 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-16-8-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-16-8,DIN-Series,DIN-16-8,68/Pc,1700,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-16-8-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-8mm",,,,,,Wires Size,16 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-16-10-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-16-10,DIN-Series,DIN-16-10,68/Pc,1700,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-16-10-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-10mm",,,,,,Wires Size,16 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-16-12-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-12mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-16-12,DIN-Series,DIN-16-12,68/Pc,1700,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-16-12-Copper DIN Type Terminals Thimble,Wires Size-16 Sqmm, Ring Size-12mm",,,,,,Wires Size,16 Sqmm,Ring Size,12mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-25-6-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-25-6,DIN-Series,DIN-25-6,86/Pc,2150,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-25-6-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-6mm",,,,,,Wires Size,25 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-25-8-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-25-8,DIN-Series,DIN-25-8,86/Pc,2150,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-25-8-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-8mm",,,,,,Wires Size,25 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-25-10-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-25-10,DIN-Series,DIN-25-10,86/Pc,2150,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-25-10-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-10mm",,,,,,Wires Size,25 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-25-12-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-12mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-25-12,DIN-Series,DIN-25-12,86/Pc,2150,Piece,(1 Pack of 25 No),1,"Dowell's, DIN-25-12-Copper DIN Type Terminals Thimble,Wires Size-25 Sqmm, Ring Size-12mm",,,,,,Wires Size,25 Sqmm,Ring Size,12mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-35-6-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-6mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-35-6,DIN-Series,DIN-35-6,167/Pc,2505,Piece,(1 Pack of 15 No),1,"Dowell's, DIN-35-6-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-6mm",,,,,,Wires Size,35 Sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-35-8-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-8mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-35-8,DIN-Series,DIN-35-8,167/Pc,2505,Piece,(1 Pack of 15 No),1,"Dowell's, DIN-35-8-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-8mm",,,,,,Wires Size,35 Sqmm,Ring Size,8mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-35-10-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-10mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-35-10,DIN-Series,DIN-35-10,167/Pc,2505,Piece,(1 Pack of 15 No),1,"Dowell's, DIN-35-10-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-10mm",,,,,,Wires Size,35 Sqmm,Ring Size,10mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, DIN-35-12-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-12mm",Dowell's,Panel & Panel Accessories,Thimbles,Copper DIN Type Terminals,,DIN-35-12,DIN-Series,DIN-35-12,167/Pc,2505,Piece,(1 Pack of 15 No),1,"Dowell's, DIN-35-12-Copper DIN Type Terminals Thimble,Wires Size-35 Sqmm, Ring Size-12mm",,,,,,Wires Size,35 Sqmm,Ring Size,12mm,,,,,,,,,,,,,,,,,,,1715939622-Product-Screenshot 2024-05-17 150741.png,,,18%,,,,,,,,,1,1-2 Days,
