name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"EH-453-Copper Tube In-Line Connectros Thimble,Wires Size-1.5sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube In-Line Connectors,,EH-453,EH-Series,EH-453,4/Pc,800,Piece,(1 Pack of 200 No),1,"EH-453-Copper Tube In-Line Connectros Thimble,Wires Size-EH",,,,,,Wires Size,1.5 Sqmm,,,,,,,,,,,,,,,,,,,,,1715941722-Product-Screenshot 2024-05-17 155818.png,,,18%,,,,,,,,,1,1-2 Days,
"EH-454-Copper Tube In-Line Connectros Thimble,Wires Size-2.5sqmm",Dowell's,Panel & Panel Accessories,Thimbles,Copper Tube In-Line Connectors,,EH-454,EH-Series,EH-454,4/Pc,800,Piece,(1 Pack of 200 No),1,"EH-454-Copper Tube In-Line Connectros Thimble,Wires Size-EH",,,,,,Wires Size,2.5 Sqmm,,,,,,,,,,,,,,,,,,,,,1715941722-Product-Screenshot 2024-05-17 155818.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-16-16-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-16-16 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-16-16,CACF-Series,CACF-16-16,,260,Piece,Each,1,CACF-16-16-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-16-16 Sqmm,,,,,,Wires Size,16-16 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-25-16-BI-Metallic Connectros ( Friction Welded )Thimble-Wires Size-25-16 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-25-16,CACF-Series,CACF-25-16,,260,Piece,Each,1,CACF-25-16-BI-Metallic Connectros ( Friction Welded )Thimble-Wires Size-25-16 Sqmm,,,,,,Wires Size,25-16 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-25-25-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-25-25 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-25-25,CACF-Series,CACF-25-25,,260,Piece,Each,1,CACF-25-25-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-25-25 Sqmm,,,,,,Wires Size,25-25 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-35-16-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-35-16 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-35-16,CACF-Series,CACF-35-16,,260,Piece,Each,1,CACF-35-16-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-35-16 Sqmm,,,,,,Wires Size,35-16 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-35-25-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-35-25 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-35-25,CACF-Series,CACF-35-25,,255,Piece,Each,1,CACF-35-25-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-35-25 Sqmm,,,,,,Wires Size,35-25 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-35-35-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-35-35 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-35-35,CACF-Series,CACF-35-35,,251,Piece,Each,1,CACF-35-35-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-35-35 Sqmm,,,,,,Wires Size,35-35 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-50-25-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-50-25 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-50-25,CACF-Series,CACF-50-25,,320,Piece,Each,1,CACF-50-25-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-50-25 Sqmm,,,,,,Wires Size,50-25 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, CACF-50-35-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-50-35 Sqmm",Dowell's,Panel & Panel Accessories,Thimbles,BI-Metallic Connectros- Friction Welded,Connectros Friction Welded,CACF-50-35,CACF-Series,CACF-50-35,,320,Piece,Each,1,CACF-50-35-BI-Metallic Connectros ( Friction Welded ) Thimble-Wires Size-50-35 Sqmm,,,,,,Wires Size,50-35 Sqmm,,,,,,,,,,,,,,,,,,,,,1715944538-Product-Screenshot 2024-05-17 164403.png,,,18%,,,,,,,,,1,1-2 Days,
