name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 0.50 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,6323,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 0.50 sqmm",,,,,,Size,0.50 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 0.75 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,7523,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 0.75 sqmm",,,,,,Size,0.75 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 1.0 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,9241,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 1.0 sqmm",,,,,,Size,1.0 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 1.5 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,11563,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 1.5 sqmm",,,,,,Size,1.5 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 2.50 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,17368,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 2.50 sqmm",,,,,,Size,2.50 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 4 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,28593,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 4.00 sqmm",,,,,,Size,4 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 6 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,37688,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 6.00 sqmm",,,,,,Size,6 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 10 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,52347,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 10.00 sqmm",,,,,,Size,10 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 16 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,77989,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 16 sqmm",,,,,,Size,16 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi, Cables, Screened Shielded Cables, Double Core, Size 25 sq.mm 1100V, 100 M",Swadeshi,Panel & Panel Accessories,Wires & Cables,Screened Shielded Cables,Double Core,,,,,139431,Piece,Each,1,"Swadeshi, Industrial Instrumentation Cables, PVC Sheathed Flexible Unarmoured Cables 1100V. (Screened Shielded Cables), 2 Core, 25sqmm",,,,,,Size,25 sq.mm,Type of Core,2 Core,Voltage,1100V,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
