name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Swadeshi Solid/Stranded Copper Cables Confirming 13 Amp, (100 Mtrs.)",Swadeshi,Panel & Panel Accessories,Wires & Cables,Solid/Stranded Copper Cables,Single Core,,,,,2448.5,Piece,100 Mtrs,1,"Swadeshi Solid/Stranded Copper Cables Confirming 13 Amp, (100 Mtrs.)",,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),1.00 sqmm,Size (mm),1/1.130 mm,Current Rating,13 Amp,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi Solid/Stranded Copper Cables Confirming 17 Amp, (100 Mtrs.)",Swadeshi,Panel & Panel Accessories,Wires & Cables,Solid/Stranded Copper Cables,Single Core,,,,,3587.2,Piece,100 Mtrs,1,"Swadeshi Solid/Stranded Copper Cables Confirming 17 Amp, (100 Mtrs.)",,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),1.50 sqmm,Size (mm),1/1.40 mm,Current Rating,17 Amp,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi Solid/Stranded Copper Cables Confirming 24 Amp, (100 Mtrs.)",Swadeshi,Panel & Panel Accessories,Wires & Cables,Solid/Stranded Copper Cables,Single Core,,,,,5994.4,Piece,100 Mtrs,1,"Swadeshi Solid/Stranded Copper Cables Confirming 24 Amp, (100 Mtrs.)",,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),2.50 sqmm,Size (mm),1/1.78 mm,Current Rating,24 Amp,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi Solid/Stranded Copper Cables Confirming 30 Amp, (100 Mtrs.)",Swadeshi,Panel & Panel Accessories,Wires & Cables,Solid/Stranded Copper Cables,Single Core,,,,,9322,Piece,100 Mtrs,1,"Swadeshi Solid/Stranded Copper Cables Confirming 30 Amp, (100 Mtrs.)",,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),4.00 sqmm,Size (mm),1/2. 30 mm,Current Rating,30 Amp,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi Solid/Stranded Copper Cables Confirming 38 Amp, (100 Mtrs.)",Swadeshi,Panel & Panel Accessories,Wires & Cables,Solid/Stranded Copper Cables,Single Core,,,,,14101,Piece,100 Mtrs,1,"Swadeshi Solid/Stranded Copper Cables Confirming 38 Amp, (100 Mtrs.)",,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),6.00 sqmm,Size (mm),1/2.80 mm,Current Rating,38 Amp,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
"Swadeshi Solid/Stranded Copper Cables Confirming 52 Amp, (100 Mtrs.)",Swadeshi,Panel & Panel Accessories,Wires & Cables,Solid/Stranded Copper Cables,Single Core,,,,,23954,Piece,100 Mtrs,1,"Swadeshi Solid/Stranded Copper Cables Confirming 52 Amp, (100 Mtrs.)",,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),10 sqmm,Size (mm),1/3.55 mm,Current Rating,52 Amp,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
Swadeshi 3 Core Flat Submersible Cables 14 Amp (100 Mtrs.),Swadeshi,Panel & Panel Accessories,Wires & Cables,Flat Submersible Cables,Three Core,,,,,10596.4,Piece,100 Mtrs,1,Swadeshi 3 Core Flat Submersible Cables 14 Amp (100 Mtrs.),,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),1.5 sqmm,Current Rating,14 Amp,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
Swadeshi 3 Core Flat Submersible Cables 18 Amp (100 Mtrs.),Swadeshi,Panel & Panel Accessories,Wires & Cables,Flat Submersible Cables,Three Core,,,,,16343,Piece,100 Mtrs,1,Swadeshi 3 Core Flat Submersible Cables 18 Amp (100 Mtrs.),,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),2.5 sqmm,Current Rating,18 Amp,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
Swadeshi 3 Core Flat Submersible Cables 26 Amp (100 Mtrs.),Swadeshi,Panel & Panel Accessories,Wires & Cables,Flat Submersible Cables,Three Core,,,,,24662,Piece,100 Mtrs,1,Swadeshi 3 Core Flat Submersible Cables 26 Amp (100 Mtrs.),,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),4 sqmm,Current Rating,26 Amp,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
Swadeshi 3 Core Flat Submersible Cables 31 Amp (100 Mtrs.),Swadeshi,Panel & Panel Accessories,Wires & Cables,Flat Submersible Cables,Three Core,,,,,36167,Piece,100 Mtrs,1,Swadeshi 3 Core Flat Submersible Cables 31 Amp (100 Mtrs.),,,,,,Voltage,UP to 1100V,Conductor Material,Copper Conductor,Sheathed,Insulated PVC Outer,Nominal Area (sqmm),6 sqmm,Current Rating,31 Amp,,,,,,,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
