name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Rittal AE 1035.500- Compact Enclosures, Width: 200 mm Height: 300 mm Depth: 155 mm, IP 55",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1035.500,AE-Series,AE 1035.500,,4086.34,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure: Sheet steel Door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 55,Colour,RAL 7035,Protection category NEMA:,NEMA 12,Supply includes:,"Enclosure with hinged door(s), of all-round solid construction Gland plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit",Dimensions,Width: 200 mm Height: 300 mm Depth: 155 mm,Material Thickness,Enclosure: 1.25 mm Door: 1.5 mm Mounting plate: 2 mm,Mounting Plate,Width: 162 mm Height: 275 mm,Number of Doors,1,,,1716206166-Product-AE 1035.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1035500/1035500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1035500%2F1035500.pdf%22%7D,,,,,,,4.5 kg,1,1-2 Days,
"Rittal AE 1036.500- Compact Enclosures, Width: 300 mm Height: 300 mm Depth: 155 mm, IP 66",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1036.500,AE-Series,AE 1036.500,,4918.24,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure: Sheet steel Door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 66,Colour,RAL 7035,Protection category NEMA:,NEMA 4,Supply includes:,"Enclosure with hinged door(s), of all-round solid construction Gland plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit",Dimensions,Width: 300 mm Height: 300 mm Depth: 155 mm,Material Thickness,Enclosure: 1.38 mm Door: 1.5 mm Mounting plate: 2 mm,Mounting Plate,Width: 254 mm Height: 275 mm,Number of Doors,1,,,1716206186-Product-AE 1036.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1036500/1036500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1036500%2F1036500.pdf%22%7D,,,,,,,6.1 kg,1,1-2 Days,
"Rittal AE 1033.500- Compact Enclosures, Height: 300 mm (12) Width: 300 mm (12) Depth: 210 mm (8.3), IP 66",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1033.500,AE-Series,AE 1033.500,,3847,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Housing: Carbon steel Door: Carbon steel, all-round foamed-in PU seal",Surface Finish,"Housing and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 66,Colour,RAL 7035,Protection category NEMA:,NEMA 4,Supply includes:,"Housing with hinged door(s), of all-round solid construction Flange (gland) plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit",Dimensions,Height: 300 mm (12 ) Width: 300 mm (12 ) Depth: 210 mm (8.3 ),Material Thickness,Housing: 1.38 mm (0.05 ?) Door: 1.5 mm (0.06 ?) Mounting plate: 2 mm (0.08 ?),Mounting Plate,Height: 275 mm (11 ?) Width: 254 mm (10 ?),Number of Doors,1,,,1716206249-Product-AE 1033.500.png,,8538100,18%,https://www.ideadigitalcontent.com/files/11289/ID-SPE-v1-1033500.pdf,,,,,,,7 kg,1,1-2 Days,
"Rittal AE 1090.500- Compact Enclosures, Width: 600 mm Height: 1000 mm Depth: 250 mm, IP 66",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1090.500,AE-Series,AE 1090.500,,13402.44,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure: Sheet steel Door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 66,Colour,RAL 7035,Protection category NEMA:,NEMA 4,Supply includes:,"Enclosure with hinged door(s), of all-round solid construction Gland plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit",Dimensions,Width: 600 mm Height: 1000 mm Depth: 250 mm,Material Thickness,Enclosure: 1.5 mm Door: 2 mm Mounting plate: 3 mm,Mounting Plate,Width: 539 mm Height: 955 mm,Number of Doors,1,,,1716206262-Product-AE 1090.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1090500/1090500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1090500%2F1090500.pdf%22%7D,,,,,,,41 kg,1,1-2 Days,
"Rittal AE 1260.500- Compact Enclosures, Width: 600 mm Height: 1200 mm Depth: 300 mm, IP 66",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1260.500,AE-Series,AE 1260.500,,17464,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure: Sheet steel Door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 66,Colour,RAL 7035,Protection category NEMA:,NEMA 4,Supply includes:,"Enclosure with hinged door(s), of all-round solid construction Gland plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit 3-point lock system",Dimensions,Width: 600 mm Height: 1200 mm Depth: 300 mm,Material Thickness,Enclosure: 1.5 mm Door: 2 mm Mounting plate: 3 mm,Mounting Plate,Width: 540 mm Height: 1155 mm,Number of Doors,1,,,1716206276-Product-AE 1260.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1260500/1260500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1260500%2F1260500.pdf%22%7D,,,,,,,51 kg,1,1-2 Days,
"Rittal AE 1110.500- Compact Enclosures, Width: 1000 mm Height: 1000 mm Depth: 300 mm, IP 55",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1110.500,AE-Series,AE 1110.500,,24867.32,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure: Sheet steel Door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 55,Colour,RAL 7035,Protection category NEMA:,NEMA 12,Supply includes:,"Enclosure with hinged door(s), of all-round solid construction Gland plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit",Dimensions,Width: 1000 mm Height: 1000 mm Depth: 300 mm,Material Thickness,Enclosure: 1.5 mm Door: 2 mm Mounting plate: 3 mm,Mounting Plate,Width: 939 mm Height: 955 mm,Number of Doors,2,,,1716206289-Product-AE 1110.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1110500/1110500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1110500%2F1110500.pdf%22%7D,,,,,,,71 kg,1,1-2 Days,
"Rittal AE 1114.500- Compact Enclosures, Width: 1000 mm Height: 1400 mm Depth: 300 mm, IP 55",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1114.500,AE-Series,AE 1114.500,,29773.76,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure: Sheet steel Door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 55,Colour,RAL 7035,Protection category NEMA:,NEMA 12,Supply includes:,"Enclosure with hinged door(s), of all-round solid construction Gland plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit 3-point lock system",Dimensions,Width: 1000 mm Height: 1400 mm Depth: 300 mm,Material Thickness,Enclosure: 1.5 mm Door: 2 mm Mounting plate: 3 mm,Mounting Plate,Width: 940 mm Height: 1355 mm,Number of Doors,2,,,1716206923-Product-Screenshot 2024-05-20 173836.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1114500/1114500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1114500%2F1114500.pdf%22%7D,,,,,,,97 kg,1,1-2 Days,
"Rittal AE 1213.500- Compact Enclosures, Width: 1000 mm Height: 1200 mm Depth: 300 mm, IP 55",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,AE 1213.500,AE-Series,AE 1213.500,,28332.98,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure: Sheet steel Door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 55,Colour,RAL 7035,Protection category NEMA:,NEMA 12,Supply includes:,"Enclosure with hinged door(s), of all-round solid construction Gland plate(s) in enclosure base Mounting plate Lock: 3 mm double-bit 3-point lock system",Dimensions,Width: 1000 mm Height: 1200 mm Depth: 300 mm,Material Thickness,Enclosure: 1.5 mm Door: 2 mm Mounting plate: 3 mm,Mounting Plate,Width: 940 mm Height: 1155 mm,Number of Doors,2,,,1716206321-Product-AE 1213.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1213500/1213500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1213500%2F1213500.pdf%22%7D,,,,,,,85 kg,1,1-2 Days,
"Rittal EB 1556.500- Compact Enclosures, Width: 300 mm Height: 400 mm Depth: 120 mm, IP 66",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,EB 1556.500,EB-Series,EB 1556.500,,3800.78,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure and door: Sheet steel, all-round foamed-in PU seal",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 66,Colour,RAL 7035,Protection category NEMA:,NEMA 4,Supply includes:,Enclosure with hinged door 180° hinge Cam lock with 3 mm double-bit insert Mounting plate,Dimensions,Width: 300 mm Height: 400 mm Depth: 120 mm,Material Thickness,Enclosure: 1.38 mm Door: 1.25 mm Mounting plate: 2 mm,Mounting Plate,Width: 275 mm Height: 385 mm,Number of Doors,,,,1716206334-Product-EB 1556.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1556500/1556500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1556500%2F1556500.pdf%22%7D,,,,,,,6.4 kg,1,1-2 Days,
"Rittal EB 1555.500- Compact Enclosures, Width: 300 mm Height: 300 mm Depth: 120 mm, IP 66",Rittal,Panel & Panel Accessories,Panel Enclosure,Compact Enclosures,,EB 1555.500,EB-Series,EB 1555.500,,3155.32,Piece,Each,1,"Enclosure with door of sheet steel, spray-finished with mounting plate and gland plate in the base Protection category up to IP 66.",,,,,,Material,"Enclosure and door: Sheet steel, all-round foamed-in PU sea",Surface Finish,"Enclosure and door: Dipcoat primed, powder-coated on the outside, textured paint Mounting plate: Zinc-plated",Protection category IP to IEC 60 529:,IP 66,Colour,RAL 7035,Protection category NEMA:,NEMA 4,Supply includes:,Enclosure with hinged door180° hinge Cam lock with 3 mm double-bit insert Mounting plate,Dimensions,Width: 300 mm Height: 300 mm Depth: 120 mm,Material Thickness,Enclosure: 1.38 mm Door: 1.25 mm Mounting plate: 2 mm,Mounting Plate,Width: 275 mm Height: 285 mm,Number of Doors,,,,1716206349-Product-EB 1555.500.png,,8538100,18%,https://www.rittal.com/com-en/ebooks/generated-pdf/en-com/1555500/1555500.pdf?json=%7B%22successURL%22%3A+%22ebooks%2Fgenerated-pdf%2Fen-com%2F1555500%2F1555500.pdf%22%7D,,,,,,,5 kg,1,1-2 Days,
