c1_category,c2_category,leaf_category
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 250 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...700 mm, PPNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...40 mm, PNP (NO)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 50...2000 mm,PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 50...2000 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...600 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 200...2000 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...350 mm, PNP (NO)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, NPN (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, NPN (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...700 mm, NPN (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...350 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...700 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...100 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...250 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 200...2000 mm, PNP NO/NC NPN NO/NC"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...250 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...2000 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...2000 mm, PNP/NPN NO/NC IO-Link"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 5...1200 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...600 mm, PNP (NO)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...300 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...600 mm, PNP (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Sensors, Range 0...600 mm, NPN (NO/NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...300 mm, PNP (NO)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...300 mm, PNP (NC)"
Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 1...800 mm, NPN (NO/NC)"
