name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BOS01KF- Diffuse Sensors, Range 250 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 250 mm, PNP (NO/NC)",BOS01KF,BOS,BOS01KF,,13522.45,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18E,Dimension,18 x 75 mm,Interface,"PNP normally open (NO),PNP normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,"LED, red light",Range,250 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,1.4404 stainless steel,Operating Voltage Ub,10...30 VDC,,,1716274279-Product-BOS01KF.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=225842&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00K1- Diffuse Sensors, Range 0...700 mm, PPNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...700 mm, PPNP (NO/NC)",BOS00K1,BOS,BOS00K1,,10072.33,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18KF,Dimension,18 x 81.5 mm,Interface,"PNP normally open (NO),PNP normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,LED infrared,Range,0...700 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,PBT,Operating Voltage Ub,10...30 VDC,,,1716274295-Product-BOS00K1.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=269117&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS0016- Diffuse Sensors, Range 0...40 mm, PNP (NO)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...40 mm, PNP (NO)",BOS0016,BOS,BOS0016,,22054.22,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18E,Dimension,18 x 72 mm,Interface,PNP normally open (NO),Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Triangulation",Light Type,"LED, red light",Range,0...40 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,1.4571 stainless steel,Operating Voltage Ub,10...30 VDC,,,1716274314-Product-BOS0016.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=184888&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS002T- Diffuse Sensors, Range 50...2000 mm,PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 50...2000 mm,PNP (NO/NC)",BOS002T,BOS,BOS002T,,21165.79,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,21M,Dimension,15 x 50 x 42.5 mm,Interface,"NPN normally open (NO),NPN normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,Infrared,Range,50...2000 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,"Zinc, Die casting, Powder coated Aluminium",Operating Voltage Ub,10...30 VDC,,,1716274331-Product-BOS002T.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=149567&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS0031- Diffuse Sensors, Range 50...2000 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 50...2000 mm, PNP (NO/NC)",BOS0031,BOS,BOS0031,,21165.79,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,21M,Dimension,15 x 50 x 42.5 mm,Interface,"PNP normally open (NO),PNP normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,LED infrared,Range,50...2000 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,"Zinc, Die casting, Powder coated Aluminium",Operating Voltage Ub,10...30 VDC,,,1716274347-Product-BOS0031.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=149565&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS0032- Diffuse Sensors, Range 0...600 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...600 mm, PNP (NO/NC)",BOS0032,BOS,BOS0032,,32484.2,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,21M,Dimension,15 x 50 x 42.5 mm,Interface,"PNP normally open (NO),PNP normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,Laser red light,Range,0...600 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,"Zinc, Die casting, Powder coated Aluminium",Operating Voltage Ub,10...30 VDC,,,1716274361-Product-BOS0032.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=149577&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS008T- Diffuse Sensors, Range 200...2000 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 200...2000 mm, PNP (NO/NC)",BOS008T,BOS,BOS008T,,53795.33,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,30M,Dimension,35 x 93 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,Infrared,Range,200...2000 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,"Brass, nickel-plated",Operating Voltage Ub,10...30 VDC,,,1716274375-Product-BOS008T.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=554050&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00H7- Diffuse Sensors, Range 0...350 mm, PNP (NO)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...350 mm, PNP (NO)",BOS00H7,BOS,BOS00H7,,18671.08,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18K,Dimension,18 x 83.8 mm,Interface,PNP normally open (NO),Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,Laser red light,Range,0...350 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,ABS,Operating Voltage Ub,10...30 VDC,,,1716274387-Product-BOS00H7.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=119313&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00J1- Diffuse Sensors, Range 0...400 mm, NPN (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, NPN (NO/NC)",BOS00J1,BOS,BOS00J1,,10072.33,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18KF,Dimension,18 x 77 mm,Interface,"NPN normally open (NO),NPN normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,LED infrared,Range,0...400 mm,Connection,"Cable, 2.00 m, PVC",Housing Material,PBT,Operating Voltage Ub,10...30 VDC,,,1716274401-Product-BOS00J1.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=269149&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00J3- Diffuse Sensors, Range 0...400 mm, NPN (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, NPN (NO/NC)",BOS00J3,BOS,BOS00J3,,10072.33,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18KF,Dimension,18 x 81.5 mm,Interface,"NPN normally open (NO),NPN normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,LED infrared,Range,0...400 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,PBT,Operating Voltage Ub,10...30 VDC,,,1716274415-Product-BOS00J3.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=269070&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00J5- Diffuse Sensors, Range 0...700 mm, NPN (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...700 mm, NPN (NO/NC)",BOS00J5,BOS,BOS00J5,,10072.33,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18KF,Dimension,18 x 81.5 mm,Interface,"NPN normally open (NO),NPN normally closed (NC)",Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,LED infrared,Range,0...700 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,PBT,Operating Voltage Ub,10...30 VDC,,,1716274434-Product-BOS00J5.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=269129&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00JP- Diffuse Sensors, Range 0...350 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...350 mm, PNP (NO/NC)",BOS00JP,BOS,BOS00JP,,17927.99,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18KF,Dimension,18 x 81.5 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,Laser red light,Range,0...350 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing Material,PBT,Operating Voltage Ub,10...30 VDC,,,1716274448-Product-BOS00JP.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=269136&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00JY- Diffuse Sensors, Range 0...400 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Diffuse Sensors,"Diffuse Sensors, Range 0...400 mm, PNP (NO/NC)",BOS00JY,BOS,BOS00JY,,10072.33,Piece,Each,1,"Our vast array of diffuse sensors offers an economical solution if you want to reliably detect contrast differences. These diffuse sensors detect objects based on their surface, color, and material. Thus, their scanning range depends on the size, shape, color, and texture of the reflective object surface.The transmitter and receiver are housed together in a single unit so that you can easily mount the diffuse sensors and align them quickly using their highly visible light beams.You select the most suitable light type based on your application. Depending on the model, our diffuse sensors offer you highly visible red light, invisible infrared light, or very precise laser light that is ideally suited for detecting small parts.For color-independent and surface-independent detection, we recommend diffuse sensors with background suppression. They work with red light or the laser red light that is ideally suited for detecting small parts . Their scanning behavior is virtually constant, even with different reflectance levels.",,,,,,Series,18KF,Dimension,18 x 77 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of Operation,Photoelectric Sensor,Principle of Optical Operation,"Diffuse Sensor, Energetic",Light Type,LED infrared,Range,0...400 mm,Connection,"Cable, 2.00 m, PVC",Housing Material,PBT,Operating Voltage Ub,10...30 VDC,,,1716274473-Product-BOS00JY.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=269150&con=en&ws=appoval,,,,,,,,1,1-2 days,
