name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BGL001J- Fork Sensors- Series A, Fork Opening 50 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fork Sensors,,BGL001J,BGL,BGL001J,,21457.72,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 70 x 88 mm,Fork Opening,50 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,"LED, red light",Light spot size,1.5 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284765-Product-BGL001J.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=156459&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0001- Fork Sensors- Series A, Fork Opening 10 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0001,BGL,BGL0001,,16017.14,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 30 x 54 mm,Fork Opening,10 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,"LED, red light",Light spot size,1.2 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284774-Product-BGL0001.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=156455&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0016- Fork Sensors- Series A, Fork Opening 30 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0016,BGL,BGL0016,,19254.96,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 50 x 68 mm,Fork Opening,30 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,"LED, red light",Light spot size,1.2 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284783-Product-BGL0016.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=156458&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL001T- Fork Sensors- Series A, Fork Opening 50 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL001T,BGL,BGL001T,,24111.66,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 70 x 88 mm,Fork Opening,50 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,Infrared,Light spot size,2.5 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284795-Product-BGL001T.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=158434&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0002- Fork Sensors- Series A, Fork Opening 10 mm, NPN (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0002,BGL,BGL0002,,16017.14,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 30 x 54 mm,Fork Opening,10 mm,Interface,NPN normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,"LED, red light",Light spot size,1.2 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284803-Product-BGL0002.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=158449&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0003- Fork Sensors- Series A, Fork Opening 10 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0003,BGL,BGL0003,,18524.49,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 30 x 54 mm,Fork Opening,10 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,microSPOT-LED red light,Light spot size,1.0 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284812-Product-BGL0003.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=158483&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0005- Fork Sensors- Series A, Fork Opening 10 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0005,BGL,BGL0005,,18524.49,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 30 x 54 mm,Fork Opening,10 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,Infrared,Light spot size,2.0 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284886-Product-BGL0005.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=158431&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0007- Fork Sensors- Series A, Fork Opening 120 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0007,BGL,BGL0007,,25438.63,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 140 x 93 mm,Fork Opening,120 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,"LED, red light",Light spot size,2.5 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284905-Product-BGL0007.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=156461&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0008- Fork Sensors- Series A, Fork Opening 120 mm, NPN (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0008,BGL,BGL0008,,25438.63,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 140 x 93 mm,Fork Opening,120 mm,Interface,NPN normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,"LED, red light",Light spot size,2.5 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284928-Product-BGL0008.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=158454&con=en&ws=appoval,,,,,,,,1,1-2 Days,
"Balluff BGL0009- Fork Sensors- Series A, Fork Opening 120 mm, PNP (NO/NC)",Balluff,Sensors,Photoelectric sensors,Fork Sensors,,BGL0009,BGL,BGL0009,,29989.5,Piece,Each,1,"Our BGL fork sensors (with transmitter and receiver in one housing) are already aligned. This reduces effort and saves valuable time during commissioning and facilitates reliable processes.In terms of accuracy, the fork sensors from Balluff are unrivaled for small-component and detail detection as well as operational reliability. Achieve the best results with our laser fork sensors for precise positioning, secure detection of fast movement sequences, small parts in robotics, and automation.Our comprehensive portfolio also offers you reliable solutions for difficult applications. Some special applications include transparency detection, water detection, and web edge control.",,,,,,Series,A,Dimension,10 x 140 x 93 mm,Fork Opening,120 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of optical operation,Through-Beam Sensor,Light Type,Laser red light,Light spot size,0.3 mm Light exit,Connection,"Connector, M8x1-Male, 3-pin",Housing Material,"Zinc, Die Casting, Painted",Operating voltage Ub,10...30 VDC,,,1716284944-Product-BGL0009.PNG,,85365090,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=158460&con=en&ws=appoval,,,,,,,,1,1-2 Days,
